UniversityID,rows,buildings,trades,first_wo,last_wo,pm_share,median_labor_h,country
1,125637,178,19,2012-12-17 07:49:05,2020-01-06 09:50:30,0.4289,2.0,Canada
2,40567,361,16,2016-08-20 10:18:00,2020-04-20 14:25:00,0.5422,1.5,USA
3,1102,134,15,2006-06-10 00:00:00,2012-06-03 18:41:59,0.9701,5.0,USA
4,1612,107,14,2014-06-18 00:00:00,2019-12-20 00:00:00,0.4491,1.0,Canada
5,393669,924,16,2002-11-12 09:25:12,2020-02-05 23:08:40,0.4489,1.5,USA
6,1911,195,8,2017-01-01 00:00:00,2019-06-24 00:00:00,0.9942,1.0,USA
8,100,0,12,2020-02-19 00:00:00,2020-02-21 00:00:00,0.0,2.0,USA
9,144114,0,21,2008-06-30 20:32:00,2020-04-02 19:09:00,0.8112,2.0,USA
10,608217,467,22,2003-01-30 16:49:26,2021-05-04 13:01:11,0.8212,0.5,USA
11,52,52,1,2015-02-07 00:00:00,2015-02-07 00:00:00,1.0,38.125,USA
12,137058,0,23,2017-01-01 05:31:27,2021-05-25 21:48:41,0.1628,2.0,USA
