UniversityID,WOPriority,rows
1,0,533
1,1,25970
1,14,1349
1,2,31651
1,21,211
1,3,45398
1,30,496
1,4,1416
1,5,8038
1,6,239
1,7,10300
1,90,2
1,92,7
1,96,10
1,97,14
1,99,3
2,1-EMERGENCY,427
2,10-CAL CRITICAL,5
2,2-URGENT,10242
2,3-CALENDARED,220
2,4-ROUTINE,24662
2,5-PM CRITICAL,5011
3,2-URGENT,34
3,3-EXPEDITED,610
3,4-PLANNED,458
4,1,138
4,2,127
4,3,579
4,4,81
4,5,687
5,,393669
6,10,5
6,2,1
6,20,2
6,30,1
6,41,513
6,42,1108
6,43,277
6,5,2
6,99,2
8,1.0,18
8,2.0,49
8,3.0,33
9,1-EMERGENCY,4087
9,2-URGENT,22929
9,4-ROUTINE,63195
9,5-PM,53454
9,6-No Priority,449
10,1.0,291449
10,2.0,106355
10,3.0,171554
10,4.0,29089
10,5.0,9712
10,,58
11,,52
12,1.0,1
12,10.0,31
12,20.0,4
12,30.0,54253
12,40.0,38411
12,45.0,21124
12,50.0,23234
