campus,raw_value,is_pm_split,rows,median_cm_duration_days,pm_share_of_value,mapped_class,rule,spearman_rho,direction
1,0,cm,380,14.18,0.0,1,r5c,0.786,ascending
1,2,cm,18964,16.83,0.0058,2,r5c,0.786,ascending
1,1,cm,15276,16.02,0.0064,2,r5c,0.786,ascending
1,7,cm,6419,19.99,0.0245,3,r5c,0.786,ascending
1,4,cm,832,11.48,0.0,3,r5c,0.786,ascending
1,21,cm,159,62.83,0.0185,3,r5d,,
1,6,cm,150,28.53,0.026,3,r5d,,
1,5,cm,103,39.99,0.9806,3,r5d,,
1,3,cm,92,36.03,0.9965,3,r5d,,
1,97,cm,11,135.0,0.0833,3,r5d,,
1,92,cm,4,212.27,0.3333,3,r5d,,
1,99,cm,3,67.98,0.0,3,r5d,,
1,96,cm,2,135.87,0.7778,3,r5d,,
1,90,cm,1,13.9,0.5,3,r5d,,
1,14,cm,1053,36.19,0.0277,4,r5c,0.786,ascending
1,30,cm,322,68.76,0.1504,4,r5c,0.786,ascending
1,3,pm,26409,,0.9965,4,r5a,,
1,5,pm,5204,,0.9806,4,r5a,,
1,7,pm,161,,0.0245,4,r5a,,
1,2,pm,111,,0.0058,4,r5a,,
1,1,pm,99,,0.0064,4,r5a,,
1,30,pm,57,,0.1504,4,r5a,,
1,14,pm,30,,0.0277,4,r5a,,
1,96,pm,7,,0.7778,4,r5a,,
1,6,pm,4,,0.026,4,r5a,,
1,21,pm,3,,0.0185,4,r5a,,
1,92,pm,2,,0.3333,4,r5a,,
1,90,pm,1,,0.5,4,r5a,,
1,97,pm,1,,0.0833,4,r5a,,
2,1-EMERGENCY,cm,5,,0.0,1,r5b,,
2,2-URGENT,cm,356,1087.92,0.0848,2,r5b,,
2,4-ROUTINE,cm,279,1218.32,0.775,3,r5b,,
2,3-CALENDARED,cm,20,,0.0909,3,r5b,,
2,10-CAL CRITICAL,cm,1,,0.0,3,r5d,,
2,4-ROUTINE,pm,961,,0.775,4,r5a,,
2,5-PM CRITICAL,pm,381,,1.0,4,r5a,,
2,2-URGENT,pm,33,,0.0848,4,r5a,,
2,3-CALENDARED,pm,2,,0.0909,4,r5a,,
5,<MISSING>,cm,180592,,0.453,3,r5d,,
5,<MISSING>,pm,149587,,0.453,4,r5a,,
9,1-EMERGENCY,cm,2811,8.1,0.0011,1,r5b,,
9,2-URGENT,cm,14525,7.1,0.0046,2,r5b,,
9,4-ROUTINE,cm,239,15.01,0.9944,3,r5b,,
9,6-No Priority,cm,35,364.74,0.9138,3,r5d,,
9,5-PM,cm,12,154.39,0.9996,3,r5d,,
9,4-ROUTINE,pm,42430,,0.9944,4,r5a,,
9,5-PM,pm,33355,,0.9996,4,r5a,,
9,6-No Priority,pm,371,,0.9138,4,r5a,,
9,2-URGENT,pm,67,,0.0046,4,r5a,,
9,1-EMERGENCY,pm,3,,0.0011,4,r5a,,
10,1.0,cm,2573,5.08,0.9681,1,r5c,0.8,ascending
10,2.0,cm,11951,2.91,0.6706,2,r5c,0.8,ascending
10,3.0,cm,26648,5.91,0.547,3,r5c,0.8,ascending
10,<MISSING>,cm,16,32.37,0.0588,3,r5d,,
10,5.0,cm,531,35.85,0.8538,4,r5c,0.8,ascending
10,4.0,cm,498,124.95,0.9786,4,r5c,0.8,ascending
10,1.0,pm,78046,,0.9681,4,r5a,,
10,3.0,pm,32179,,0.547,4,r5a,,
10,2.0,pm,24335,,0.6706,4,r5a,,
10,4.0,pm,22761,,0.9786,4,r5a,,
10,5.0,pm,3101,,0.8538,4,r5a,,
10,<MISSING>,pm,1,,0.0588,4,r5a,,
12,50.0,cm,5228,36.34,0.0154,1,r5c,-0.8,descending
12,45.0,cm,4428,32.47,0.0461,2,r5c,-0.8,descending
12,40.0,cm,8800,49.54,0.0865,3,r5c,-0.8,descending
12,1.0,cm,1,,0.0,3,r5d,,
12,20.0,cm,1,,0.6667,3,r5d,,
12,30.0,cm,9519,67.98,0.3461,4,r5c,-0.8,descending
12,30.0,pm,5039,,0.3461,4,r5a,,
12,40.0,pm,833,,0.0865,4,r5a,,
12,45.0,pm,214,,0.0461,4,r5a,,
12,50.0,pm,82,,0.0154,4,r5a,,
12,10.0,pm,9,,1.0,4,r5a,,
12,20.0,pm,2,,0.6667,4,r5a,,
