update,mean_train_return,dev_wwt_mean,dev_wwt_tight,entropy,value_loss,seconds
0,-3.820622,409.410838,439.408041,0.357378,1.872787,2.811
1,-3.369332,409.410838,439.408041,0.820629,1.314215,1.067
2,-3.578222,409.410838,439.408041,0.657738,1.346519,1.059
3,-3.858008,409.410838,439.408041,0.501795,1.099112,0.718
4,-2.720913,409.410838,439.408041,0.493931,0.564825,0.839
5,-3.807760,409.410838,439.408041,0.367696,1.622253,0.686
6,-3.227943,409.410838,439.408041,0.995791,0.926166,1.085
7,-2.757293,409.410838,439.408041,0.870607,1.161356,0.748
8,-3.299638,409.410838,439.408041,0.592984,2.206646,1.042
9,-3.562558,409.410838,439.408041,0.557139,1.242334,0.728
10,-3.374750,409.410838,439.408041,0.540504,1.358716,1.082
11,-1.362984,409.410838,439.408041,0.788092,0.468378,0.754
12,-1.338463,409.410838,439.408041,0.561592,0.702567,1.062
13,-2.961453,409.410838,439.408041,0.591339,1.251118,0.758
14,-3.371939,409.410838,439.408041,0.641130,1.595538,1.056
15,-3.759368,409.410838,439.408041,0.528509,1.421790,0.720
16,-4.539396,409.410838,439.408041,0.557890,2.123645,1.027
17,-2.200142,409.410838,439.408041,0.828506,1.190241,0.785
18,-1.442073,409.410838,439.408041,0.764561,0.478576,1.089
19,-2.399661,409.410838,439.408041,0.801863,1.018806,0.744
20,-1.754955,410.680213,445.069300,0.521021,0.720708,2.877
21,-3.699355,410.680213,445.069300,0.394103,2.468583,0.721
22,-4.293999,410.680213,445.069300,0.838935,1.148531,1.072
23,-2.891604,410.680213,445.069300,0.712761,1.111922,0.747
24,-2.925513,410.680213,445.069300,0.700871,2.182107,1.042
25,-2.258280,410.680213,445.069300,0.459804,1.119231,0.711
26,-2.786591,410.680213,445.069300,0.523262,4.796369,1.042
27,-3.280970,410.680213,445.069300,0.613609,1.035257,0.721
28,-1.954273,410.680213,445.069300,0.589497,1.121520,1.036
29,-2.291364,410.680213,445.069300,0.377321,1.163040,0.741
30,-1.644978,410.680213,445.069300,0.431302,1.966042,1.099
31,-4.067585,410.680213,445.069300,0.412961,1.812408,0.735
32,-3.257305,410.680213,445.069300,0.642095,2.371260,1.049
33,-4.917081,410.680213,445.069300,0.764388,2.444810,0.781
34,-3.942537,410.680213,445.069300,0.455862,2.014619,1.060
35,-3.945875,410.680213,445.069300,0.632788,1.362709,0.731
36,-1.193775,410.680213,445.069300,0.698829,0.674594,1.083
37,-3.232874,410.680213,445.069300,0.336860,1.741133,0.723
38,-2.197261,410.680213,445.069300,0.525267,1.963787,1.076
39,-4.818830,410.680213,445.069300,0.515465,1.419398,0.732
40,-1.489255,410.805213,453.555287,0.545374,0.893894,2.893
41,-4.054987,410.805213,453.555287,0.742994,2.730694,0.731
42,-4.932385,410.805213,453.555287,0.804652,2.179377,1.130
43,-2.470531,410.805213,453.555287,0.406871,2.364812,0.732
44,-3.007858,410.805213,453.555287,0.896110,2.333230,1.078
45,-3.882833,410.805213,453.555287,1.233899,1.307207,0.808
46,-2.638800,410.805213,453.555287,0.680359,1.721589,1.076
