update,mean_train_return,dev_wwt_mean,entropy,value_loss,seconds
0,-3.824191,411.280450,0.356236,1.898813,1.865
1,-3.370752,411.280450,0.821457,1.457963,1.037
2,-3.600537,411.280450,0.659199,1.268733,1.059
3,-3.879033,411.280450,0.499522,1.018120,0.729
4,-2.742157,411.280450,0.494556,0.661380,1.058
5,-3.820806,411.280450,0.367854,1.506764,0.700
6,-3.237153,411.280450,0.996091,0.928891,1.071
7,-2.800232,411.280450,0.870926,1.055145,0.735
8,-3.300092,411.280450,0.592683,2.032596,1.077
9,-3.561382,411.280450,0.555102,1.060896,0.757
10,-3.438500,411.280450,0.543031,1.132983,1.079
11,-1.359949,411.280450,0.790766,0.344782,0.770
12,-1.355833,411.280450,0.565633,0.746330,1.113
13,-2.961453,411.280450,0.593712,1.062668,0.780
14,-3.398735,411.280450,0.645699,1.891670,1.047
15,-3.755368,411.280450,0.531290,1.156746,0.715
16,-4.518327,411.280450,0.557950,1.890341,1.019
17,-2.200426,411.280450,0.830667,1.109637,0.763
18,-1.442073,411.280450,0.765735,0.352725,1.081
19,-2.406804,411.280450,0.807167,0.863013,0.816
20,-1.757494,410.711463,0.521305,0.543494,2.032
21,-3.694839,410.711463,0.397081,2.132675,0.737
22,-4.303094,410.711463,0.840698,0.966754,1.096
23,-2.898056,410.711463,0.714947,2.131138,0.759
24,-2.927640,410.711463,0.702531,2.311802,1.059
25,-2.259658,410.711463,0.460942,0.976293,0.721
26,-2.787305,410.711463,0.524203,2.783803,1.059
27,-3.280970,410.711463,0.613713,0.833622,0.713
28,-1.980941,410.711463,0.587834,0.903301,1.055
29,-2.291364,410.711463,0.377198,0.971113,0.747
30,-1.644978,410.711463,0.432974,1.723572,1.034
31,-4.097539,410.711463,0.411945,1.537456,0.770
32,-3.257305,410.711463,0.643311,2.190424,1.100
33,-4.919869,410.711463,0.765439,2.402852,0.782
34,-3.943660,410.711463,0.456521,1.627721,1.030
35,-3.945875,410.711463,0.632494,1.295290,0.716
36,-1.204396,410.711463,0.698652,4.639883,1.046
37,-3.232268,410.711463,0.337571,1.758370,0.732
38,-2.197261,410.711463,0.525485,1.760795,1.043
39,-4.820765,410.711463,0.516445,1.674346,0.770
40,-1.489255,412.502650,0.544905,0.697121,1.980
41,-4.070196,412.502650,0.740696,2.352037,0.734
42,-4.937274,412.502650,0.804861,1.664541,1.076
43,-2.486183,412.502650,0.405883,1.798895,0.735
44,-3.043009,412.502650,0.896710,2.224252,1.073
45,-3.875304,412.502650,1.234797,1.323809,0.792
46,-2.638800,412.502650,0.682087,1.569597,1.066
47,-3.125269,412.502650,0.701878,1.688204,0.732
48,-3.699018,412.502650,0.427555,2.029295,1.072
49,-4.210872,412.502650,0.454376,2.125393,0.707
50,-4.797640,412.502650,0.366746,2.799853,1.053
51,-4.277610,412.502650,0.621423,1.711833,0.763
52,-0.761624,412.502650,0.577724,0.868527,1.118
53,-1.213163,412.502650,0.834215,0.810915,0.734
54,-6.002580,412.502650,0.442024,3.062619,1.028
55,-1.672584,412.502650,0.655921,1.324341,0.731
56,-2.061564,412.502650,0.650004,0.873502,1.098
57,-2.962260,412.502650,0.591234,0.658512,0.750
58,-1.531781,412.502650,0.613354,0.633618,1.065
59,-2.488732,412.502650,0.842005,1.242665,0.772
60,-2.406366,411.092950,0.630309,1.151174,1.993
61,-2.174709,411.092950,0.694420,1.370232,0.788
62,-4.883126,411.092950,0.686613,1.864948,1.056
63,-4.030553,411.092950,0.494573,1.523671,0.723
64,-3.811055,411.092950,0.619750,1.877960,1.026
65,-2.455034,411.092950,0.289881,1.726202,0.698
66,-2.523619,411.092950,0.684394,1.017556,1.070
67,-4.317613,411.092950,0.715669,2.240467,0.745
68,-4.242851,411.092950,0.802696,1.737567,1.080
69,-2.446110,411.092950,0.976964,1.324003,0.750
70,-2.768507,411.092950,0.818765,1.080339,1.083
71,-2.162767,411.092950,0.670128,0.976948,0.751
72,-2.214991,411.092950,0.549199,1.233041,1.045
73,-4.102556,411.092950,0.318410,2.310667,0.818
74,-4.187876,411.092950,0.574520,1.473506,1.007
75,-1.951136,411.092950,0.679462,1.169315,0.719
76,-2.050389,411.092950,0.548311,1.177979,1.052
77,-3.980234,411.092950,0.529032,1.370905,0.750
78,-2.798320,411.092950,0.444006,1.046842,0.851
79,-1.603033,411.092950,0.607997,1.568611,0.727
80,-2.932482,410.711463,0.527373,1.024608,1.981
81,-3.148304,410.711463,0.677273,1.289006,0.725
82,-3.613448,410.711463,0.660183,1.328494,1.032
83,-2.409112,410.711463,0.377188,1.364235,0.741
84,-4.774427,410.711463,0.390152,1.894039,1.035
85,-3.708441,410.711463,0.279760,1.762981,0.722
86,-3.030347,410.711463,0.478620,1.489251,1.019
87,-2.678378,410.711463,0.530204,1.408970,0.740
88,-2.985279,410.711463,0.559017,1.970402,1.052
89,-3.741212,410.711463,0.915075,1.319207,0.706
90,-2.716448,410.711463,0.510368,0.676058,0.935
91,-1.310283,410.711463,0.534981,0.760580,0.719
92,-2.429519,410.711463,0.472094,0.949446,0.993
93,-3.955760,410.711463,0.614544,1.528853,0.673
94,-3.633352,410.711463,0.603296,3.377380,1.042
95,-4.657720,410.711463,0.556691,2.021971,0.753
96,-2.594544,410.711463,0.447587,1.440016,1.000
97,-3.488764,410.711463,0.887669,1.238789,0.742
98,-3.504343,410.711463,0.410882,1.715549,1.019
99,-2.604454,410.711463,0.651387,1.301726,0.754
100,-1.267572,410.680213,0.490969,0.680975,1.874
101,-3.214104,410.680213,0.991244,1.478882,0.787
102,-5.099111,410.680213,0.571417,1.874229,1.008
103,-5.019281,410.680213,0.646269,1.904741,0.731
104,-2.541788,410.680213,0.255214,0.960200,1.025
105,-4.365732,410.680213,0.462422,1.990419,0.729
106,-2.537298,410.680213,0.550272,1.208072,1.022
107,-3.179239,410.680213,0.883972,1.651635,0.780
108,-2.363842,410.680213,0.843093,1.593678,1.051
109,-2.899677,410.680213,0.822249,0.744770,0.801
110,-1.273074,410.680213,0.551502,1.085224,1.028
111,-3.994634,410.680213,0.833814,1.407815,0.744
112,-3.367333,410.680213,0.937021,1.587308,1.058
113,-2.984264,410.680213,0.981429,1.138158,0.764
114,-4.171204,410.680213,0.353718,2.341894,1.032
115,-3.069375,410.680213,0.506085,1.853662,0.743
116,-2.431483,410.680213,0.657563,0.723945,1.025
117,-2.178379,410.680213,0.865322,0.877502,0.773
118,-2.838549,410.680213,0.450658,1.689290,1.001
119,-2.946967,410.680213,0.814252,0.665934,0.726
120,-4.293705,410.680213,0.394193,1.693595,1.936
121,-2.355475,410.680213,0.602018,1.051301,0.727
122,-4.215836,410.680213,0.753615,2.777958,1.023
123,-3.744190,410.680213,0.811374,2.045823,0.770
124,-3.010699,410.680213,0.690041,0.768509,1.004
125,-3.832000,410.680213,0.609994,1.654487,0.753
126,-2.255280,410.680213,0.602851,0.817211,0.991
127,-2.266884,410.680213,0.621417,1.303968,0.746
128,-3.124555,410.680213,0.388665,1.020724,1.009
129,-2.525070,410.680213,0.768180,1.071819,0.710
130,-4.764585,410.680213,0.765467,1.900463,0.997
131,-5.170373,410.680213,0.647795,2.269632,0.754
132,-2.469332,410.680213,0.946307,0.990300,1.047
133,-2.422414,410.680213,0.780474,1.087648,0.775
134,-3.129984,410.680213,0.607339,1.431578,1.020
135,-2.869542,410.680213,1.037656,1.775039,0.768
136,-2.924809,410.680213,0.732090,1.624068,1.016
137,-2.739919,410.680213,0.444236,1.766725,0.723
138,-4.043459,410.680213,0.613575,1.785731,1.042
139,-2.253208,410.680213,0.432652,1.357140,0.734
140,-3.142615,410.711463,0.826574,1.104607,1.913
141,-1.791678,410.711463,0.738525,0.942431,0.762
142,-3.364269,410.711463,1.063360,1.917343,1.060
143,-1.899473,410.711463,0.498851,1.646090,0.761
144,-2.228602,410.711463,0.282722,1.108355,1.022
145,-1.670638,410.711463,0.533808,0.728775,0.773
146,-2.070334,410.711463,0.687403,1.089696,1.006
147,-4.487660,410.711463,0.672714,1.643890,0.762
148,-2.306207,410.711463,0.838700,0.997182,1.006
149,-2.202491,410.711463,0.845615,1.720641,0.796
150,-3.024527,410.711463,0.437859,0.857484,0.997
151,-1.811277,410.711463,0.672004,0.737464,0.753
152,-4.003228,410.711463,0.604873,2.113483,1.002
153,-3.358155,410.711463,0.450918,1.838983,0.745
154,-3.014803,410.711463,0.699306,1.400464,1.025
155,-1.710627,410.711463,0.588592,1.121256,0.777
156,-2.441379,410.711463,0.693023,1.218120,1.013
157,-3.100814,410.711463,1.209172,0.920789,0.826
158,-2.991442,410.711463,0.915423,1.561910,1.053
159,-2.826763,410.711463,0.635558,1.528584,0.775
160,-2.909986,410.680213,0.547887,0.664587,1.684
161,-0.972737,410.680213,0.488563,1.266472,0.758
162,-6.188321,410.680213,0.732189,1.996497,0.987
