update,mean_train_return,dev_wwt_mean,dev_wwt_tight,entropy,value_loss,seconds
0,-1.025349,419.641950,495.769413,0.807295,0.325789,3.345
1,-2.164626,419.641950,495.769413,0.626684,1.603625,1.241
2,-3.401316,419.641950,495.769413,0.521189,1.236725,1.214
3,-1.480981,419.641950,495.769413,0.545641,0.654608,0.846
4,-1.705065,419.641950,495.769413,0.598184,0.771704,1.173
5,-3.909704,419.641950,495.769413,0.650862,1.749764,0.902
6,-3.030605,419.641950,495.769413,0.642658,0.944176,1.200
7,-2.241946,419.641950,495.769413,0.932273,1.337611,0.924
8,-2.486512,419.641950,495.769413,0.752241,1.479532,1.222
9,-2.599342,419.641950,495.769413,0.654821,0.680933,0.886
10,-3.052789,419.641950,495.769413,0.690660,1.634513,1.256
11,-4.070782,419.641950,495.769413,1.095101,1.136835,0.992
12,-1.248082,419.641950,495.769413,0.500180,0.986175,1.229
13,-2.504924,419.641950,495.769413,0.584624,1.113123,0.901
14,-4.036084,419.641950,495.769413,0.493990,1.163475,1.259
15,-3.248890,419.641950,495.769413,0.712345,2.308744,0.952
16,-3.580002,419.641950,495.769413,0.503589,1.138929,1.375
17,-3.206857,419.641950,495.769413,0.464126,2.356519,0.928
18,-3.331065,419.641950,495.769413,0.261333,1.327744,1.165
19,-3.867108,419.641950,495.769413,0.392789,1.717183,0.868
20,-2.039570,424.525700,520.397875,0.513570,0.674263,3.262
21,-3.942309,424.525700,520.397875,0.742446,3.080380,0.908
22,-4.459165,424.525700,520.397875,0.433223,1.441879,1.226
23,-2.885769,424.525700,520.397875,0.441609,1.365487,0.948
24,-2.926343,424.525700,520.397875,0.210591,1.798520,1.280
25,-4.825673,424.525700,520.397875,0.420869,2.299259,0.894
26,-2.836979,424.525700,520.397875,0.806635,1.005393,1.185
27,-3.402134,424.525700,520.397875,0.510996,1.902789,0.925
28,-3.645240,424.525700,520.397875,0.553459,2.274229,1.225
29,-4.402029,424.525700,520.397875,0.522954,2.090932,0.904
30,-2.680528,424.525700,520.397875,0.567385,2.022345,1.221
31,-3.870702,424.525700,520.397875,0.644196,2.074892,0.902
32,-2.555625,424.525700,520.397875,0.850606,1.448711,1.306
33,-2.780948,424.525700,520.397875,0.587656,1.269715,0.898
34,-1.848060,424.525700,520.397875,0.696299,1.197064,1.221
35,-3.415011,424.525700,520.397875,0.655459,1.254599,0.894
36,-3.217574,424.525700,520.397875,0.518616,1.682642,1.187
37,-3.162411,424.525700,520.397875,0.558282,1.451808,0.912
38,-3.663021,424.525700,520.397875,0.614993,1.683553,1.245
39,-3.418802,424.525700,520.397875,0.687318,1.138612,0.895
40,-4.240362,424.899450,518.703400,0.457171,2.046372,3.290
41,-3.297338,424.899450,518.703400,0.606323,1.355718,0.892
42,-1.248867,424.899450,518.703400,0.504496,1.136193,1.210
43,-3.772859,424.899450,518.703400,0.601752,2.118815,0.888
44,-2.863578,424.899450,518.703400,0.502621,1.259509,1.206
45,-2.372307,424.899450,518.703400,0.559402,0.724945,0.893
46,-2.025256,424.899450,518.703400,0.375454,0.956489,1.180
47,-2.456786,424.899450,518.703400,0.844649,1.606343,0.914
48,-3.241721,424.899450,518.703400,0.493717,1.247726,1.233
49,-2.772397,424.899450,518.703400,0.576410,1.883412,0.860
50,-5.438724,424.899450,518.703400,0.661016,2.343543,1.247
51,-1.562977,424.899450,518.703400,0.970963,0.454138,0.910
52,-1.969610,424.899450,518.703400,0.587510,1.461150,1.183
53,-2.412937,424.899450,518.703400,0.592852,1.900893,0.870
54,-4.110273,424.899450,518.703400,0.461751,1.636880,1.213
55,-3.221490,424.899450,518.703400,0.584636,1.425048,0.913
56,-3.020773,424.899450,518.703400,0.502421,1.068129,1.227
57,-2.506717,424.899450,518.703400,0.444709,1.546841,0.859
58,-3.946924,424.899450,518.703400,0.482313,1.990238,1.205
59,-2.742759,424.899450,518.703400,0.285246,1.392711,0.936
60,-3.870554,424.364388,519.848975,0.602204,1.071535,3.247
61,-2.169532,424.364388,519.848975,0.468898,1.745757,0.900
62,-4.761741,424.364388,519.848975,0.429951,2.783261,1.225
63,-5.142795,424.364388,519.848975,0.668854,2.969674,0.908
64,-3.788514,424.364388,519.848975,0.287059,1.945222,1.197
65,-2.428473,424.364388,519.848975,0.425553,1.919335,0.867
66,-3.577052,424.364388,519.848975,0.604707,2.006623,1.231
67,-2.319228,424.364388,519.848975,0.950975,0.940018,0.928
68,-2.648335,424.364388,519.848975,0.637698,0.912679,1.219
69,-1.812918,424.364388,519.848975,0.727331,0.925365,0.892
70,-1.750854,424.364388,519.848975,0.470840,0.567698,1.197
71,-2.321791,424.364388,519.848975,0.470708,1.368493,0.894
72,-1.864731,424.364388,519.848975,0.678417,1.260456,1.278
73,-4.517538,424.364388,519.848975,0.523382,2.071629,0.883
74,-3.189197,424.364388,519.848975,0.559964,1.516455,1.268
75,-3.175812,424.364388,519.848975,0.710087,0.947560,0.915
76,-3.510320,424.364388,519.848975,0.772691,1.526881,1.237
77,-2.862561,424.364388,519.848975,0.665220,1.439776,0.913
78,-4.387742,424.364388,519.848975,0.501411,1.983333,1.223
79,-3.094476,424.364388,519.848975,0.653542,1.611637,0.930
80,-2.944994,424.530537,531.435100,0.590204,1.434726,3.284
81,-4.536990,424.530537,531.435100,0.649950,2.804231,0.917
82,-4.190463,424.530537,531.435100,0.468076,1.826571,1.212
83,-1.835224,424.530537,531.435100,0.712883,0.606952,0.885
84,-1.434867,424.530537,531.435100,0.818155,1.133899,1.222
85,-1.870806,424.530537,531.435100,0.597197,0.375891,0.898
86,-2.178587,424.530537,531.435100,0.695352,1.553132,1.242
87,-4.550791,424.530537,531.435100,0.659011,0.840841,0.925
