update,mean_train_return,dev_wwt_mean,dev_wwt_tight,entropy,value_loss,seconds
0,-3.824191,416.534388,456.053266,0.356255,2.385320,2.727
1,-3.369386,416.534388,456.053266,0.821418,4.595382,1.033
2,-3.598912,416.534388,456.053266,0.659300,3.623636,1.020
3,-3.858777,416.534388,456.053266,0.500780,4.231036,0.664
4,-2.665916,416.534388,456.053266,0.494514,1.148550,1.025
5,-3.807760,416.534388,456.053266,0.368573,3.549566,0.663
6,-3.237236,416.534388,456.053266,0.997070,1.456935,1.043
7,-2.759873,416.534388,456.053266,0.871951,2.251341,0.703
8,-3.300092,416.534388,456.053266,0.593905,2.614837,1.029
9,-3.561382,416.534388,456.053266,0.559421,2.848516,0.669
10,-3.426473,416.534388,456.053266,0.542331,1.514077,1.036
11,-1.363315,416.534388,456.053266,0.789001,0.802679,0.699
12,-1.363492,416.534388,456.053266,0.565293,0.923940,0.989
13,-2.961453,416.534388,456.053266,0.594018,2.238857,0.696
14,-3.402262,416.534388,456.053266,0.645393,2.734600,1.033
15,-3.755368,416.534388,456.053266,0.530641,2.920142,0.671
16,-4.528672,416.534388,456.053266,0.561089,4.746092,1.009
17,-2.200608,416.534388,456.053266,0.832453,1.434774,0.703
18,-1.442073,416.534388,456.053266,0.765424,0.811700,1.009
19,-2.424085,416.534388,456.053266,0.808444,1.586334,0.673
20,-1.764123,411.622125,450.771213,0.522114,2.224312,2.768
21,-3.707097,411.622125,450.771213,0.397963,3.607543,0.662
22,-4.303834,411.622125,450.771213,0.841569,4.205863,1.004
23,-2.881282,411.622125,450.771213,0.716116,2.428677,0.686
24,-2.956490,411.622125,450.771213,0.703458,6.261320,1.026
25,-2.259658,411.622125,450.771213,0.461423,1.634896,0.662
26,-2.787305,411.622125,450.771213,0.525462,4.528802,0.967
27,-3.283470,411.622125,450.771213,0.615064,1.996689,0.672
28,-1.960815,411.622125,450.771213,0.588953,1.589767,0.972
29,-2.291364,411.622125,450.771213,0.377743,1.891976,0.658
30,-1.653943,411.622125,450.771213,0.434107,1.771037,1.044
31,-4.071539,411.622125,450.771213,0.412437,3.676704,0.662
32,-3.257120,411.622125,450.771213,0.644620,2.840610,0.973
33,-4.920680,411.622125,450.771213,0.766819,4.881155,0.688
34,-3.951737,411.622125,450.771213,0.457653,2.179529,1.009
35,-3.946500,411.622125,450.771213,0.633006,3.936055,0.686
36,-1.246120,411.622125,450.771213,0.700144,17.940800,1.048
37,-3.232874,411.622125,450.771213,0.336439,2.849398,0.671
38,-2.197261,411.622125,450.771213,0.526266,1.746710,1.046
39,-4.821630,411.622125,450.771213,0.517450,4.450663,0.665
40,-1.489255,419.847125,495.382375,0.545744,1.151953,2.811
41,-4.054883,419.847125,495.382375,0.744256,4.366765,0.683
42,-4.932829,419.847125,495.382375,0.807836,5.588061,1.046
43,-2.481835,419.847125,495.382375,0.407713,1.816860,0.668
44,-3.038161,419.847125,495.382375,0.900961,2.960120,1.041
45,-3.874715,419.847125,495.382375,1.236867,3.166904,0.733
46,-2.638800,419.847125,495.382375,0.684422,4.239761,1.013
47,-3.037993,419.847125,495.382375,0.704365,2.072642,0.696
48,-3.699018,419.847125,495.382375,0.430312,2.982459,0.976
49,-4.204421,419.847125,495.382375,0.456871,4.247424,0.667
50,-4.795141,419.847125,495.382375,0.369345,8.145400,0.985
51,-4.277196,419.847125,495.382375,0.622427,3.816509,0.725
52,-0.761624,419.847125,495.382375,0.577996,1.385230,0.962
53,-1.199224,419.847125,495.382375,0.837743,0.824923,0.683
54,-6.000269,419.847125,495.382375,0.445217,7.912187,1.001
55,-1.674626,419.847125,495.382375,0.658016,1.282903,0.668
56,-2.073822,419.847125,495.382375,0.652255,1.042973,0.996
57,-2.962260,419.847125,495.382375,0.592440,1.470266,0.663
58,-1.533655,419.847125,495.382375,0.614064,0.845004,1.004
59,-2.522801,419.847125,495.382375,0.839765,2.551827,0.687
60,-2.386168,409.909625,450.446281,0.631205,2.426094,2.760
61,-2.174866,409.909625,450.446281,0.693918,1.815794,0.681
62,-4.896533,409.909625,450.446281,0.685821,4.183433,1.006
63,-4.039037,409.909625,450.446281,0.494877,4.353713,0.662
64,-3.811055,409.909625,450.446281,0.619741,3.744512,1.018
65,-2.345719,409.909625,450.446281,0.289371,2.179761,0.654
66,-2.521777,409.909625,450.446281,0.684121,2.652424,1.017
67,-4.312811,409.909625,450.446281,0.715050,3.857329,0.687
68,-4.239994,409.909625,450.446281,0.803992,3.398463,1.013
69,-2.441567,409.909625,450.446281,0.975982,1.780567,0.696
70,-2.839364,409.909625,450.446281,0.819604,2.651508,1.028
71,-2.162767,409.909625,450.446281,0.670023,1.648137,0.686
72,-2.214991,409.909625,450.446281,0.548244,1.896480,0.994
73,-4.106004,409.909625,450.446281,0.317131,5.827107,0.700
74,-4.180304,409.909625,450.446281,0.573121,3.722317,0.999
75,-2.032929,409.909625,450.446281,0.679118,1.673672,0.680
76,-2.050389,409.909625,450.446281,0.548165,1.460082,0.807
77,-3.970234,409.909625,450.446281,0.529118,3.570212,0.672
78,-2.797653,409.909625,450.446281,0.443924,2.435636,1.001
79,-1.608621,409.909625,450.446281,0.607539,1.124419,0.673
80,-2.811396,410.559388,448.401425,0.528953,2.545857,2.787
81,-3.200897,410.559388,448.401425,0.676125,2.485650,0.678
82,-3.623793,410.559388,448.401425,0.659226,3.551467,0.989
83,-2.347533,410.559388,448.401425,0.376866,1.268390,0.651
84,-4.790077,410.559388,448.401425,0.390168,5.044246,1.000
85,-3.760054,410.559388,448.401425,0.279589,3.183349,0.671
86,-3.031399,410.559388,448.401425,0.479494,2.074257,1.002
87,-2.681605,410.559388,448.401425,0.532743,2.953436,0.677
88,-2.986491,410.559388,448.401425,0.559838,3.760351,1.033
89,-3.783520,410.559388,448.401425,0.916880,3.351020,0.696
90,-2.718975,410.559388,448.401425,0.510905,2.459306,1.010
91,-1.310283,410.559388,448.401425,0.535993,0.950682,0.696
92,-2.429519,410.559388,448.401425,0.471175,1.380475,0.995
93,-3.960323,410.559388,448.401425,0.614757,3.306334,0.680
94,-3.634685,410.559388,448.401425,0.604183,5.351143,1.015
95,-4.718434,410.559388,448.401425,0.557108,3.745205,0.695
96,-2.609306,410.559388,448.401425,0.447598,2.074719,1.002
97,-3.494098,410.559388,448.401425,0.888033,2.707941,0.760
98,-3.516957,410.559388,448.401425,0.411578,3.122371,1.002
99,-2.605472,410.559388,448.401425,0.652893,2.331703,0.709
100,-1.270331,410.309388,449.343850,0.492310,0.901540,2.759
101,-3.215416,410.309388,449.343850,0.998222,2.177406,0.707
102,-5.103277,410.309388,449.343850,0.574578,3.329283,0.695
103,-5.024614,410.309388,449.343850,0.652099,3.721494,0.681
104,-2.541788,410.309388,449.343850,0.255445,3.216110,1.042
105,-4.367478,410.309388,449.343850,0.465059,3.867519,0.661
106,-2.537298,410.309388,449.343850,0.553522,2.312834,1.031
107,-3.218194,410.309388,449.343850,0.889744,3.250924,0.703
108,-2.363842,410.309388,449.343850,0.849785,1.785081,1.057
109,-2.925172,410.309388,449.343850,0.823089,2.159496,0.676
110,-1.273074,410.309388,449.343850,0.552440,1.270157,1.053
111,-3.997967,410.309388,449.343850,0.839084,2.513726,0.722
112,-3.367333,410.309388,449.343850,0.941036,3.238838,1.054
113,-3.101679,410.309388,449.343850,0.987278,2.107799,0.737
114,-4.171204,410.309388,449.343850,0.354808,4.063238,0.954
115,-2.952431,410.309388,449.343850,0.510422,2.068189,0.692
116,-2.467590,410.309388,449.343850,0.663613,2.336208,1.006
117,-2.178379,410.309388,449.343850,0.872474,1.476431,0.693
