update,mean_train_return,dev_wwt_mean,dev_wwt_tight,entropy,value_loss,seconds
0,-3.824191,416.274388,460.599341,0.356322,1.774329,3.404
1,-3.369332,416.274388,460.599341,0.820904,1.223111,1.319
2,-3.600981,416.274388,460.599341,0.659387,1.280532,1.294
3,-3.864161,416.274388,460.599341,0.500800,1.056436,0.969
4,-2.665916,416.274388,460.599341,0.494493,0.453722,1.278
5,-3.807760,416.274388,460.599341,0.368488,1.528468,0.928
6,-3.237236,416.274388,460.599341,0.996414,0.833452,0.993
7,-2.759873,416.274388,460.599341,0.871744,1.049958,1.007
8,-3.302761,416.274388,460.599341,0.593995,1.929227,1.384
9,-3.560794,416.274388,460.599341,0.559591,1.022703,0.970
10,-3.436473,416.274388,460.599341,0.541333,1.231104,1.263
11,-1.361384,416.274388,460.599341,0.791118,0.324736,0.989
12,-1.361818,416.274388,460.599341,0.566096,0.549963,1.273
13,-2.961453,416.274388,460.599341,0.594331,1.051142,1.068
14,-3.400327,416.274388,460.599341,0.646432,1.317355,1.315
15,-3.755368,416.274388,460.599341,0.531672,1.247343,0.949
16,-4.533251,416.274388,460.599341,0.563375,1.856898,1.239
17,-2.200415,416.274388,460.599341,0.832636,0.946694,1.014
18,-1.442073,416.274388,460.599341,0.766224,0.325330,1.314
19,-2.413274,416.274388,460.599341,0.807458,0.844475,1.005
20,-1.757379,413.878138,489.908413,0.522982,0.517137,3.440
21,-3.697420,413.878138,489.908413,0.397906,2.083309,0.963
22,-4.299925,413.878138,489.908413,0.842056,0.926347,1.321
23,-2.901927,413.878138,489.908413,0.715591,0.934753,1.020
24,-2.955103,413.878138,489.908413,0.703567,2.016029,1.294
25,-2.258280,413.878138,489.908413,0.461373,0.957063,0.971
26,-2.788733,413.878138,489.908413,0.525234,4.560371,1.363
27,-3.283470,413.878138,489.908413,0.613817,0.839594,0.961
28,-1.977138,413.878138,489.908413,0.590149,0.881550,1.282
29,-2.291364,413.878138,489.908413,0.379106,0.984805,0.978
30,-1.653943,413.878138,489.908413,0.433788,1.751075,1.358
31,-4.084504,413.878138,489.908413,0.413556,1.538207,0.943
32,-3.257305,413.878138,489.908413,0.645438,2.126503,1.276
33,-4.916475,413.878138,489.908413,0.767063,2.197315,1.025
34,-3.942537,413.878138,489.908413,0.456947,1.581695,2.101
35,-3.945875,413.878138,489.908413,0.633381,1.090201,1.835
36,-1.201637,413.878138,489.908413,0.699307,2.304036,1.358
37,-3.232874,413.878138,489.908413,0.338002,1.489771,0.946
38,-2.197261,413.878138,489.908413,0.526733,1.581172,1.331
39,-4.820765,413.878138,489.908413,0.516693,1.087404,0.962
40,-1.489255,424.846888,496.467663,0.545601,0.662754,3.482
41,-4.057800,424.846888,496.467663,0.744776,2.379108,0.970
42,-4.934311,424.846888,496.467663,0.807411,1.676654,1.339
43,-2.478357,424.846888,496.467663,0.407298,1.892734,0.966
44,-3.033312,424.846888,496.467663,0.899638,1.888446,1.285
45,-3.879304,424.846888,496.467663,1.236585,0.984724,1.053
46,-2.638800,424.846888,496.467663,0.682931,1.423354,1.303
47,-3.051203,424.846888,496.467663,0.703295,1.540790,0.965
48,-3.698089,424.846888,496.467663,0.430768,1.368025,1.260
49,-4.204421,424.846888,496.467663,0.455784,2.086210,0.977
50,-4.795140,424.846888,496.467663,0.368537,2.492816,1.261
51,-4.277196,424.846888,496.467663,0.622178,1.658974,1.085
52,-0.761624,424.846888,496.467663,0.578474,0.881788,1.280
53,-1.218011,424.846888,496.467663,0.837500,0.786667,1.009
54,-6.005602,424.846888,496.467663,0.444365,2.904983,1.262
55,-1.663300,424.846888,496.467663,0.656772,1.207106,0.962
56,-2.102683,424.846888,496.467663,0.652708,0.681146,1.369
57,-2.964760,424.846888,496.467663,0.592068,0.602978,0.967
58,-1.582464,424.846888,496.467663,0.613173,0.635338,1.319
59,-2.498962,424.846888,496.467663,0.841578,1.253630,1.040
60,-2.405995,423.440638,507.864537,0.629996,1.090832,3.513
61,-2.174709,423.440638,507.864537,0.694325,1.277799,0.986
62,-4.899031,423.440638,507.864537,0.687914,1.604927,1.246
63,-4.030553,423.440638,507.864537,0.494548,1.439551,0.971
64,-3.811055,423.440638,507.864537,0.619161,1.780309,1.270
65,-2.360821,423.440638,507.864537,0.289542,1.102837,0.921
66,-2.518355,423.440638,507.864537,0.684437,0.983789,1.329
67,-4.289108,423.440638,507.864537,0.714885,2.488815,1.012
68,-4.244279,423.440638,507.864537,0.803075,1.659213,1.371
69,-2.377517,423.440638,507.864537,0.975730,1.147816,1.004
70,-2.819935,423.440638,507.864537,0.818752,0.981469,1.328
71,-2.161220,423.440638,507.864537,0.670499,0.929750,0.991
72,-2.214991,423.440638,507.864537,0.548714,1.231236,1.243
73,-4.142924,423.440638,507.864537,0.317735,2.270513,0.995
74,-4.183572,423.440638,507.864537,0.573579,1.486522,0.917
75,-1.935872,423.440638,507.864537,0.679879,1.086719,0.969
76,-2.050389,423.440638,507.864537,0.548247,1.195005,1.263
77,-3.953091,423.440638,507.864537,0.529434,1.340128,0.970
78,-2.788320,423.440638,507.864537,0.445485,0.853310,1.274
79,-1.603033,423.440638,507.864537,0.607891,1.527748,0.972
80,-2.855502,413.971888,501.010438,0.528114,0.854537,3.436
81,-3.148304,413.971888,501.010438,0.677845,1.134387,0.994
82,-3.637586,413.971888,501.010438,0.658894,0.991276,1.298
83,-2.408433,413.971888,501.010438,0.378637,1.184356,0.974
84,-4.795706,413.971888,501.010438,0.390672,1.835532,1.335
85,-3.710376,413.971888,501.010438,0.279973,1.621350,0.944
