update,mean_train_return,dev_wwt_mean,dev_wwt_tight,entropy,value_loss,seconds
0,-3.824191,410.680213,443.710825,0.356247,1.779223,2.790
1,-3.370600,410.680213,443.710825,0.821504,1.227784,1.121
2,-3.574084,410.680213,443.710825,0.659452,1.285742,1.113
3,-3.858008,410.680213,443.710825,0.500295,1.082794,0.729
4,-2.742157,410.680213,443.710825,0.493750,0.482200,1.087
5,-3.807760,410.680213,443.710825,0.367474,1.509436,0.697
6,-3.227943,410.680213,443.710825,0.995857,0.814557,1.119
7,-2.750841,410.680213,443.710825,0.868267,1.019305,0.744
8,-3.299638,410.680213,443.710825,0.591687,1.929130,1.065
9,-3.555499,410.680213,443.710825,0.553334,0.996101,0.735
10,-3.374750,410.680213,443.710825,0.538093,1.192572,1.062
11,-1.358207,410.680213,443.710825,0.785836,0.308159,0.761
12,-1.335000,410.680213,443.710825,0.559631,0.538058,1.062
13,-2.961453,410.680213,443.710825,0.586925,1.040407,0.763
14,-3.377101,410.680213,443.710825,0.637082,1.295859,1.092
15,-3.759368,410.680213,443.710825,0.524943,1.247135,0.730
16,-4.533251,410.680213,443.710825,0.553203,1.859505,1.062
17,-2.199993,410.680213,443.710825,0.826776,0.948936,0.788
18,-1.442073,410.680213,443.710825,0.760940,0.324439,1.100
19,-2.399661,410.680213,443.710825,0.797286,0.851072,0.749
20,-1.741288,410.680213,452.498563,0.516695,0.540227,2.859
21,-3.699355,410.680213,452.498563,0.388338,2.128871,0.725
22,-4.295481,410.680213,452.498563,0.831511,0.928463,1.092
23,-2.892895,410.680213,452.498563,0.709039,0.927390,0.753
24,-2.910902,410.680213,452.498563,0.694075,2.013075,1.073
25,-2.258280,410.680213,452.498563,0.457876,0.946569,0.706
26,-2.791210,410.680213,452.498563,0.519287,4.583037,1.065
27,-3.280137,410.680213,452.498563,0.609164,0.819314,0.722
28,-1.909533,410.680213,452.498563,0.584992,0.845065,1.059
29,-2.291364,410.680213,452.498563,0.376811,0.919773,0.717
30,-1.644978,410.680213,452.498563,0.429350,1.720382,1.084
31,-4.085378,410.680213,452.498563,0.412085,1.522873,0.719
32,-3.254556,410.680213,452.498563,0.638396,2.073501,1.043
33,-4.917081,410.680213,452.498563,0.760413,2.162109,0.781
34,-3.927537,410.680213,452.498563,0.453560,1.506182,1.069
35,-3.944625,410.680213,452.498563,0.629287,1.086932,0.732
36,-1.189637,410.680213,452.498563,0.694675,3.107062,1.072
37,-3.232268,410.680213,452.498563,0.336547,1.473034,0.719
38,-2.197261,410.680213,452.498563,0.521080,1.588629,1.058
39,-4.818830,410.680213,452.498563,0.513063,1.084545,0.741
40,-1.489255,410.680213,444.586800,0.542598,0.634911,2.835
41,-4.055258,410.680213,444.586800,0.732472,2.408340,0.726
42,-4.931348,410.680213,444.586800,0.800657,1.632138,1.118
43,-2.470531,410.680213,444.586800,0.401948,1.890005,0.719
44,-3.007858,410.680213,444.586800,0.888791,1.852638,1.090
45,-3.872951,410.680213,444.586800,1.226084,0.988861,0.815
46,-2.638800,410.680213,444.586800,0.674684,1.398566,1.063
47,-3.131019,410.680213,444.586800,0.696613,1.570214,0.741
48,-3.698089,410.680213,444.586800,0.425674,1.357400,1.038
49,-4.199996,410.680213,444.586800,0.449281,2.105353,0.712
50,-4.794515,410.680213,444.586800,0.360767,2.242952,1.038
51,-4.276921,410.680213,444.586800,0.617190,1.694886,0.806
52,-0.761624,410.680213,444.586800,0.573854,0.817915,1.034
53,-1.193163,410.680213,444.586800,0.829345,0.740701,0.745
54,-5.999557,410.680213,444.586800,0.434342,2.873706,1.013
55,-1.654689,410.680213,444.586800,0.643718,1.150565,0.726
56,-2.065435,410.680213,444.586800,0.643081,0.590074,1.047
57,-2.961427,410.680213,444.586800,0.585384,0.573029,0.720
58,-1.491142,410.680213,444.586800,0.609209,0.590675,1.061
59,-2.447106,410.680213,444.586800,0.831935,1.231149,0.749
60,-2.351353,410.680213,444.336800,0.621414,1.104632,2.840
61,-2.174222,410.680213,444.336800,0.688353,1.241252,0.739
62,-4.795686,410.680213,444.336800,0.673627,1.574264,1.065
63,-4.030310,410.680213,444.336800,0.487668,1.449005,0.708
64,-3.808094,410.680213,444.336800,0.614602,1.883072,1.052
65,-2.453553,410.680213,444.336800,0.286184,1.094631,0.709
66,-2.518355,410.680213,444.336800,0.675403,0.774146,1.049
67,-4.264400,410.680213,444.336800,0.702419,2.477328,0.745
68,-4.242208,410.680213,444.336800,0.798007,1.584248,1.102
69,-2.326110,410.680213,444.336800,0.964367,1.051176,0.753
70,-2.718221,410.680213,444.336800,0.808941,0.948885,1.086
71,-2.160818,410.680213,444.336800,0.663056,0.915552,0.748
72,-2.214991,410.680213,444.336800,0.543135,1.189975,1.064
73,-4.094945,410.680213,444.336800,0.313754,2.307042,0.753
74,-4.146947,410.680213,444.336800,0.563523,1.398907,1.044
75,-1.876745,410.680213,444.336800,0.672958,0.967533,0.730
76,-2.050389,410.680213,444.336800,0.542564,1.110159,1.049
77,-3.810948,410.680213,444.336800,0.522401,1.270427,0.735
78,-2.789120,410.680213,444.336800,0.438964,0.813297,1.035
79,-1.603033,410.680213,444.336800,0.600540,1.505986,0.723
80,-3.034354,410.680213,445.006800,0.521102,0.990145,2.812
81,-3.148304,410.680213,445.006800,0.668560,1.097990,0.730
82,-3.613448,410.680213,445.006800,0.651819,1.014757,1.060
83,-2.572827,410.680213,445.006800,0.372591,1.379965,0.705
84,-4.782937,410.680213,445.006800,0.387309,1.788165,1.053
85,-3.708441,410.680213,445.006800,0.278693,1.628335,0.690
86,-3.030347,410.680213,445.006800,0.476394,1.677899,1.054
87,-2.678378,410.680213,445.006800,0.528004,1.386568,0.715
88,-2.985279,410.680213,445.006800,0.556277,2.004515,1.049
89,-3.738828,410.680213,445.006800,0.911266,1.332086,0.757
90,-2.679351,410.680213,445.006800,0.504384,0.700248,1.031
91,-1.310283,410.680213,445.006800,0.531813,0.748998,0.747
92,-2.428063,410.680213,445.006800,0.467891,0.902403,1.058
93,-3.959760,410.680213,445.006800,0.608352,1.483789,0.713
94,-3.632596,410.680213,445.006800,0.597759,4.824735,1.065
95,-4.640577,410.680213,445.006800,0.552193,1.908456,0.734
96,-2.587708,410.680213,445.006800,0.444325,1.409132,1.104
97,-3.475957,410.680213,445.006800,0.879584,1.106022,0.749
98,-3.507010,410.680213,445.006800,0.406166,1.662416,1.028
99,-2.612626,410.680213,445.006800,0.645562,0.857349,0.725
100,-1.267572,410.680213,445.006800,0.486175,0.335871,2.830
101,-3.214216,410.680213,445.006800,0.986721,0.812875,0.754
102,-5.071944,410.680213,445.006800,0.569072,1.677127,1.044
103,-5.016614,410.680213,445.006800,0.644021,1.914033,0.729
104,-2.541788,410.680213,445.006800,0.253016,0.923822,1.003
105,-4.365643,410.680213,445.006800,0.456020,1.927243,0.709
106,-2.537298,410.680213,445.006800,0.546840,1.192591,1.066
107,-3.159394,410.680213,445.006800,0.881802,1.630460,0.734
108,-2.363842,410.680213,445.006800,0.836202,1.986202,1.061
109,-2.902875,410.680213,445.006800,0.818660,0.718976,0.743
110,-1.273074,410.680213,445.006800,0.548897,1.061555,1.068
111,-3.995301,410.680213,445.006800,0.831916,1.259053,0.765
112,-3.367333,410.680213,445.006800,0.933057,1.575404,1.106
113,-2.980146,410.680213,445.006800,0.976815,1.055916,0.789
