update,mean_train_return,dev_wwt_mean,entropy,value_loss,seconds
0,-3.824191,409.278138,0.356237,1.769748,1.955
1,-3.370049,409.278138,0.821763,1.222545,1.114
2,-3.578222,409.278138,0.659285,1.275260,1.050
3,-3.859366,409.278138,0.500517,1.074719,0.825
4,-2.745238,409.278138,0.494005,0.497133,1.065
5,-3.807760,409.278138,0.367309,1.512733,0.842
6,-3.226619,409.278138,0.996295,0.835608,0.920
7,-2.792777,409.278138,0.867465,1.037587,0.862
8,-3.299638,409.278138,0.591163,1.953851,1.071
9,-3.553735,409.278138,0.551239,1.001919,0.828
10,-3.342250,409.278138,0.539450,1.190212,1.086
11,-1.358625,409.278138,0.785620,0.305593,0.875
12,-1.337380,409.278138,0.559631,0.536530,1.121
13,-2.961453,409.278138,0.586615,1.023643,0.869
14,-3.371939,409.278138,0.636897,1.286760,1.096
15,-3.759368,409.278138,0.524241,1.217228,0.832
16,-4.543327,409.278138,0.550599,1.861269,1.087
17,-2.199605,409.278138,0.825422,0.912422,0.857
18,-1.442073,409.278138,0.759956,0.300539,1.137
19,-2.399277,409.278138,0.795758,0.816718,0.871
20,-1.737652,410.680213,0.515762,0.506962,1.972
21,-3.699355,410.680213,0.387900,2.062251,0.842
22,-4.292518,410.680213,0.831298,0.899114,1.132
23,-2.891604,410.680213,0.708280,0.906929,0.851
24,-2.910902,410.680213,0.690183,1.992243,1.089
25,-2.258280,410.680213,0.456312,0.910996,0.843
26,-2.791210,410.680213,0.517634,4.520288,1.096
27,-3.280137,410.680213,0.607968,0.806410,0.852
28,-1.885088,410.680213,0.584459,0.857951,1.104
29,-2.291364,410.680213,0.375516,0.935091,0.845
30,-1.644978,410.680213,0.428460,1.707649,1.082
31,-4.080067,410.680213,0.411364,1.530596,0.840
32,-3.248044,410.680213,0.637170,2.108531,1.127
33,-4.914657,410.680213,0.757492,2.188197,0.861
34,-3.916694,410.680213,0.452351,1.565540,1.059
35,-3.944625,410.680213,0.626760,1.121485,0.817
36,-1.189637,410.680213,0.691822,2.799240,1.110
37,-3.232268,410.680213,0.334998,1.467520,0.851
38,-2.197261,410.680213,0.518861,1.546838,1.114
39,-4.818830,410.680213,0.512004,1.078596,0.859
40,-1.489255,410.680213,0.542593,0.640073,1.977
41,-4.055258,410.680213,0.733318,2.398687,0.833
42,-4.930903,410.680213,0.800720,1.623686,1.130
43,-2.470531,410.680213,0.402601,1.842917,0.847
44,-3.007858,410.680213,0.890594,1.832338,1.128
45,-3.875108,410.680213,1.227756,0.956898,0.940
46,-2.638800,410.680213,0.677949,1.407725,1.112
47,-3.177146,410.680213,0.698118,1.569576,0.874
48,-3.698089,410.680213,0.426459,1.367927,1.079
49,-4.199996,410.680213,0.449198,2.098551,0.851
50,-4.794515,410.680213,0.360899,2.592673,1.069
51,-4.276921,410.680213,0.617067,1.670393,0.852
52,-0.761624,410.680213,0.575238,0.874474,1.146
53,-1.181648,410.680213,0.829101,0.772008,0.859
54,-5.992269,410.680213,0.437845,2.860583,1.066
55,-1.651078,410.680213,0.648613,1.171631,0.836
56,-2.058726,410.680213,0.645332,0.604906,1.132
57,-2.961427,410.680213,0.587321,0.569175,0.903
58,-1.487231,410.680213,0.611099,0.609031,1.199
59,-2.436408,410.680213,0.834790,1.225133,0.939
60,-2.341724,410.680213,0.626213,1.099764,2.135
61,-2.174222,410.680213,0.690403,1.270363,0.923
62,-4.801500,410.680213,0.677862,1.584983,1.230
63,-4.030310,410.680213,0.490071,1.450662,0.901
64,-3.810675,410.680213,0.616138,1.873404,1.175
