update,mean_train_return,dev_wwt_mean,dev_wwt_tight,entropy,value_loss,seconds
0,-1.312651,412.711463,454.057400,0.787562,0.457546,2.841
1,-1.652563,412.711463,454.057400,0.772854,0.612061,1.109
2,-4.081245,412.711463,454.057400,0.789055,3.848940,1.076
3,-3.555705,412.711463,454.057400,0.798827,3.787645,0.759
4,-4.503795,412.711463,454.057400,0.954244,0.383103,1.103
5,-1.641829,412.711463,454.057400,0.644067,0.690789,0.727
6,-2.213014,412.711463,454.057400,0.624372,0.702246,1.053
7,-3.865544,412.711463,454.057400,0.660046,1.212831,0.757
8,-3.169091,412.711463,454.057400,0.510098,1.043990,1.072
9,-3.710085,412.711463,454.057400,0.403031,1.444343,0.719
10,-4.379436,412.711463,454.057400,0.593727,1.517318,1.110
11,-2.123330,412.711463,454.057400,0.379779,1.109025,0.700
12,-1.819014,412.711463,454.057400,0.993776,0.543547,1.119
13,-1.423358,412.711463,454.057400,0.690562,1.078569,0.732
14,-4.643313,412.711463,454.057400,0.622981,1.970869,1.080
15,-4.880278,412.711463,454.057400,0.702629,1.683505,0.731
16,-2.123176,412.711463,454.057400,1.051977,1.527240,1.131
17,-3.862637,412.711463,454.057400,0.551733,1.294664,0.732
18,-2.816954,412.711463,454.057400,0.864659,1.114630,1.107
19,-3.360463,412.711463,454.057400,0.555840,1.597179,0.731
20,-3.144801,409.559388,440.249775,0.587677,1.411853,2.884
21,-1.513524,409.559388,440.249775,0.594897,0.477027,0.737
22,-3.114721,409.559388,440.249775,0.682188,1.893124,1.032
23,-2.786093,409.559388,440.249775,0.935118,0.659818,0.761
24,-2.945815,409.559388,440.249775,0.846396,3.116429,1.070
25,-3.758741,409.559388,440.249775,0.544510,1.000680,0.718
26,-3.563897,409.559388,440.249775,0.403509,2.167438,1.028
27,-3.153063,409.559388,440.249775,0.613681,1.767610,0.792
28,-4.929193,409.559388,440.249775,0.494827,1.725318,1.046
29,-4.940566,409.559388,440.249775,0.646512,1.890870,0.735
30,-3.887329,409.559388,440.249775,0.960405,1.281075,1.121
31,-1.957222,409.559388,440.249775,0.907270,0.628336,0.758
32,-2.512963,409.559388,440.249775,0.791243,1.771661,1.071
33,-1.667530,409.559388,440.249775,1.072493,0.621315,0.790
34,-10.051947,409.559388,440.249775,0.593867,66.201618,1.051
35,-3.117238,409.559388,440.249775,0.655724,1.327221,0.738
36,-6.498269,409.559388,440.249775,0.663505,14.481300,1.080
37,-3.934865,409.559388,440.249775,0.805186,2.231484,0.778
38,-2.768166,409.559388,440.249775,0.710212,1.914026,1.079
39,-3.087065,409.559388,440.249775,0.641244,1.145088,0.731
40,-3.401789,410.305213,444.225125,0.648092,1.722447,2.853
41,-3.156491,410.305213,444.225125,0.450288,1.525615,0.724
42,-1.586638,410.305213,444.225125,0.731867,0.622075,1.071
43,-2.074467,410.305213,444.225125,0.659908,1.446300,0.745
44,-3.385248,410.305213,444.225125,0.674780,1.365049,1.113
45,-4.693138,410.305213,444.225125,0.755680,1.401262,0.730
46,-5.584788,410.305213,444.225125,1.094436,10.202197,1.110
47,-4.435009,410.305213,444.225125,0.685665,8.241779,0.745
48,-6.121364,410.305213,444.225125,0.780059,2.086962,1.041
49,-3.828895,410.305213,444.225125,0.649554,1.403969,0.726
50,-2.446874,410.305213,444.225125,0.583206,1.856824,1.027
51,-3.892848,410.305213,444.225125,0.470219,0.950736,0.731
52,-2.669112,410.305213,444.225125,0.707883,1.682431,1.055
53,-3.465658,410.305213,444.225125,0.594866,1.034586,0.741
54,-2.701152,410.305213,444.225125,0.962722,1.105710,1.077
55,-4.441043,410.305213,444.225125,0.540693,2.346456,0.737
56,-3.874236,410.305213,444.225125,0.842939,1.785398,1.075
57,-2.385886,410.305213,444.225125,0.740046,1.587002,0.747
58,-4.466018,410.305213,444.225125,0.720679,1.214253,1.060
59,-2.740055,410.305213,444.225125,0.915499,1.176418,0.776
60,-2.507372,409.621888,440.100975,0.773979,1.291156,2.815
61,-2.031041,409.621888,440.100975,0.669270,0.431453,0.737
62,-1.296436,409.621888,440.100975,0.859505,0.630695,1.130
63,-2.442403,409.621888,440.100975,0.642400,0.675636,0.730
64,-2.026383,409.621888,440.100975,0.820223,1.472349,1.064
65,-3.194304,409.621888,440.100975,0.785977,0.584102,0.757
66,-3.257149,409.621888,440.100975,0.721683,1.206284,1.041
67,-1.665768,409.621888,440.100975,0.750105,0.999994,0.743
68,-4.079940,409.621888,440.100975,0.479512,1.731250,1.036
69,-3.111519,409.621888,440.100975,0.799677,1.476606,0.744
70,-3.930275,409.621888,440.100975,0.685305,1.262921,1.069
71,-4.723723,409.621888,440.100975,0.595727,2.805255,0.707
72,-2.291422,409.621888,440.100975,0.875467,1.086472,1.062
73,-2.277967,409.621888,440.100975,0.808236,1.065880,0.750
74,-2.495687,409.621888,440.100975,0.511826,1.272084,1.070
75,-5.274185,409.621888,440.100975,0.476492,5.086963,0.717
76,-3.270313,409.621888,440.100975,0.685560,1.806644,1.039
77,-4.134715,409.621888,440.100975,0.397776,3.544250,0.707
78,-6.134166,409.621888,440.100975,0.740749,1.684792,1.072
79,-2.084819,409.621888,440.100975,0.563526,0.904254,0.727
80,-2.119141,409.778138,439.931525,0.886688,0.871052,2.694
81,-2.341006,409.778138,439.931525,0.368660,1.106493,0.705
82,-3.675176,409.778138,439.931525,0.443448,1.619383,1.076
83,-12.718356,409.778138,439.931525,0.692398,77.623540,0.737
84,-2.652257,409.778138,439.931525,0.776408,0.871630,1.097
85,-3.930946,409.778138,439.931525,0.493543,2.083039,0.726
86,-3.001088,409.778138,439.931525,0.668410,1.246210,1.085
87,-3.842091,409.778138,439.931525,0.676810,2.819016,0.741
88,-5.337885,409.778138,439.931525,0.613149,4.859391,1.086
89,-3.026479,409.778138,439.931525,0.963924,1.442631,0.791
90,-4.273528,409.778138,439.931525,0.577382,1.932678,1.029
91,-3.361890,409.778138,439.931525,0.410234,1.390886,0.711
92,-2.622313,409.778138,439.931525,0.663131,1.212890,1.096
93,-2.828097,409.778138,439.931525,0.864367,1.366936,0.760
94,-1.788210,409.778138,439.931525,0.785704,1.068306,1.069
95,-3.105179,409.778138,439.931525,1.007089,1.396783,0.779
96,-3.078487,409.778138,439.931525,0.716504,2.481690,1.068
97,-2.285715,409.778138,439.931525,0.879753,1.514821,0.785
98,-3.131245,409.778138,439.931525,0.556054,0.739529,1.046
99,-3.951398,409.778138,439.931525,0.718760,1.613961,0.742
100,-2.428332,410.680213,444.500275,0.733001,0.736677,2.863
101,-2.729364,410.680213,444.500275,1.277420,1.659907,0.837
102,-2.167341,410.680213,444.500275,0.552347,1.180271,1.025
103,-3.708073,410.680213,444.500275,0.489776,1.519371,0.774
104,-2.070913,410.680213,444.500275,0.571647,1.103626,1.040
105,-2.280958,410.680213,444.500275,0.547289,0.627981,0.738
106,-3.097714,410.680213,444.500275,0.622963,1.223015,1.069
107,-2.089658,410.680213,444.500275,0.533754,0.546697,0.761
108,-2.586441,410.680213,444.500275,0.866354,1.190451,0.875
109,-1.833055,410.680213,444.500275,0.637537,0.700428,0.735
110,-1.890245,410.680213,444.500275,0.438871,0.566190,1.041
111,-1.888377,410.680213,444.500275,0.948448,0.847068,0.821
112,-4.670603,410.680213,444.500275,0.831234,5.400120,1.084
113,-3.791368,410.680213,444.500275,0.753446,1.379185,0.750
114,-2.003894,410.680213,444.500275,0.971271,1.325025,1.100
115,-5.172794,410.680213,444.500275,0.577033,1.296814,0.728
116,-2.295698,410.680213,444.500275,0.309518,1.320386,1.022
117,-3.865221,410.680213,444.500275,0.570704,1.756932,0.715
118,-4.234565,410.680213,444.500275,0.706714,5.161548,1.071
119,-3.522654,410.680213,444.500275,0.530140,1.617903,0.810
120,-2.859663,410.711463,444.781125,0.536384,0.975007,2.837
121,-2.885358,410.711463,444.781125,0.691153,1.507967,0.750
122,-2.037566,410.711463,444.781125,0.572719,1.824247,1.072
123,-5.217542,410.711463,444.781125,0.764089,2.309962,0.823
124,-3.323239,410.711463,444.781125,1.047405,0.960309,1.131
125,-2.206338,410.711463,444.781125,0.732915,1.507899,0.775
126,-2.115796,410.711463,444.781125,0.746859,1.260731,1.119
127,-4.074994,410.711463,444.781125,0.628034,2.051479,0.786
128,-3.297408,410.711463,444.781125,0.460302,1.330396,1.065
129,-1.767592,410.711463,444.781125,0.636622,0.958236,0.773
130,-11.783248,410.711463,444.781125,0.684926,59.956186,1.066
