update,mean_train_return,dev_wwt_mean,dev_wwt_tight,entropy,value_loss,seconds
0,-1.747264,425.520838,480.442772,0.837117,0.787478,112.588
1,-3.418653,425.520838,480.442772,0.638722,1.330089,3.783
2,-3.661064,425.520838,480.442772,0.798195,0.977506,4.510
3,-3.766053,425.520838,480.442772,0.574414,1.596617,5.040
4,-3.451630,425.520838,480.442772,0.981916,1.744510,5.344
5,-4.575286,425.520838,480.442772,0.464682,1.999023,4.213
6,-1.920490,425.520838,480.442772,1.199890,0.600619,6.922
7,-1.818010,425.520838,480.442772,0.771131,0.362147,5.590
8,-2.878479,425.520838,480.442772,1.007618,17.937139,5.842
9,-8.183983,425.520838,480.442772,0.624029,7.905812,5.907
10,-3.239689,425.520838,480.442772,0.641956,2.911418,5.813
11,-6.406907,425.520838,480.442772,0.753344,16.408231,5.733
12,-3.945938,425.520838,480.442772,0.737284,2.508944,5.154
13,-2.964807,425.520838,480.442772,0.822379,1.233346,5.211
14,-2.280854,425.520838,480.442772,0.500081,1.839879,6.202
15,-4.183834,425.520838,480.442772,0.675837,1.117751,5.775
16,-3.544594,425.520838,480.442772,0.871963,1.586589,5.494
17,-4.766209,425.520838,480.442772,0.977045,1.583637,5.643
18,-2.621592,425.520838,480.442772,0.668486,0.888631,6.464
19,-3.544775,425.520838,480.442772,0.592865,0.972087,5.636
20,-3.505473,410.867713,451.522013,0.566444,1.758921,113.870
21,-3.616983,410.867713,451.522013,0.809217,1.676095,5.199
22,-3.240649,410.867713,451.522013,0.722153,1.605105,5.010
23,-4.847996,410.867713,451.522013,0.594730,2.197695,4.825
24,-2.552031,410.867713,451.522013,0.543876,2.097452,5.152
25,-4.360390,410.867713,451.522013,0.513272,1.547787,5.672
26,-1.927034,410.867713,451.522013,0.635657,1.099510,6.203
27,-2.636381,410.867713,451.522013,0.632759,1.420924,5.406
28,-4.040974,410.867713,451.522013,0.348868,1.471849,5.680
29,-2.516265,410.867713,451.522013,0.344552,1.587414,5.102
30,-5.388240,410.867713,451.522013,0.450864,1.838408,6.074
31,-3.312317,410.867713,451.522013,0.941601,1.354203,5.201
32,-2.953991,410.867713,451.522013,0.783498,1.581891,6.007
33,-1.846547,410.867713,451.522013,0.781038,0.789755,5.540
34,-3.896774,410.867713,451.522013,0.994991,2.058256,6.329
35,-4.855678,410.867713,451.522013,0.727762,5.262298,5.083
36,-3.692684,410.867713,451.522013,0.671383,2.315255,5.139
37,-2.765112,410.867713,451.522013,0.522789,2.383082,5.549
38,-3.751814,410.867713,451.522013,0.577763,1.697569,6.091
39,-3.330930,410.867713,451.522013,0.515021,1.253588,5.488
40,-3.895711,410.930213,443.121850,0.900079,2.096732,119.868
41,-2.291582,410.930213,443.121850,0.724933,4.700722,4.293
42,-1.930507,410.930213,443.121850,0.583077,1.754450,4.775
43,-2.893465,410.930213,443.121850,0.633014,1.226171,4.858
