update,mean_train_return,dev_wwt_mean,dev_wwt_tight,entropy,value_loss,seconds
0,-2.022075,431.389588,546.506650,0.562939,1.093439,25.385
1,-4.958459,431.389588,546.506650,0.594959,2.066725,0.900
2,-4.329711,431.389588,546.506650,0.689982,1.442812,1.075
3,-4.330107,431.389588,546.506650,0.855840,1.802895,1.094
4,-3.817854,431.389588,546.506650,0.831093,1.897486,1.128
5,-2.289500,431.389588,546.506650,1.084552,0.897389,1.143
6,-3.985055,431.389588,546.506650,0.726153,3.007143,1.126
7,-5.808151,431.389588,546.506650,0.566591,2.229860,1.063
8,-4.467723,431.389588,546.506650,0.791972,1.956028,1.162
9,-1.890903,431.389588,546.506650,0.696657,1.719722,1.154
10,-3.534494,431.389588,546.506650,0.730507,2.247344,1.087
11,-2.172529,431.389588,546.506650,0.538947,1.320658,1.050
12,-4.527134,431.389588,546.506650,0.913878,2.831296,1.121
13,-3.253956,431.389588,546.506650,0.738702,1.567404,1.093
14,-3.473151,431.389588,546.506650,0.694734,1.566039,1.111
15,-1.710133,431.389588,546.506650,0.671188,1.432819,1.100
16,-2.247831,431.389588,546.506650,0.642329,4.768250,1.088
17,-2.491568,431.389588,546.506650,0.387342,2.325007,1.030
18,-3.248334,431.389588,546.506650,0.545778,1.637042,1.064
19,-3.347614,431.389588,546.506650,0.611518,1.407006,1.082
20,-2.529808,410.680213,446.562400,0.726498,1.006166,25.264
21,-3.385008,410.680213,446.562400,0.645957,1.483033,1.176
22,-2.638644,410.680213,446.562400,0.819929,1.453707,1.235
23,-3.520163,410.680213,446.562400,0.704042,1.385890,1.134
24,-3.066001,410.680213,446.562400,0.459463,1.891950,1.024
25,-3.084071,410.680213,446.562400,0.698248,1.569576,1.093
26,-2.417242,410.680213,446.562400,0.580108,0.563161,1.011
27,-1.875950,410.680213,446.562400,0.856365,0.663597,1.061
28,-3.879702,410.680213,446.562400,0.504417,2.139337,0.992
29,-4.467720,410.680213,446.562400,0.698285,1.950680,1.061
30,-2.118802,410.680213,446.562400,0.473490,1.387401,1.038
31,-4.161345,410.680213,446.562400,0.474235,2.958683,1.071
32,-3.960222,410.680213,446.562400,0.719359,1.974839,1.058
33,-3.121834,410.680213,446.562400,0.637678,1.563107,1.075
34,-5.004499,410.680213,446.562400,0.819967,14.648070,1.131
35,-7.786103,410.680213,446.562400,0.660812,1.958870,1.102
36,-5.297875,410.680213,446.562400,0.533327,2.479688,1.084
37,-3.910275,410.680213,446.562400,0.908190,1.593343,1.112
38,-2.259776,410.680213,446.562400,0.578435,1.717233,1.087
39,-3.443280,410.680213,446.562400,0.779913,1.072928,1.087
40,-4.142876,410.680213,445.837000,0.753003,2.733819,25.087
41,-4.632865,410.680213,445.837000,0.584638,1.414851,0.983
42,-3.396626,410.680213,445.837000,0.779726,0.905970,1.146
43,-2.366163,410.680213,445.837000,0.486518,0.793791,1.028
44,-4.317724,410.680213,445.837000,0.716915,2.518492,1.095
45,-2.981611,410.680213,445.837000,0.679412,0.866213,1.021
46,-1.179969,410.680213,445.837000,0.756005,0.586966,1.102
47,-3.060709,410.680213,445.837000,0.733107,0.903493,1.046
48,-2.071496,410.680213,445.837000,0.844775,1.053519,1.088
49,-2.917542,410.680213,445.837000,0.733458,1.821442,1.042
50,-3.520839,410.680213,445.837000,0.477005,1.175358,1.028
51,-2.826798,410.680213,445.837000,0.700893,1.286878,1.058
52,-4.615230,410.680213,445.837000,0.496690,2.408603,0.994
53,-3.361226,410.680213,445.837000,0.855218,3.552354,1.091
54,-5.056527,410.680213,445.837000,0.776353,1.245077,1.089
55,-3.102717,410.680213,445.837000,0.457563,1.422965,1.037
56,-2.060835,410.680213,445.837000,0.991579,0.573949,1.086
57,-2.413724,410.680213,445.837000,0.595260,1.619042,1.058
58,-3.968689,410.680213,445.837000,0.494592,2.166248,1.088
59,-4.167171,410.680213,445.837000,0.816050,1.589301,1.166
60,-3.291109,410.680213,445.319300,0.645662,1.549511,25.166
61,-2.380682,410.680213,445.319300,0.579108,1.041597,1.136
62,-2.231314,410.680213,445.319300,0.549773,1.733683,1.050
63,-1.522291,410.680213,445.319300,0.750970,0.660486,1.071
64,-2.578961,410.680213,445.319300,0.654467,0.715520,1.075
65,-1.946860,410.680213,445.319300,0.356330,0.907199,1.044
66,-3.785237,410.680213,445.319300,0.428075,1.729831,1.077
67,-3.137521,410.680213,445.319300,0.457089,1.010707,1.006
68,-2.569355,410.680213,445.319300,0.589393,2.072680,1.056
69,-4.356957,410.680213,445.319300,1.100384,0.897937,1.103
70,-2.766165,410.680213,445.319300,0.679942,1.537070,1.094
71,-1.917359,410.680213,445.319300,0.433936,0.782020,1.046
72,-2.766129,410.680213,445.319300,0.591976,1.077325,1.048
73,-2.512210,410.680213,445.319300,0.744329,1.220775,1.099
74,-2.959483,410.680213,445.319300,0.568452,1.135411,1.059
75,-2.248400,410.680213,445.319300,0.615240,2.295390,1.021
76,-2.649537,410.680213,445.319300,0.872473,0.557886,1.093
77,-2.497640,410.680213,445.319300,0.675279,0.951799,1.061
78,-2.328874,410.680213,445.319300,0.966465,0.708746,1.208
79,-2.241683,410.680213,445.319300,0.847696,2.158119,1.097
80,-4.354607,410.680213,445.115775,1.172444,1.763268,25.400
81,-3.079537,410.680213,445.115775,0.776087,1.538996,1.091
82,-4.380321,410.680213,445.115775,0.799861,2.013014,1.061
83,-3.702361,410.680213,445.115775,0.724917,2.173951,1.099
84,-3.226269,410.680213,445.115775,1.143037,1.255472,1.150
85,-2.660577,410.680213,445.115775,0.847722,1.264460,1.116
86,-2.580008,410.680213,445.115775,0.743884,0.808089,1.080
87,-4.946774,410.680213,445.115775,0.480945,3.291924,1.002
88,-2.774601,410.680213,445.115775,0.381229,1.387595,1.025
89,-3.283668,410.680213,445.115775,0.340443,1.029514,1.020
90,-3.052035,410.680213,445.115775,0.569070,1.443172,1.050
91,-2.177997,410.680213,445.115775,0.585155,1.001597,1.098
92,-3.411401,410.680213,445.115775,0.521541,5.546411,1.060
93,-5.291933,410.680213,445.115775,0.879331,1.434408,1.073
94,-1.150954,410.680213,445.115775,0.616375,0.733513,1.074
95,-1.573999,410.680213,445.115775,0.634734,1.348058,1.022
96,-2.714483,410.680213,445.115775,1.062575,1.238373,1.156
97,-3.326092,410.680213,445.115775,0.833770,9.557281,1.064
98,-8.341290,410.680213,445.115775,0.537014,1.452910,1.113
99,-3.179651,410.680213,445.115775,0.495059,2.245140,1.116
100,-6.733287,410.680213,445.069300,0.972756,7.682652,25.271
101,-3.940892,410.680213,445.069300,0.715102,0.974423,1.255
102,-1.733797,410.680213,445.069300,0.306853,1.089277,1.083
103,-1.992799,410.680213,445.069300,0.830981,1.117492,1.139
104,-2.962931,410.680213,445.069300,0.606309,1.023314,1.123
105,-4.690491,410.680213,445.069300,0.495215,2.243060,1.062
106,-3.929259,410.680213,445.069300,0.537295,1.036417,1.072
107,-4.465331,410.680213,445.069300,0.356614,2.648267,1.100
108,-3.547851,410.680213,445.069300,0.881701,1.136047,1.148
109,-4.936564,410.680213,445.069300,0.535474,1.721609,1.070
110,-1.700118,410.680213,445.069300,0.576477,0.955423,1.145
111,-4.403003,410.680213,445.069300,0.600362,2.192875,1.123
112,-4.810584,410.680213,445.069300,0.555221,2.333034,1.134
113,-7.308753,410.680213,445.069300,0.708851,2.677050,1.123
114,-3.621495,410.680213,445.069300,0.557265,1.572502,1.140
115,-3.462891,410.680213,445.069300,0.965814,1.214025,1.164
116,-1.517305,410.680213,445.069300,0.565264,1.022815,1.131
117,-3.683143,410.680213,445.069300,0.520666,1.320660,1.109
118,-4.443688,410.680213,445.069300,0.501143,5.234973,1.118
119,-1.282316,410.680213,445.069300,0.624280,2.292379,1.241
120,-6.374100,410.680213,445.069300,0.479588,2.538057,24.917
121,-4.606831,410.680213,445.069300,0.571187,3.426180,1.299
122,-4.018696,410.680213,445.069300,0.859956,2.312342,1.162
123,-3.939390,410.680213,445.069300,0.377665,1.591681,1.113
124,-3.845605,410.680213,445.069300,0.730483,1.585299,1.173
125,-2.520985,410.680213,445.069300,0.484824,1.041329,1.110
126,-4.801736,410.680213,445.069300,0.830402,2.062570,1.137
127,-2.383317,410.680213,445.069300,1.093568,0.695800,1.169
128,-4.502065,410.680213,445.069300,0.650428,9.533427,1.113
129,-3.245940,410.680213,445.069300,0.571352,0.881847,1.090
130,-2.352765,410.680213,445.069300,0.339221,1.596271,1.047
131,-2.812469,410.680213,445.069300,0.408893,1.256151,1.068
132,-3.825916,410.680213,445.069300,0.685217,3.112838,1.160
133,-4.150634,410.680213,445.069300,0.552903,2.600416,1.111
134,-2.643722,410.680213,445.069300,0.690509,1.570623,1.137
135,-3.443752,410.680213,445.069300,0.645202,1.034705,1.147
136,-14.257097,410.680213,445.069300,1.190641,44.350086,1.217
137,-3.659458,410.680213,445.069300,0.732689,2.360179,1.128
138,-3.619650,410.680213,445.069300,0.802542,1.785435,1.172
139,-2.044984,410.680213,445.069300,0.917567,2.061028,1.262
140,-3.098497,410.680213,445.069300,0.808990,1.355375,25.079
141,-4.122088,410.680213,445.069300,0.827017,2.550069,1.163
142,-7.104716,410.680213,445.069300,0.650541,6.651180,1.103
143,-3.970719,410.680213,445.069300,0.565121,1.577670,1.113
144,-3.279872,410.680213,445.069300,0.772855,1.528612,1.092
145,-1.897729,410.680213,445.069300,0.591290,0.950871,1.084
146,-3.613809,410.680213,445.069300,0.717848,1.987378,1.094
147,-2.052605,410.680213,445.069300,0.795103,1.976585,1.121
148,-2.206967,410.680213,445.069300,0.575547,1.524365,1.123
149,-3.156091,410.680213,445.069300,0.589057,1.081414,1.091
150,-3.175686,410.680213,445.069300,0.664717,2.475521,1.116
151,-3.917274,410.680213,445.069300,0.662682,0.485549,1.117
152,-2.005042,410.680213,445.069300,0.625271,1.107999,1.127
153,-2.832921,410.680213,445.069300,0.738392,1.482542,1.133
154,-3.162450,410.680213,445.069300,0.722920,1.271040,1.100
155,-4.592355,410.680213,445.069300,0.657011,1.887574,1.113
156,-3.862368,410.680213,445.069300,0.658314,1.705601,1.092
157,-2.503186,410.680213,445.069300,0.570487,1.065323,1.063
158,-2.493787,410.680213,445.069300,0.671116,1.194367,1.119
159,-9.243690,410.680213,445.069300,0.464704,26.917375,1.142
160,-3.376582,410.680213,444.481850,0.512860,0.908619,25.113
161,-1.138778,410.680213,444.481850,0.383655,0.634895,1.118
162,-2.110020,410.680213,444.481850,0.434854,1.325122,1.151
163,-3.488342,410.680213,444.481850,0.589669,1.414182,1.113
164,-3.336124,410.680213,444.481850,0.458019,0.708588,1.094
165,-1.755457,410.680213,444.481850,0.673186,0.749912,1.057
166,-2.466852,410.680213,444.481850,0.786001,0.947360,1.064
167,-2.486525,410.680213,444.481850,0.684978,0.883826,1.082
168,-2.634632,410.680213,444.481850,0.737482,0.876244,1.082
169,-3.628217,410.680213,444.481850,0.354045,2.323978,1.053
170,-2.282150,410.680213,444.481850,0.691324,0.758282,1.076
171,-1.223200,410.680213,444.481850,0.926220,0.344541,1.106
172,-4.153641,410.680213,444.481850,0.977070,2.723317,1.096
173,-2.355927,410.680213,444.481850,0.752742,3.037266,1.054
174,-4.560279,410.680213,444.481850,0.653736,2.348579,1.070
175,-2.929723,410.680213,444.481850,0.607259,1.016805,1.086
176,-3.284049,410.680213,444.481850,0.473056,1.462366,1.077
177,-1.473412,410.680213,444.481850,0.462211,0.761044,1.063
178,-2.767816,410.680213,444.481850,0.517711,1.656375,1.123
179,-1.956388,410.680213,444.481850,0.558386,0.969372,1.133
180,-3.700254,410.711463,444.543325,0.457736,2.146151,25.254
181,-2.898541,410.711463,444.543325,0.964191,1.036769,1.246
182,-4.299340,410.711463,444.543325,1.036552,1.830937,1.148
183,-2.581259,410.711463,444.543325,0.785726,1.622561,1.218
184,-2.250966,410.711463,444.543325,0.603386,1.066751,1.107
185,-4.761400,410.711463,444.543325,0.918578,1.637687,1.146
186,-3.315139,410.711463,444.543325,0.895237,2.070545,1.127
187,-1.881428,410.711463,444.543325,0.981859,0.902674,1.105
188,-3.344435,410.711463,444.543325,0.833359,1.366867,1.124
189,-2.582820,410.711463,444.543325,0.592446,1.673344,1.111
190,-4.871015,410.711463,444.543325,0.675786,1.530142,1.090
191,-1.881005,410.711463,444.543325,0.624959,1.079890,1.130
192,-2.474054,410.711463,444.543325,0.576653,0.595081,1.087
193,-1.661517,410.711463,444.543325,0.496045,1.095574,1.102
194,-5.734709,410.711463,444.543325,0.503155,2.133577,1.074
195,-3.482852,410.711463,444.543325,0.346973,1.099848,1.057
196,-1.817646,410.711463,444.543325,0.679907,0.811237,1.092
197,-2.831624,410.711463,444.543325,0.802325,1.377584,1.143
198,-2.594063,410.711463,444.543325,0.616946,2.506420,1.077
199,-3.790173,410.711463,444.543325,0.682872,2.631827,1.182
200,-5.314269,410.711463,444.733000,0.875925,3.317500,25.433
201,-0.905746,410.711463,444.733000,0.460486,1.598587,1.084
202,-4.596511,410.711463,444.733000,0.588682,3.070815,1.091
203,-3.976749,410.711463,444.733000,0.915217,1.549288,1.151
204,-4.781403,410.711463,444.733000,0.499663,3.211279,1.181
205,-5.064036,410.711463,444.733000,0.524357,2.191804,1.084
206,-5.152234,410.711463,444.733000,0.536223,3.212263,1.059
207,-3.313886,410.711463,444.733000,0.551483,1.246479,1.084
208,-2.984599,410.711463,444.733000,0.717045,1.227667,1.090
209,-4.361719,410.711463,444.733000,0.549636,1.590743,1.105
210,-3.106660,410.711463,444.733000,0.706636,1.308343,1.098
211,-3.503043,410.711463,444.733000,0.590250,1.381727,1.086
212,-1.717317,410.711463,444.733000,0.458386,1.731929,1.089
213,-3.490267,410.711463,444.733000,0.700968,1.148079,1.122
214,-2.517522,410.711463,444.733000,0.718091,1.704625,1.088
215,-1.761129,410.711463,444.733000,0.604489,0.875313,1.138
216,-1.248897,410.711463,444.733000,0.621667,0.488209,1.089
217,-0.789057,410.711463,444.733000,0.525579,0.297680,1.074
218,-3.777081,410.711463,444.733000,0.822209,2.488176,1.098
219,-3.877869,410.711463,444.733000,1.016150,1.506857,1.199
220,-1.394101,410.836463,448.873225,0.913909,1.199589,25.332
221,-3.967029,410.836463,448.873225,0.884847,1.519996,1.166
222,-3.620709,410.836463,448.873225,0.490340,1.798081,0.994
223,-2.894146,410.836463,448.873225,0.747285,10.737280,1.053
224,-7.708086,410.836463,448.873225,0.716467,1.518869,1.159
225,-2.158443,410.836463,448.873225,0.825314,1.049783,1.053
226,-3.389042,410.836463,448.873225,0.971662,1.590132,1.158
227,-3.443424,410.836463,448.873225,0.880297,0.912741,1.075
228,-3.085947,410.836463,448.873225,0.921279,0.843623,1.047
229,-1.278647,410.836463,448.873225,0.821264,0.832773,1.081
230,-3.619594,410.836463,448.873225,0.467512,1.793618,0.997
231,-3.309067,410.836463,448.873225,0.355665,1.521130,0.988
232,-2.026944,410.836463,448.873225,0.426775,0.979974,1.060
233,-1.491987,410.836463,448.873225,0.917677,0.585321,1.138
234,-2.331855,410.836463,448.873225,0.679101,1.508973,1.098
235,-3.196525,410.836463,448.873225,0.868042,0.468812,1.116
236,-2.205783,410.836463,448.873225,1.095834,0.635641,1.149
237,-2.423324,410.836463,448.873225,0.678808,0.938477,1.047
238,-4.765319,410.836463,448.873225,0.641561,1.989130,1.059
239,-3.792598,410.836463,448.873225,0.513482,2.035134,1.131
240,-3.715875,410.836463,448.795838,0.713384,1.182180,25.122
241,-4.623692,410.836463,448.795838,0.936073,2.653909,1.084
242,-3.015765,410.836463,448.795838,0.656063,1.897911,1.055
243,-1.135673,410.836463,448.795838,0.758187,0.755913,1.097
244,-3.644486,410.836463,448.795838,0.461494,2.446298,1.046
245,-3.445385,410.836463,448.795838,0.665815,1.091674,1.065
246,-2.027123,410.836463,448.795838,0.991425,0.682425,1.132
247,-3.007836,410.836463,448.795838,0.854141,1.462498,1.170
248,-3.031325,410.836463,448.795838,0.587432,1.166391,1.041
249,-1.964141,410.836463,448.795838,0.561541,1.039065,1.033
250,-5.574595,410.836463,448.795838,0.687486,3.538871,1.062
251,-2.747949,410.836463,448.795838,0.735313,1.136035,1.059
252,-1.727787,410.836463,448.795838,0.633701,0.677503,1.011
253,-1.618718,410.836463,448.795838,0.596016,1.442330,1.063
254,-2.560040,410.836463,448.795838,0.604132,1.882115,1.052
255,-4.878915,410.836463,448.795838,0.664330,1.388833,1.051
256,-1.524140,410.836463,448.795838,0.628305,0.584691,1.096
257,-2.939181,410.836463,448.795838,0.480417,1.771059,1.064
258,-2.454451,410.836463,448.795838,0.546199,0.522915,1.089
259,-1.873010,410.836463,448.795838,0.544910,1.931902,1.108
260,-3.024031,410.773963,444.488550,0.699877,0.596549,25.165
