update,mean_train_return,dev_wwt_mean,dev_wwt_tight,entropy,value_loss,seconds
0,-2.022075,432.266950,544.268288,0.563838,1.117243,24.485
1,-4.908326,432.266950,544.268288,0.592324,2.068593,1.152
2,-4.456972,432.266950,544.268288,0.685148,1.451367,1.115
3,-4.422082,432.266950,544.268288,0.851812,1.934472,1.110
4,-4.108858,432.266950,544.268288,0.827657,1.976414,1.162
5,-2.391212,432.266950,544.268288,1.078382,0.872655,1.164
6,-4.106456,432.266950,544.268288,0.722609,2.972266,1.128
7,-6.017317,432.266950,544.268288,0.566349,2.377275,1.095
8,-4.426347,432.266950,544.268288,0.790529,1.910395,1.188
9,-1.883960,432.266950,544.268288,0.700903,1.777611,1.163
10,-3.820591,432.266950,544.268288,0.733750,2.809669,1.204
11,-2.176678,432.266950,544.268288,0.536721,1.363549,1.150
12,-4.566295,432.266950,544.268288,0.912791,2.958395,1.188
13,-3.255640,432.266950,544.268288,0.739984,1.534788,1.163
14,-3.450537,432.266950,544.268288,0.693187,1.480666,1.175
15,-1.718089,432.266950,544.268288,0.671353,1.355599,1.198
16,-2.261109,432.266950,544.268288,0.643307,5.779297,1.181
17,-2.531352,432.266950,544.268288,0.385597,2.336141,1.159
18,-3.250496,432.266950,544.268288,0.545968,1.635939,1.237
19,-3.334890,432.266950,544.268288,0.610011,1.416368,1.259
20,-2.530341,410.680213,451.573250,0.726455,1.006520,24.120
21,-3.385008,410.680213,451.573250,0.646674,1.478082,1.076
22,-2.639310,410.680213,451.573250,0.821328,1.411529,1.148
23,-3.622905,410.680213,451.573250,0.706217,1.359260,1.162
24,-3.087715,410.680213,451.573250,0.458818,1.944756,1.090
25,-3.086922,410.680213,451.573250,0.698839,1.524795,1.211
26,-2.479658,410.680213,451.573250,0.579981,0.537449,1.110
27,-1.875615,410.680213,451.573250,0.853930,0.635869,1.128
28,-3.864518,410.680213,451.573250,0.502827,2.157600,1.087
29,-4.452217,410.680213,451.573250,0.697039,1.959946,1.149
30,-2.190243,410.680213,451.573250,0.473933,1.380539,1.144
31,-4.132249,410.680213,451.573250,0.474292,2.769250,1.178
32,-3.959102,410.680213,451.573250,0.717937,1.960471,1.162
33,-3.117988,410.680213,451.573250,0.638235,1.462478,1.158
34,-5.215832,410.680213,451.573250,0.819662,13.394847,1.195
35,-7.752001,410.680213,451.573250,0.660425,1.736278,1.167
36,-5.332329,410.680213,451.573250,0.532040,2.504570,1.165
37,-3.863827,410.680213,451.573250,0.906942,1.546385,1.220
38,-2.259776,410.680213,451.573250,0.577732,1.600909,1.229
39,-3.389873,410.680213,451.573250,0.777549,1.023091,1.265
40,-4.107003,410.680213,452.154000,0.753865,2.750182,24.056
41,-4.627274,410.680213,452.154000,0.583840,1.403345,1.198
42,-3.409246,410.680213,452.154000,0.778974,0.909653,1.102
43,-2.365671,410.680213,452.154000,0.485382,0.822018,1.012
44,-4.264946,410.680213,452.154000,0.714070,2.491450,1.103
45,-3.018354,410.680213,452.154000,0.673156,0.775428,1.040
46,-1.186284,410.680213,452.154000,0.754691,0.577409,1.092
47,-3.039292,410.680213,452.154000,0.726236,0.880275,1.044
48,-2.089933,410.680213,452.154000,0.840915,1.007181,1.119
49,-2.913746,410.680213,452.154000,0.728795,1.782622,1.164
50,-3.530440,410.680213,452.154000,0.470608,1.271147,1.111
51,-2.786547,410.680213,452.154000,0.696133,1.311575,1.155
52,-4.613649,410.680213,452.154000,0.490921,2.384004,1.079
53,-3.359152,410.680213,452.154000,0.848172,3.595162,1.152
54,-5.061938,410.680213,452.154000,0.772547,1.178494,1.157
55,-3.093407,410.680213,452.154000,0.455177,1.415458,1.105
56,-2.164882,410.680213,452.154000,0.985393,0.516801,1.161
57,-2.391824,410.680213,452.154000,0.596161,1.587887,1.111
58,-3.988763,410.680213,452.154000,0.493319,1.659564,1.191
59,-4.152593,410.680213,452.154000,0.814046,1.486967,1.301
60,-3.294426,410.680213,445.538450,0.642959,1.488330,23.935
61,-2.380682,410.680213,445.538450,0.577755,0.993154,1.088
62,-2.251314,410.680213,445.538450,0.545273,1.671246,1.057
63,-1.523298,410.680213,445.538450,0.749667,0.643691,1.072
64,-2.603076,410.680213,445.538450,0.653635,0.679788,1.099
65,-1.941521,410.680213,445.538450,0.350990,0.926221,1.121
66,-3.773178,410.680213,445.538450,0.430979,1.673232,1.129
67,-3.144867,410.680213,445.538450,0.457764,0.958125,1.080
68,-2.569355,410.680213,445.538450,0.591808,2.184067,1.143
69,-4.349688,410.680213,445.538450,1.100577,0.892671,1.317
70,-2.938612,410.680213,445.538450,0.680519,1.669513,1.221
71,-1.920785,410.680213,445.538450,0.432833,0.779676,1.235
72,-2.766129,410.680213,445.538450,0.592523,1.016031,1.194
73,-2.554949,410.680213,445.538450,0.746130,1.267114,1.239
74,-2.953397,410.680213,445.538450,0.569327,1.105032,1.161
75,-2.250030,410.680213,445.538450,0.613765,2.272372,1.152
76,-2.713160,410.680213,445.538450,0.871257,0.561622,1.200
77,-2.499899,410.680213,445.538450,0.678080,0.907833,1.206
78,-2.356657,410.680213,445.538450,0.969368,0.682359,1.390
79,-2.249831,410.680213,445.538450,0.850652,2.047080,1.316
80,-4.406254,410.773963,471.169197,1.180144,1.677510,23.555
81,-3.105557,410.773963,471.169197,0.784381,1.469115,1.115
82,-4.426983,410.773963,471.169197,0.807754,2.018248,1.108
83,-3.727854,410.773963,471.169197,0.733562,2.116679,1.083
84,-3.515894,410.773963,471.169197,1.154403,1.362743,1.161
85,-2.753839,410.773963,471.169197,0.859209,1.229220,1.098
86,-2.591533,410.773963,471.169197,0.748927,0.779193,1.094
87,-5.039991,410.773963,471.169197,0.492630,3.390099,1.097
88,-2.787958,410.773963,471.169197,0.386092,1.315086,1.170
89,-3.307569,410.773963,471.169197,0.345567,0.964310,1.112
90,-3.061244,410.773963,471.169197,0.582270,1.395499,1.186
91,-2.218840,410.773963,471.169197,0.589852,0.973725,1.230
92,-3.419880,410.773963,471.169197,0.528926,5.384607,1.189
93,-5.308789,410.773963,471.169197,0.895379,1.434096,1.217
94,-1.153161,410.773963,471.169197,0.631855,0.719627,1.206
95,-1.649772,410.773963,471.169197,0.638332,1.351111,1.186
96,-2.744199,410.773963,471.169197,1.070638,1.164838,1.311
97,-3.337932,410.773963,471.169197,0.848558,5.936179,1.183
98,-7.506898,410.773963,471.169197,0.543816,1.215970,1.304
99,-3.208037,410.773963,471.169197,0.504045,2.289260,1.225
100,-6.491860,410.773963,480.995234,0.982412,6.991423,23.888
101,-3.938351,410.773963,480.995234,0.724042,0.911366,1.098
102,-1.731575,410.773963,480.995234,0.313321,0.843379,1.115
103,-2.002165,410.773963,480.995234,0.837591,1.087032,1.130
104,-3.060091,410.773963,480.995234,0.608643,1.043784,1.095
105,-4.700253,410.773963,480.995234,0.502495,2.229222,1.064
106,-3.930688,410.773963,480.995234,0.541357,0.997450,1.103
107,-4.463904,410.773963,480.995234,0.358917,2.667063,1.172
108,-3.554377,410.773963,480.995234,0.887414,1.141225,1.221
109,-5.030192,410.773963,480.995234,0.544670,1.682226,1.136
110,-1.732098,410.773963,480.995234,0.583266,1.031023,1.221
111,-4.411452,410.773963,480.995234,0.607454,2.160674,1.174
112,-4.862618,410.773963,480.995234,0.557350,2.253558,1.200
113,-7.324647,410.773963,480.995234,0.713260,2.616570,1.187
114,-3.622671,410.773963,480.995234,0.560856,1.550938,1.206
115,-3.485637,410.773963,480.995234,0.970819,1.236125,1.239
116,-1.554602,410.773963,480.995234,0.570544,1.069619,1.206
117,-3.587344,410.773963,480.995234,0.529616,1.283650,1.191
118,-4.325809,410.773963,480.995234,0.506349,5.012536,1.234
119,-1.272091,410.773963,480.995234,0.626961,2.290677,1.305
120,-6.364270,410.680213,464.448663,0.482431,2.469171,23.863
121,-4.599757,410.680213,464.448663,0.573615,3.427606,1.103
122,-4.170565,410.680213,464.448663,0.867701,2.440607,1.102
123,-4.139848,410.680213,464.448663,0.381768,1.716896,1.098
124,-3.847767,410.680213,464.448663,0.738655,1.504506,1.108
125,-2.549211,410.680213,464.448663,0.490720,1.095608,1.061
126,-4.669822,410.680213,464.448663,0.834926,1.953620,1.089
127,-2.497382,410.680213,464.448663,1.097645,0.689804,1.157
128,-3.914780,410.680213,464.448663,0.651564,6.086266,1.120
129,-3.275463,410.680213,464.448663,0.572005,0.886068,1.134
130,-2.380026,410.680213,464.448663,0.340610,1.445040,1.100
131,-2.826664,410.680213,464.448663,0.408405,1.301193,1.087
132,-4.061246,410.680213,464.448663,0.685868,3.247160,1.139
133,-4.173419,410.680213,464.448663,0.553817,2.611831,1.099
134,-2.897138,410.680213,464.448663,0.690742,2.234742,1.128
135,-3.443752,410.680213,464.448663,0.640769,1.099510,1.146
