id,base_id,campus,size,condition,sla_multiplier,crew_multiplier,method,seed,feasible,wwt,makespan,mean_flow,breach_share,breach_p1,breach_p2,breach_p3,breach_p4,wall_seconds
c05_replay_150_0100,c05_replay_150_0100,5,150,baseline,1.0,1.0,edd,301,1,0.0,49.1439,4.1807186666666665,0.0,,,0.0,0.0,0.0004519049543887377
c05_replay_150_0100,c05_replay_150_0100,5,150,baseline,1.0,1.0,wspt,301,1,0.0,49.1439,4.170718666666667,0.0,,,0.0,0.0,0.0004198389360681176
c05_replay_150_0100,c05_replay_150_0100,5,150,baseline,1.0,1.0,atc,301,1,0.0,49.1439,4.170718666666667,0.0,,,0.0,0.0,0.0005251549882814288
c05_replay_150_0100,c05_replay_150_0100,5,150,baseline,1.0,1.0,pfifo,301,1,0.0,49.1439,4.1807186666666665,0.0,,,0.0,0.0,0.0003374459920451045
c05_replay_150_0100,c05_replay_150_0100,5,150,baseline,1.0,1.0,lpt,301,1,0.0,49.1439,4.214052,0.0,,,0.0,0.0,0.0003411719808354974
c05_replay_150_0100,c05_replay_150_0100,5,150,baseline,1.0,1.0,random,301,1,0.0,49.1439,4.1807186666666665,0.0,,,0.0,0.0,0.00033987301867455244
c05_replay_150_0100,c05_replay_150_0100,5,150,baseline,1.0,1.0,rl301,301,1,0.0,49.1439,4.170718666666667,0.0,,,0.0,0.0,0.8977913039270788
c05_replay_150_0100,c05_replay_150_0100,5,150,baseline,1.0,1.0,rl302,302,1,0.0,49.1439,4.214052,0.0,,,0.0,0.0,0.8965723420260474
c05_replay_150_0100,c05_replay_150_0100,5,150,baseline,1.0,1.0,rl303,303,1,0.0,49.1439,4.190718666666666,0.0,,,0.0,0.0,0.5466415010159835
c05_replay_150_0100_sla0.5,c05_replay_150_0100,5,150,sla0.5,0.5,1.0,edd,301,1,0.0,49.1439,4.1807186666666665,0.0,,,0.0,0.0,0.00043672905303537846
c05_replay_150_0100_sla0.5,c05_replay_150_0100,5,150,sla0.5,0.5,1.0,wspt,301,1,0.0,49.1439,4.170718666666667,0.0,,,0.0,0.0,0.0003724240232259035
c05_replay_150_0100_sla0.5,c05_replay_150_0100,5,150,sla0.5,0.5,1.0,atc,301,1,0.0,49.1439,4.170718666666667,0.0,,,0.0,0.0,0.000481270020827651
c05_replay_150_0100_sla0.5,c05_replay_150_0100,5,150,sla0.5,0.5,1.0,pfifo,301,1,0.0,49.1439,4.1807186666666665,0.0,,,0.0,0.0,0.00035722600296139717
c05_replay_150_0100_sla0.5,c05_replay_150_0100,5,150,sla0.5,0.5,1.0,lpt,301,1,0.0,49.1439,4.214052,0.0,,,0.0,0.0,0.00034560903441160917
c05_replay_150_0100_sla0.5,c05_replay_150_0100,5,150,sla0.5,0.5,1.0,random,301,1,0.0,49.1439,4.1807186666666665,0.0,,,0.0,0.0,0.0003433850361034274
c05_replay_150_0100_sla0.5,c05_replay_150_0100,5,150,sla0.5,0.5,1.0,rl301,301,1,0.0,49.1439,4.170718666666667,0.0,,,0.0,0.0,0.0262238149298355
c05_replay_150_0100_sla0.5,c05_replay_150_0100,5,150,sla0.5,0.5,1.0,rl302,302,1,0.0,49.1439,4.214052,0.0,,,0.0,0.0,0.026955037959851325
c05_replay_150_0100_sla0.5,c05_replay_150_0100,5,150,sla0.5,0.5,1.0,rl303,303,1,0.0,49.1439,4.190718666666666,0.0,,,0.0,0.0,0.026644546072930098
c05_replay_150_0100_sla1.5,c05_replay_150_0100,5,150,sla1.5,1.5,1.0,edd,301,1,0.0,49.1439,4.1807186666666665,0.0,,,0.0,0.0,0.000470271916128695
