month,sum,count
2016-08,1689.9016000000759,26
2016-09,435.03920000001784,16
2016-10,136.03,9
2016-11,316.74960000000897,18
2016-12,534.7040000000223,14
2017-01,272.3096000000089,22
2017-02,266.07,13
2017-03,715.5644000000134,31
2017-04,394.8048000000045,36
2017-05,490.47960000000893,39
2017-06,867.8892000000178,62
2017-07,1152.269600000009,289
2017-08,1054.0288000000269,75
2017-09,1928.6492000000178,169
2017-10,1559.7940000000224,110
2017-11,2455.6472000000626,290
2017-12,5170.902800000049,819
2018-01,10682.683200000152,1547
2018-02,9454.800400000102,1411
2018-03,9537.84920000013,1467
2018-04,8904.574800000117,1336
2018-05,8652.994000000133,1253
2018-06,9759.875600000098,1712
2018-07,11407.588000000156,1427
2018-08,11035.213200000151,1715
2018-09,9021.128800000139,1488
2018-10,9305.902000000067,1984
2018-11,8638.361200000085,1401
2018-12,5253.902000000067,719
2019-01,13448.41280000016,2480
2019-02,8783.07640000008,1421
2019-03,8822.336000000088,1510
2019-04,7985.8756000000985,1422
2019-05,9925.298800000139,1398
2019-06,8152.9712000000845,1370
2019-07,9391.089600000121,1514
2019-08,8693.560000000112,1444
2019-09,9426.254000000134,1512
2019-10,9117.440800000093,1564
2019-11,6355.12640000008,1244
2019-12,6329.242000000067,1043
2020-01,8018.500400000103,1359
2020-02,5094.147200000062,1026
2020-03,3588.6484000000355,648
2020-04,496.90480000000446,114
