_grp,WOPriority,n
R2_missing_key,5,153314
R2_missing_key,3-EXPEDITED,108002
R2_missing_key,3,93819
R2_missing_key,4-PLANNED,87825
R2_missing_key,42,70305
R2_missing_key,10,51023
R2_missing_key,41,48224
R2_missing_key,3.0,47046
R3_zero_hours,1.0,126683
R3_zero_hours,30.0,81062
R3_zero_hours,40.0,38143
R3_zero_hours,4-ROUTINE,26314
R3_zero_hours,50.0,23644
R3_zero_hours,3.0,21201
R3_zero_hours,45.0,18525
R3_zero_hours,2.0,12646
retained,1.0,434599
retained,3.0,201629
retained,30.0,155131
retained,2.0,119507
retained,4-ROUTINE,100517
retained,40.0,95135
retained,50.0,57377
retained,5-PM,54390
