family,scope,seed,pdr,n_pairs,mean_rl,mean_pdr,delta,wilcoxon_p,wins,ties,losses,beats
replay-default,seed,301,edd,763,315.675,315.52,0.155,0.047599492476482756,14,745,4,0
replay-default,seed,302,edd,763,315.197,315.52,-0.323,0.040235697793500495,14,745,4,1
replay-default,seed,303,edd,763,316.015,315.52,0.495,0.13493594518100172,12,746,5,0
replay-default,pooled3seeds,pooled,edd,2289,,,0.109,0.001466132465934148,40,2236,13,0
replay-default,seed,301,wspt,763,315.675,317.538,-1.863,5.705111337350957e-14,90,669,4,1
replay-default,seed,302,wspt,763,315.197,317.538,-2.341,4.245988025555986e-15,91,669,3,1
replay-default,seed,303,wspt,763,316.015,317.538,-1.523,5.625926983946794e-14,90,669,4,1
replay-default,pooled3seeds,pooled,wspt,2289,,,-1.909,1.0687132076871895e-39,271,2007,11,1
replay-default,seed,301,atc,763,315.675,316.257,-0.582,0.0028868800950297693,23,734,6,1
replay-default,seed,302,atc,763,315.197,316.257,-1.06,0.00033424657644246934,24,734,5,1
replay-default,seed,303,atc,763,316.015,316.257,-0.242,0.0046698135888695895,22,735,6,1
replay-default,pooled3seeds,pooled,atc,2289,,,-0.628,5.880566540115821e-08,69,2203,17,1
replay-default,seed,301,pfifo,763,315.675,315.52,0.155,0.047599492476482756,14,745,4,0
replay-default,seed,302,pfifo,763,315.197,315.52,-0.323,0.040235697793500495,14,745,4,1
replay-default,seed,303,pfifo,763,316.015,315.52,0.495,0.13493594518100172,12,746,5,0
replay-default,pooled3seeds,pooled,pfifo,2289,,,0.109,0.001466132465934148,40,2236,13,0
replay-default,seed,301,mor,763,315.675,321.501,-5.826,5.377595433196692e-07,30,733,0,1
replay-default,seed,302,mor,763,315.197,321.501,-6.304,3.9888898475271685e-07,30,733,0,1
replay-default,seed,303,mor,763,316.015,321.501,-5.486,2.008988451230591e-06,30,730,3,1
replay-default,pooled3seeds,pooled,mor,2289,,,-5.872,1.1867969174048415e-17,90,2196,3,1
replay-default,seed,301,random,763,315.675,318.789,-3.115,1.5804025298625569e-12,71,691,1,1
replay-default,seed,302,random,763,315.197,318.789,-3.592,5.483755858569498e-13,71,691,1,1
replay-default,seed,303,random,763,316.015,318.789,-2.774,1.5804025298625569e-12,71,691,1,1
replay-default,pooled3seeds,pooled,random,2289,,,-3.16,9.479712946152482e-35,213,2073,3,1
replay-tight-m0.8,seed,301,edd,763,322.156,318.452,3.704,0.009219317905702155,31,720,12,0
replay-tight-m0.8,seed,302,edd,763,318.759,318.452,0.307,0.002603919440591175,33,720,10,0
replay-tight-m0.8,seed,303,edd,763,322.495,318.452,4.043,0.015812916577909654,33,720,10,0
replay-tight-m0.8,pooled3seeds,pooled,edd,2289,,,2.685,4.0519216694946705e-06,97,2160,32,0
replay-tight-m0.8,seed,301,wspt,763,322.156,321.696,0.46,2.1917682672506336e-17,128,625,10,0
replay-tight-m0.8,seed,302,wspt,763,318.759,321.696,-2.936,2.2683066413930545e-19,129,626,8,1
replay-tight-m0.8,seed,303,wspt,763,322.495,321.696,0.8,2.8131044806787303e-17,127,626,10,0
replay-tight-m0.8,pooled3seeds,pooled,wspt,2289,,,-0.559,1.4753687877309524e-50,384,1877,28,1
replay-tight-m0.8,seed,301,atc,763,322.156,318.951,3.204,0.00023328640980400735,45,703,15,0
replay-tight-m0.8,seed,302,atc,763,318.759,318.951,-0.192,1.9838001999682597e-05,45,705,13,1
