id,regime,campus,size,method,seed,cap,twt,feasible
c05_replay_150_0102_m0.6,replay-tight,5,150,edd,301,,0.0,1
c05_replay_150_0102_m0.6,replay-tight,5,150,wspt,301,,0.0,1
c05_replay_150_0102_m0.6,replay-tight,5,150,atc,301,,0.0,1
c05_replay_150_0102_m0.6,replay-tight,5,150,pfifo,301,,0.0,1
c05_replay_150_0102_m0.6,replay-tight,5,150,mor,301,,0.0,1
c05_replay_150_0102_m0.6,replay-tight,5,150,random,301,,0.0,1
c05_replay_150_0102_m0.6,replay-tight,5,150,rl301,301,64,0.0,1
c05_replay_150_0102_m0.6,replay-tight,5,150,rl301,301,256,0.0,1
c05_replay_150_0102_m0.6,replay-tight,5,150,rl302,302,64,0.0,1
c05_replay_150_0102_m0.6,replay-tight,5,150,rl302,302,256,0.0,1
c05_replay_150_0102_m0.6,replay-tight,5,150,rl303,303,64,0.0,1
c05_replay_150_0102_m0.6,replay-tight,5,150,rl303,303,256,0.0,1
c05_replay_150_0100_m0.6,replay-tight,5,150,edd,301,,0.0,1
c05_replay_150_0100_m0.6,replay-tight,5,150,wspt,301,,0.0,1
c05_replay_150_0100_m0.6,replay-tight,5,150,atc,301,,0.0,1
c05_replay_150_0100_m0.6,replay-tight,5,150,pfifo,301,,0.0,1
c05_replay_150_0100_m0.6,replay-tight,5,150,mor,301,,0.0,1
c05_replay_150_0100_m0.6,replay-tight,5,150,random,301,,0.0,1
c05_replay_150_0100_m0.6,replay-tight,5,150,rl301,301,64,0.0,1
c05_replay_150_0100_m0.6,replay-tight,5,150,rl301,301,256,0.0,1
c05_replay_150_0100_m0.6,replay-tight,5,150,rl302,302,64,0.0,1
c05_replay_150_0100_m0.6,replay-tight,5,150,rl302,302,256,0.0,1
c05_replay_150_0100_m0.6,replay-tight,5,150,rl303,303,64,0.0,1
c05_replay_150_0100_m0.6,replay-tight,5,150,rl303,303,256,0.0,1
c05_replay_150_0103_m0.6,replay-tight,5,150,edd,301,,44.46300000000002,1
c05_replay_150_0103_m0.6,replay-tight,5,150,wspt,301,,43.793000000000006,1
c05_replay_150_0103_m0.6,replay-tight,5,150,atc,301,,43.793000000000006,1
c05_replay_150_0103_m0.6,replay-tight,5,150,pfifo,301,,44.46300000000002,1
c05_replay_150_0103_m0.6,replay-tight,5,150,mor,301,,43.793000000000006,1
c05_replay_150_0103_m0.6,replay-tight,5,150,random,301,,43.793000000000006,1
c05_replay_150_0103_m0.6,replay-tight,5,150,rl301,301,64,43.793000000000006,1
c05_replay_150_0103_m0.6,replay-tight,5,150,rl301,301,256,43.793000000000006,1
c05_replay_150_0103_m0.6,replay-tight,5,150,rl302,302,64,43.793000000000006,1
c05_replay_150_0103_m0.6,replay-tight,5,150,rl302,302,256,43.793000000000006,1
c05_replay_150_0103_m0.6,replay-tight,5,150,rl303,303,64,43.793000000000006,1
c05_replay_150_0103_m0.6,replay-tight,5,150,rl303,303,256,43.793000000000006,1
c05_replay_150_0104_m0.6,replay-tight,5,150,edd,301,,0.0,1
c05_replay_150_0104_m0.6,replay-tight,5,150,wspt,301,,0.0,1
c05_replay_150_0104_m0.6,replay-tight,5,150,atc,301,,0.0,1
c05_replay_150_0104_m0.6,replay-tight,5,150,pfifo,301,,0.0,1
c05_replay_150_0104_m0.6,replay-tight,5,150,mor,301,,0.0,1
c05_replay_150_0104_m0.6,replay-tight,5,150,random,301,,0.0,1
c05_replay_150_0104_m0.6,replay-tight,5,150,rl301,301,64,0.0,1
c05_replay_150_0104_m0.6,replay-tight,5,150,rl301,301,256,0.0,1
c05_replay_150_0104_m0.6,replay-tight,5,150,rl302,302,64,0.0,1
c05_replay_150_0104_m0.6,replay-tight,5,150,rl302,302,256,0.0,1
c05_replay_150_0104_m0.6,replay-tight,5,150,rl303,303,64,0.0,1
c05_replay_150_0104_m0.6,replay-tight,5,150,rl303,303,256,0.0,1
c05_replay_150_0104_m0.8,replay-tight,5,150,edd,301,,0.0,1
c05_replay_150_0104_m0.8,replay-tight,5,150,wspt,301,,0.0,1
c05_replay_150_0104_m0.8,replay-tight,5,150,atc,301,,0.0,1
c05_replay_150_0104_m0.8,replay-tight,5,150,pfifo,301,,0.0,1
c05_replay_150_0104_m0.8,replay-tight,5,150,mor,301,,0.0,1
c05_replay_150_0104_m0.8,replay-tight,5,150,random,301,,0.0,1
c05_replay_150_0104_m0.8,replay-tight,5,150,rl301,301,64,0.0,1
c05_replay_150_0104_m0.8,replay-tight,5,150,rl301,301,256,0.0,1
c05_replay_150_0104_m0.8,replay-tight,5,150,rl302,302,64,0.0,1
c05_replay_150_0104_m0.8,replay-tight,5,150,rl302,302,256,0.0,1
c05_replay_150_0104_m0.8,replay-tight,5,150,rl303,303,64,0.0,1
c05_replay_150_0104_m0.8,replay-tight,5,150,rl303,303,256,0.0,1
c05_replay_150_0105_m0.6,replay-tight,5,150,edd,301,,0.0,1
c05_replay_150_0105_m0.6,replay-tight,5,150,wspt,301,,0.0,1
c05_replay_150_0105_m0.6,replay-tight,5,150,atc,301,,0.0,1
c05_replay_150_0105_m0.6,replay-tight,5,150,pfifo,301,,0.0,1
c05_replay_150_0105_m0.6,replay-tight,5,150,mor,301,,0.0,1
c05_replay_150_0105_m0.6,replay-tight,5,150,random,301,,0.0,1
c05_replay_150_0105_m0.6,replay-tight,5,150,rl301,301,64,0.0,1
c05_replay_150_0105_m0.6,replay-tight,5,150,rl301,301,256,0.0,1
c05_replay_150_0105_m0.6,replay-tight,5,150,rl302,302,64,0.0,1
c05_replay_150_0105_m0.6,replay-tight,5,150,rl302,302,256,0.0,1
c05_replay_150_0105_m0.6,replay-tight,5,150,rl303,303,64,0.0,1
c05_replay_150_0105_m0.6,replay-tight,5,150,rl303,303,256,0.0,1
c05_replay_150_0101_m0.6,replay-tight,5,150,edd,301,,0.0,1
c05_replay_150_0101_m0.6,replay-tight,5,150,wspt,301,,0.0,1
c05_replay_150_0101_m0.6,replay-tight,5,150,atc,301,,0.0,1
c05_replay_150_0101_m0.6,replay-tight,5,150,pfifo,301,,0.0,1
c05_replay_150_0101_m0.6,replay-tight,5,150,mor,301,,0.0,1
c05_replay_150_0101_m0.6,replay-tight,5,150,random,301,,0.0,1
c05_replay_150_0101_m0.6,replay-tight,5,150,rl301,301,64,0.0,1
c05_replay_150_0101_m0.6,replay-tight,5,150,rl301,301,256,0.0,1
c05_replay_150_0101_m0.6,replay-tight,5,150,rl302,302,64,0.0,1
c05_replay_150_0101_m0.6,replay-tight,5,150,rl302,302,256,0.0,1
c05_replay_150_0101_m0.6,replay-tight,5,150,rl303,303,64,0.0,1
c05_replay_150_0101_m0.6,replay-tight,5,150,rl303,303,256,0.0,1
c05_replay_150_0103_m0.8,replay-tight,5,150,edd,301,,43.45920000000001,1
c05_replay_150_0103_m0.8,replay-tight,5,150,wspt,301,,43.45920000000001,1
c05_replay_150_0103_m0.8,replay-tight,5,150,atc,301,,43.45920000000001,1
c05_replay_150_0103_m0.8,replay-tight,5,150,pfifo,301,,43.45920000000001,1
c05_replay_150_0103_m0.8,replay-tight,5,150,mor,301,,43.45920000000001,1
c05_replay_150_0103_m0.8,replay-tight,5,150,random,301,,43.45920000000001,1
c05_replay_150_0103_m0.8,replay-tight,5,150,rl301,301,64,43.45920000000001,1
c05_replay_150_0103_m0.8,replay-tight,5,150,rl301,301,256,43.45920000000001,1
c05_replay_150_0103_m0.8,replay-tight,5,150,rl302,302,64,43.45920000000001,1
c05_replay_150_0103_m0.8,replay-tight,5,150,rl302,302,256,43.45920000000001,1
c05_replay_150_0103_m0.8,replay-tight,5,150,rl303,303,64,43.45920000000001,1
c05_replay_150_0103_m0.8,replay-tight,5,150,rl303,303,256,43.45920000000001,1
c05_replay_150_0106_m0.6,replay-tight,5,150,edd,301,,1.0,1
c05_replay_150_0106_m0.6,replay-tight,5,150,wspt,301,,1.0,1
c05_replay_150_0106_m0.6,replay-tight,5,150,atc,301,,1.0,1
c05_replay_150_0106_m0.6,replay-tight,5,150,pfifo,301,,1.0,1
c05_replay_150_0106_m0.6,replay-tight,5,150,mor,301,,1.0,1
c05_replay_150_0106_m0.6,replay-tight,5,150,random,301,,1.0,1
c05_replay_150_0106_m0.6,replay-tight,5,150,rl301,301,64,1.0,1
c05_replay_150_0106_m0.6,replay-tight,5,150,rl301,301,256,1.0,1
c05_replay_150_0106_m0.6,replay-tight,5,150,rl302,302,64,1.0,1
c05_replay_150_0106_m0.6,replay-tight,5,150,rl302,302,256,1.0,1
c05_replay_150_0106_m0.6,replay-tight,5,150,rl303,303,64,1.0,1
c05_replay_150_0106_m0.6,replay-tight,5,150,rl303,303,256,1.0,1
c05_replay_150_0106_m0.8,replay-tight,5,150,edd,301,,1.0,1
c05_replay_150_0106_m0.8,replay-tight,5,150,wspt,301,,1.0,1
c05_replay_150_0106_m0.8,replay-tight,5,150,atc,301,,1.0,1
c05_replay_150_0106_m0.8,replay-tight,5,150,pfifo,301,,1.0,1
c05_replay_150_0106_m0.8,replay-tight,5,150,mor,301,,1.0,1
c05_replay_150_0106_m0.8,replay-tight,5,150,random,301,,1.0,1
c05_replay_150_0106_m0.8,replay-tight,5,150,rl301,301,64,1.0,1
c05_replay_150_0106_m0.8,replay-tight,5,150,rl301,301,256,1.0,1
c05_replay_150_0106_m0.8,replay-tight,5,150,rl302,302,64,1.0,1
c05_replay_150_0106_m0.8,replay-tight,5,150,rl302,302,256,1.0,1
c05_replay_150_0106_m0.8,replay-tight,5,150,rl303,303,64,1.0,1
c05_replay_150_0106_m0.8,replay-tight,5,150,rl303,303,256,1.0,1
c05_replay_150_0101_m0.8,replay-tight,5,150,edd,301,,0.0,1
c05_replay_150_0101_m0.8,replay-tight,5,150,wspt,301,,0.0,1
c05_replay_150_0101_m0.8,replay-tight,5,150,atc,301,,0.0,1
c05_replay_150_0101_m0.8,replay-tight,5,150,pfifo,301,,0.0,1
c05_replay_150_0101_m0.8,replay-tight,5,150,mor,301,,0.0,1
c05_replay_150_0101_m0.8,replay-tight,5,150,random,301,,0.0,1
c05_replay_150_0101_m0.8,replay-tight,5,150,rl301,301,64,0.0,1
c05_replay_150_0101_m0.8,replay-tight,5,150,rl301,301,256,0.0,1
c05_replay_150_0101_m0.8,replay-tight,5,150,rl302,302,64,0.0,1
c05_replay_150_0101_m0.8,replay-tight,5,150,rl302,302,256,0.0,1
c05_replay_150_0101_m0.8,replay-tight,5,150,rl303,303,64,0.0,1
c05_replay_150_0101_m0.8,replay-tight,5,150,rl303,303,256,0.0,1
c05_replay_150_0100_m0.8,replay-tight,5,150,edd,301,,0.0,1
c05_replay_150_0100_m0.8,replay-tight,5,150,wspt,301,,0.0,1
