arm,rule,dropped,n_configs,n_clusters,mean_edd,mean_family,mean_diff,ci_lo,ci_hi,margin,verdict,full_mean_diff,full_ci_lo,full_ci_hi,full_margin,full_verdict,delta_vs_full,verdict_changed
q0.95,wmdd,c02_final_150_0000,16,16,1300.788825,1201.14055,-99.64827500000007,-258.77892437500014,17.135110624999946,13.00788825,inconclusive,-93.09329411764713,-236.23732323529424,15.535894999999941,13.11322141176471,inconclusive,-6.554980882352936,0
q0.95,wmdd,c02_final_150_0001,16,16,1341.5378375,1241.6924625000001,-99.84537500000006,-261.1073543750001,15.772806249999903,13.415378375000001,inconclusive,-93.09329411764713,-236.23732323529424,15.535894999999941,13.11322141176471,inconclusive,-6.752080882352928,0
q0.95,wmdd,c02_final_150_0002,16,16,1343.0577250000001,1244.1461,-98.91162500000007,-255.2704418750001,17.64955531249988,13.43057725,inconclusive,-93.09329411764713,-236.23732323529424,15.535894999999941,13.11322141176471,inconclusive,-5.818330882352939,0
q0.95,wmdd,c02_final_150_0003,16,16,1381.871675,1282.9600500000001,-98.91162500000007,-255.57062437500008,18.351699999999948,13.818716750000002,inconclusive,-93.09329411764713,-236.23732323529424,15.535894999999941,13.11322141176471,inconclusive,-5.818330882352939,0
q0.95,wmdd,c02_final_150_0004,16,16,1355.8001250000002,1256.8885,-98.91162500000007,-254.36407781250003,17.013286249999982,13.558001250000002,inconclusive,-93.09329411764713,-236.23732323529424,15.535894999999941,13.11322141176471,inconclusive,-5.818330882352939,0
q0.95,wmdd,c02_final_150_0005,16,16,1392.9022750000001,1293.9906500000002,-98.91162500000007,-255.6008915625001,17.867769062499907,13.929022750000001,inconclusive,-93.09329411764713,-236.23732323529424,15.535894999999941,13.11322141176471,inconclusive,-5.818330882352939,0
q0.95,wmdd,c02_final_150_0006,16,16,1251.896525,1192.030025,-59.866500000000066,-196.29599468750007,28.022093437499876,12.51896525,inconclusive,-93.09329411764713,-236.23732323529424,15.535894999999941,13.11322141176471,inconclusive,33.22679411764707,0
q0.95,wmdd,c02_final_150_0007,16,16,1238.1705625,1153.9689250000001,-84.20163750000006,-238.9936609375001,26.937162812499924,12.381705625,inconclusive,-93.09329411764713,-236.23732323529424,15.535894999999941,13.11322141176471,inconclusive,8.891656617647072,0
q0.95,wmdd,c02_final_150_0008,16,16,1327.284325,1227.0841375,-100.20018750000008,-255.9144625000001,16.64023562499993,13.272843250000001,inconclusive,-93.09329411764713,-236.23732323529424,15.535894999999941,13.11322141176471,inconclusive,-7.1068933823529505,0
q0.95,wmdd,c02_final_150_0009,16,16,1327.1041,1227.080375,-100.02372500000004,-260.5688109375,15.307382812499986,13.271041,inconclusive,-93.09329411764713,-236.23732323529424,15.535894999999941,13.11322141176471,inconclusive,-6.930430882352908,0
q0.95,wmdd,c02_final_150_0010,16,16,1363.8202500000002,1264.908625,-98.91162500000007,-255.2494625000001,16.933208124999886,13.638202500000002,inconclusive,-93.09329411764713,-236.23732323529424,15.535894999999941,13.11322141176471,inconclusive,-5.818330882352939,0
q0.95,wmdd,c02_final_150_0011,16,16,1255.7742375000003,1155.8509374999999,-99.92330000000007,-254.03067031250012,16.522190624999972,12.557742375000004,inconclusive,-93.09329411764713,-236.23732323529424,15.535894999999941,13.11322141176471,inconclusive,-6.8300058823529355,0
q0.95,wmdd,c02_final_150_0012,16,16,1295.5324875000001,1195.0008625,-100.53162500000008,-257.5473453125001,16.733934687499975,12.955324875000002,inconclusive,-93.09329411764713,-236.23732323529424,15.535894999999941,13.11322141176471,inconclusive,-7.438330882352943,0
q0.95,wmdd,c02_final_150_0013,16,16,1305.04825,1207.2758,-97.77245000000008,-257.5538421875001,18.480656874999987,13.050482500000001,inconclusive,-93.09329411764713,-236.23732323529424,15.535894999999941,13.11322141176471,inconclusive,-4.679155882352944,0
q0.95,wmdd,c02_final_150_0014,16,16,1251.710825,1142.11295,-109.59787500000004,-259.9725221875001,5.593840937500034,12.517108250000001,inconclusive,-93.09329411764713,-236.23732323529424,15.535894999999941,13.11322141176471,inconclusive,-16.50458088235291,0
q0.95,wmdd,c02_final_150_0015,16,16,1347.0941750000002,1248.18255,-98.91162500000007,-257.39419187500005,17.264563437499977,13.470941750000001,inconclusive,-93.09329411764713,-236.23732323529424,15.535894999999941,13.11322141176471,inconclusive,-5.818330882352939,0
q0.95,wmdd,c02_final_150_0016,16,16,1213.0822000000003,1175.5769,-37.50530000000004,-131.4677159375001,28.55642812499994,12.130822000000004,inconclusive,-93.09329411764713,-236.23732323529424,15.535894999999941,13.11322141176471,inconclusive,55.58799411764709,0
q0.95,atc,c02_final_150_0000,16,16,1300.788825,1237.7903000000001,-62.99852500000003,-201.40802812500002,43.28001312499993,13.00788825,inconclusive,-59.206423529411786,-189.72089735294122,39.87595441176471,13.11322141176471,inconclusive,-3.7921014705882428,0
q0.95,atc,c02_final_150_0001,16,16,1341.5378375,1277.5556124999998,-63.982225000000014,-205.69754718750002,41.77605937499996,13.415378375000001,inconclusive,-59.206423529411786,-189.72089735294122,39.87595441176471,13.11322141176471,inconclusive,-4.7758014705882275,0
q0.95,atc,c02_final_150_0002,16,16,1343.0577250000001,1280.1509,-62.906825000000026,-201.13079406250003,43.37815812499997,13.43057725,inconclusive,-59.206423529411786,-189.72089735294122,39.87595441176471,13.11322141176471,inconclusive,-3.7004014705882398,0
q0.95,atc,c02_final_150_0003,16,16,1381.871675,1318.9648499999998,-62.906825000000026,-205.4401959375001,42.430635312499994,13.818716750000002,inconclusive,-59.206423529411786,-189.72089735294122,39.87595441176471,13.11322141176471,inconclusive,-3.7004014705882398,0
q0.95,atc,c02_final_150_0004,16,16,1355.8001250000002,1292.8933,-62.906825000000026,-202.31455500000007,42.02923437499994,13.558001250000002,inconclusive,-59.206423529411786,-189.72089735294122,39.87595441176471,13.11322141176471,inconclusive,-3.7004014705882398,0
