scope,family,unit,n_rows,n_methods,median,p90,mean,min,max
empirical_all,rolling,ms_per_decision,160,1,125.59873336762774,1492.081485965875,430.38133526116997,5.089118607921174,2026.7578546578688
empirical_all,rolling,s_per_replan,160,1,0.1252744069167607,1.4909719541628745,0.42968123679430087,0.0048860802308882,2.0253210259834304
empirical_all,rules,ms_per_decision,4109,7,0.0029460425139404,0.007817146484740044,0.004489190959028535,0.0015626133730014,0.1080387699767015
empirical_all,v1_mlp,ms_per_decision,1761,3,0.2176341266992191,0.4287089733406901,0.28271925647138557,0.1251558066966633,2.663154593513658
empirical_all,v2_attn,ms_per_decision,5870,10,0.5819182778456404,0.8865757411986126,0.6474093787001844,0.4270859624375589,3.2191486198765538
empirical_all,v2_mlp,ms_per_decision,5870,10,0.19400047269300555,0.34860296011902403,0.22954932778492235,0.1240162173053249,5.767615526759376
empirical_verdict,rolling,ms_per_decision,144,1,107.86939675053,1535.045890656807,427.4066251870047,5.089118607921174,2026.7578546578688
empirical_verdict,rolling,s_per_replan,144,1,0.10764970564746776,1.5321921967267038,0.4266660549920942,0.0048860802308882,2.0253210259834304
empirical_verdict,rules,ms_per_decision,3780,7,0.0029642099980264,0.008136820484651159,0.00459358202962539,0.0015730131417512,0.1080387699767015
empirical_verdict,v1_mlp,ms_per_decision,1620,3,0.2194303550641052,0.429964841498683,0.28401020690779594,0.1251558066966633,2.663154593513658
empirical_verdict,v2_attn,ms_per_decision,5400,10,0.5827569759761293,0.8680340314167553,0.6463604060186714,0.4270859624375589,3.2191486198765538
empirical_verdict,v2_mlp,ms_per_decision,5400,10,0.19458694616332645,0.3478077547624707,0.229954590301107,0.1240162173053249,5.767615526759376
generator,rules,ms_per_decision,2100,7,0.00610700666550275,0.03432109564566717,0.016124283069152333,0.0016254763213333,0.2386267493624499
generator,v1_mlp,ms_per_decision,900,3,0.45118416586397064,1.4220049170913465,0.6858037221007846,0.1487432634681017,3.9605186616254873
generator,v2_attn,ms_per_decision,3000,10,0.8065049765534755,1.6431785168354414,1.0075181328346923,0.4213101515384687,5.1328199109317545
generator,v2_mlp,ms_per_decision,3000,10,0.4312526734019918,1.4778938977193128,0.6850085543193302,0.1330651879966767,3.926265501114526
