analysis,sweep,scope_type,scope,method,verdict_base,verdict_swept,check,arm,stratum
final,half,emp_m,m=0.6,v2rl305,equivalent,inconclusive,,,
final,half,emp_m,m=0.6,v2at302,equivalent,inconclusive,,,
final,half,emp_m,m=0.6,v2rl308,equivalent,inconclusive,,,
final,half,emp_m,m=0.6,v2rl307,equivalent,inconclusive,,,
final,half,emp_m,m=0.6,rl302,equivalent,inconclusive,,,
final,half,emp_m,m=0.6,v2at310,equivalent,inconclusive,,,
final,half,emp_m,m=0.6,v2rl301,equivalent,inconclusive,,,
final,half,emp_m,m=0.6,rl303,equivalent,inconclusive,,,
final,half,emp_m,m=0.6,edd,equivalent,inconclusive,,,
final,half,emp_m,m=0.6,pfifo,equivalent,inconclusive,,,
final,half,emp_m,m=0.8,v2at309,equivalent,inconclusive,,,
final,half,emp_m,m=0.8,wmdd,equivalent,inconclusive,,,
final,half,emp_m,m=0.8,v2at308,equivalent,inconclusive,,,
final,half,emp_m,m=0.8,v2at306,equivalent,inconclusive,,,
final,half,emp_m,m=0.8,v2at304,equivalent,inconclusive,,,
final,half,emp_m,m=0.8,v2at307,equivalent,inconclusive,,,
final,half,emp_m,m=0.8,atc,equivalent,inconclusive,,,
final,half,emp_m,m=0.8,v2at303,equivalent,inconclusive,,,
final,half,emp_m,m=1.0,lpt,equivalent,inconclusive,,,
final,half,emp_m,m=1.0,v2at301,equivalent,inconclusive,,,
final,half,emp_m,m=1.0,random,equivalent,inconclusive,,,
final,half,emp_m,m=1.0,wspt,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.6|u_bin=0.5-0.8,v2rl305,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.6|u_bin=0.5-0.8,v2rl301,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.6|u_bin=0.5-0.8,v2rl306,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.6|u_bin=0.5-0.8,v2rl308,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.6|u_bin=0.5-0.8,v2rl302,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.6|u_bin=0.8-1.0,v2rl301,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.6|u_bin=0.8-1.0,rl303,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.6|u_bin=<0.5,edd,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.6|u_bin=<0.5,pfifo,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.6|u_bin=<0.5,rl303,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.6|u_bin=<0.5,v2rl304,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.6|u_bin=<0.5,v2rl308,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.6|u_bin=>=1.2,v2rl305,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.6|u_bin=>=1.2,v2rl301,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.6|u_bin=>=1.2,v2rl304,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.6|u_bin=>=1.2,v2rl310,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.6|u_bin=>=1.2,v2at310,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.6|u_bin=>=1.2,rl303,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.8|u_bin=0.5-0.8,v2at310,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.8|u_bin=0.5-0.8,v2rl309,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.8|u_bin=0.5-0.8,wmdd,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.8|u_bin=0.5-0.8,v2at306,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.8|u_bin=0.5-0.8,v2at309,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.8|u_bin=0.5-0.8,v2at308,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.8|u_bin=0.5-0.8,v2at304,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.8|u_bin=0.8-1.0,atc,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.8|u_bin=0.8-1.0,v2at306,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.8|u_bin=0.8-1.0,v2at308,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.8|u_bin=0.8-1.0,v2at303,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.8|u_bin=0.8-1.0,lpt,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.8|u_bin=0.8-1.0,v2at301,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.8|u_bin=0.8-1.0,v2at307,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.8|u_bin=1.0-1.2,v2at308,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.8|u_bin=1.0-1.2,v2rl304,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.8|u_bin=1.0-1.2,v2rl310,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.8|u_bin=1.0-1.2,v2rl305,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.8|u_bin=<0.5,v2at306,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.8|u_bin=<0.5,v2at308,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.8|u_bin=<0.5,v2at307,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.8|u_bin=<0.5,atc,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.8|u_bin=<0.5,wmdd,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.8|u_bin=<0.5,random,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.8|u_bin=<0.5,v2at304,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.8|u_bin=<0.5,v2at301,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.8|u_bin=<0.5,v2at303,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=0.8|u_bin=>=1.2,random,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=1.0|u_bin=0.5-0.8,wspt,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=1.0|u_bin=<0.5,random,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=1.0|u_bin=<0.5,v2at301,equivalent,inconclusive,,,
final,half,emp_m_ubin,m=1.0|u_bin=<0.5,wspt,equivalent,inconclusive,,,
final,half,emp_ubin,u_bin=0.5-0.8,rl303,equivalent,inconclusive,,,
final,half,emp_ubin,u_bin=0.5-0.8,v2rl309,equivalent,inconclusive,,,
final,half,emp_ubin,u_bin=0.5-0.8,v2at305,equivalent,inconclusive,,,
final,half,emp_ubin,u_bin=0.5-0.8,v2at309,equivalent,inconclusive,,,
final,half,emp_ubin,u_bin=0.5-0.8,wmdd,equivalent,inconclusive,,,
final,half,emp_ubin,u_bin=0.5-0.8,v2at306,equivalent,inconclusive,,,
final,half,emp_ubin,u_bin=0.8-1.0,v2rl307,equivalent,inconclusive,,,
final,half,emp_ubin,u_bin=0.8-1.0,v2at302,equivalent,inconclusive,,,
final,half,emp_ubin,u_bin=0.8-1.0,v2rl303,equivalent,inconclusive,,,
final,half,emp_ubin,u_bin=0.8-1.0,rl302,equivalent,inconclusive,,,
final,half,emp_ubin,u_bin=0.8-1.0,rl301,equivalent,inconclusive,,,
final,half,emp_ubin,u_bin=0.8-1.0,v2rl310,equivalent,inconclusive,,,
final,half,emp_ubin,u_bin=0.8-1.0,v2at310,equivalent,inconclusive,,,
final,half,emp_ubin,u_bin=0.8-1.0,v2rl308,equivalent,inconclusive,,,
final,half,emp_ubin,u_bin=0.8-1.0,v2rl304,equivalent,inconclusive,,,
final,half,emp_ubin,u_bin=<0.5,wmdd,equivalent,inconclusive,,,
final,half,emp_ubin,u_bin=<0.5,atc,equivalent,inconclusive,,,
final,half,emp_ubin,u_bin=<0.5,v2at307,equivalent,inconclusive,,,
final,half,emp_ubin,u_bin=<0.5,v2at306,equivalent,inconclusive,,,
final,half,emp_ubin,u_bin=<0.5,v2at308,equivalent,inconclusive,,,
final,half,emp_ubin,u_bin=<0.5,v2at304,equivalent,inconclusive,,,
final,half,emp_ubin,u_bin=<0.5,v2at303,equivalent,inconclusive,,,
final,half,emp_ubin,u_bin=<0.5,random,equivalent,inconclusive,,,
final,half,emp_ubin,u_bin=<0.5,v2at301,equivalent,inconclusive,,,
final,half,emp_ubin,u_bin=>=1.2,rl303,equivalent,inconclusive,,,
final,half,emp_ubin,u_bin=>=1.2,v2rl308,equivalent,inconclusive,,,
final,half,emp_ubin,u_bin=>=1.2,rl302,equivalent,inconclusive,,,
final,half,gen_all,ALL,pfifo,equivalent,inconclusive,,,
final,half,gen_all,ALL,edd,equivalent,inconclusive,,,
final,half,gen_all,ALL,v2at310,equivalent,inconclusive,,,
final,half,gen_utarget,u_target=0.7,rl302,equivalent,inconclusive,,,
final,half,gen_utarget,u_target=0.7,v2at304,equivalent,inconclusive,,,
final,half,gen_utarget,u_target=0.7,v2at305,equivalent,inconclusive,,,
final,half,gen_utarget,u_target=0.7,wspt,equivalent,inconclusive,,,
final,half,gen_utarget,u_target=0.9,edd,equivalent,inconclusive,,,
final,half,gen_utarget,u_target=0.9,pfifo,equivalent,inconclusive,,,
final,half,gen_utarget,u_target=0.9,v2at310,equivalent,inconclusive,,,
final,half,gen_utarget,u_target=0.9,v2at307,equivalent,inconclusive,,,
final,half,gen_utarget,u_target=0.9,wmdd,equivalent,inconclusive,,,
final,half,gen_utarget,u_target=1.0,v2rl307,equivalent,inconclusive,,,
final,half,gen_utarget,u_target=1.0,v2rl302,equivalent,inconclusive,,,
final,half,gen_utarget,u_target=1.0,v2rl306,equivalent,inconclusive,,,
final,half,gen_utarget,u_target=1.0,v2rl304,equivalent,inconclusive,,,
