id,campus,size,n_wos,n_shared_wos,shared_frac,component,component_size
c01_final_150_0000,1,150,150,0,0.0,c01_final_150_0000,1
c01_final_150_0001,1,150,150,0,0.0,c01_final_150_0001,1
c01_final_150_0002,1,150,150,0,0.0,c01_final_150_0002,1
c01_final_150_0003,1,150,150,0,0.0,c01_final_150_0003,1
c01_final_150_0004,1,150,150,0,0.0,c01_final_150_0004,1
c01_final_150_0005,1,150,150,0,0.0,c01_final_150_0005,1
c01_final_150_0006,1,150,150,0,0.0,c01_final_150_0006,1
c01_final_150_0007,1,150,150,0,0.0,c01_final_150_0007,1
c01_final_150_0008,1,150,150,0,0.0,c01_final_150_0008,1
c01_final_150_0009,1,150,150,0,0.0,c01_final_150_0009,1
c01_final_150_0010,1,150,150,0,0.0,c01_final_150_0010,1
c01_final_150_0011,1,150,150,0,0.0,c01_final_150_0011,1
c01_final_150_0012,1,150,150,0,0.0,c01_final_150_0012,1
c01_final_150_0013,1,150,150,0,0.0,c01_final_150_0013,1
c01_final_150_0014,1,150,150,0,0.0,c01_final_150_0014,1
c01_final_150_0015,1,150,150,0,0.0,c01_final_150_0015,1
c01_final_150_0016,1,150,150,0,0.0,c01_final_150_0016,1
c01_final_150_0017,1,150,150,0,0.0,c01_final_150_0017,1
c01_final_150_0018,1,150,150,0,0.0,c01_final_150_0018,1
c01_final_150_0019,1,150,150,0,0.0,c01_final_150_0019,1
c01_final_150_0020,1,150,150,0,0.0,c01_final_150_0020,1
c01_final_150_0021,1,150,150,0,0.0,c01_final_150_0021,1
c01_final_150_0022,1,150,150,0,0.0,c01_final_150_0022,1
c01_final_150_0023,1,150,150,0,0.0,c01_final_150_0023,1
c01_final_150_0024,1,150,150,0,0.0,c01_final_150_0024,1
c01_final_150_0025,1,150,150,0,0.0,c01_final_150_0025,1
c01_final_150_0026,1,150,150,0,0.0,c01_final_150_0026,1
c01_final_150_0027,1,150,150,0,0.0,c01_final_150_0027,1
c01_final_150_0028,1,150,150,0,0.0,c01_final_150_0028,1
c01_final_150_0029,1,150,150,0,0.0,c01_final_150_0029,1
c02_final_150_0000,2,150,150,0,0.0,c02_final_150_0000,1
c02_final_150_0001,2,150,150,0,0.0,c02_final_150_0001,1
c02_final_150_0002,2,150,150,0,0.0,c02_final_150_0002,1
c02_final_150_0003,2,150,150,0,0.0,c02_final_150_0003,1
c02_final_150_0004,2,150,150,0,0.0,c02_final_150_0004,1
c02_final_150_0005,2,150,150,0,0.0,c02_final_150_0005,1
c02_final_150_0006,2,150,150,0,0.0,c02_final_150_0006,1
c02_final_150_0007,2,150,150,0,0.0,c02_final_150_0007,1
c02_final_150_0008,2,150,150,0,0.0,c02_final_150_0008,1
c02_final_150_0009,2,150,150,0,0.0,c02_final_150_0009,1
c02_final_150_0010,2,150,150,0,0.0,c02_final_150_0010,1
c02_final_150_0011,2,150,150,0,0.0,c02_final_150_0011,1
c02_final_150_0012,2,150,150,0,0.0,c02_final_150_0012,1
c02_final_150_0013,2,150,150,0,0.0,c02_final_150_0013,1
c02_final_150_0014,2,150,150,0,0.0,c02_final_150_0014,1
c02_final_150_0015,2,150,150,0,0.0,c02_final_150_0015,1
c02_final_150_0016,2,150,150,0,0.0,c02_final_150_0016,1
c05_final_150_0000,5,150,150,0,0.0,c05_final_150_0000,1
c05_final_150_0001,5,150,150,0,0.0,c05_final_150_0001,1
c05_final_150_0002,5,150,150,0,0.0,c05_final_150_0002,1
c05_final_150_0003,5,150,150,0,0.0,c05_final_150_0003,1
c05_final_150_0004,5,150,150,0,0.0,c05_final_150_0004,1
c05_final_150_0005,5,150,150,0,0.0,c05_final_150_0005,1
c05_final_150_0006,5,150,150,0,0.0,c05_final_150_0006,1
c05_final_150_0007,5,150,150,0,0.0,c05_final_150_0007,1
c05_final_150_0008,5,150,150,0,0.0,c05_final_150_0008,1
c05_final_150_0009,5,150,150,0,0.0,c05_final_150_0009,1
c05_final_150_0010,5,150,150,0,0.0,c05_final_150_0010,1
c05_final_150_0011,5,150,150,0,0.0,c05_final_150_0011,1
c05_final_150_0012,5,150,150,0,0.0,c05_final_150_0012,1
c05_final_150_0013,5,150,150,0,0.0,c05_final_150_0013,1
c05_final_150_0014,5,150,150,0,0.0,c05_final_150_0014,1
c05_final_150_0015,5,150,150,0,0.0,c05_final_150_0015,1
c05_final_150_0016,5,150,150,0,0.0,c05_final_150_0016,1
c05_final_150_0017,5,150,150,0,0.0,c05_final_150_0017,1
c05_final_150_0018,5,150,150,0,0.0,c05_final_150_0018,1
c05_final_150_0019,5,150,150,0,0.0,c05_final_150_0019,1
c05_final_150_0020,5,150,150,0,0.0,c05_final_150_0020,1
c05_final_150_0021,5,150,150,0,0.0,c05_final_150_0021,1
c05_final_150_0022,5,150,150,0,0.0,c05_final_150_0022,1
c05_final_150_0023,5,150,150,0,0.0,c05_final_150_0023,1
c05_final_150_0024,5,150,150,0,0.0,c05_final_150_0024,1
c05_final_150_0025,5,150,150,0,0.0,c05_final_150_0025,1
c05_final_150_0026,5,150,150,0,0.0,c05_final_150_0026,1
c05_final_150_0027,5,150,150,0,0.0,c05_final_150_0027,1
c05_final_150_0028,5,150,150,0,0.0,c05_final_150_0028,1
c05_final_150_0029,5,150,150,0,0.0,c05_final_150_0029,1
c09_final_150_0000,9,150,150,0,0.0,c09_final_150_0000,1
c09_final_150_0001,9,150,150,0,0.0,c09_final_150_0001,1
c09_final_150_0002,9,150,150,0,0.0,c09_final_150_0002,1
c09_final_150_0003,9,150,150,0,0.0,c09_final_150_0003,1
