id_a,id_b,campus,size_a,size_b,kind,n_shared,frac_a,frac_b
c10_final_150_0000,c10_final_400_0000,10,150,400,cross-size,150,1.0,0.375
c10_final_150_0001,c10_final_400_0001,10,150,400,cross-size,150,1.0,0.375
c10_final_150_0002,c10_final_400_0002,10,150,400,cross-size,150,1.0,0.375
c10_final_150_0003,c10_final_400_0003,10,150,400,cross-size,150,1.0,0.375
c10_final_150_0004,c10_final_400_0004,10,150,400,cross-size,150,1.0,0.375
c10_final_150_0006,c10_final_400_0005,10,150,400,cross-size,150,1.0,0.375
c10_final_150_0007,c10_final_400_0006,10,150,400,cross-size,150,1.0,0.375
c10_final_150_0008,c10_final_400_0007,10,150,400,cross-size,150,1.0,0.375
c10_final_150_0009,c10_final_400_0008,10,150,400,cross-size,150,1.0,0.375
c10_final_150_0010,c10_final_400_0009,10,150,400,cross-size,150,1.0,0.375
c10_final_150_0011,c10_final_400_0010,10,150,400,cross-size,150,1.0,0.375
c10_final_150_0012,c10_final_400_0011,10,150,400,cross-size,150,1.0,0.375
c10_final_150_0013,c10_final_400_0012,10,150,400,cross-size,150,1.0,0.375
c10_final_150_0014,c10_final_400_0013,10,150,400,cross-size,150,1.0,0.375
c10_final_150_0015,c10_final_400_0014,10,150,400,cross-size,150,1.0,0.375
c10_final_150_0016,c10_final_400_0015,10,150,400,cross-size,150,1.0,0.375
c10_final_150_0017,c10_final_400_0016,10,150,400,cross-size,150,1.0,0.375
c10_final_150_0018,c10_final_400_0017,10,150,400,cross-size,150,1.0,0.375
c10_final_150_0019,c10_final_400_0018,10,150,400,cross-size,150,1.0,0.375
c10_final_150_0020,c10_final_400_0019,10,150,400,cross-size,150,1.0,0.375
c10_final_150_0021,c10_final_400_0020,10,150,400,cross-size,150,1.0,0.375
c10_final_150_0023,c10_final_400_0021,10,150,400,cross-size,150,1.0,0.375
c10_final_150_0025,c10_final_400_0022,10,150,400,cross-size,150,1.0,0.375
c10_final_150_0026,c10_final_400_0023,10,150,400,cross-size,150,1.0,0.375
c10_final_150_0027,c10_final_400_0024,10,150,400,cross-size,150,1.0,0.375
c10_final_150_0028,c10_final_400_0025,10,150,400,cross-size,150,1.0,0.375
c10_final_150_0029,c10_final_400_0026,10,150,400,cross-size,150,1.0,0.375
c12_final_150_0000,c12_final_400_0001,12,150,400,cross-size,150,1.0,0.375
c12_final_150_0002,c12_final_400_0015,12,150,400,cross-size,150,1.0,0.375
c12_final_150_0003,c12_final_400_0015,12,150,400,cross-size,27,0.18,0.0675
c12_final_150_0006,c12_final_400_0002,12,150,400,cross-size,150,1.0,0.375
c12_final_150_0008,c12_final_400_0003,12,150,400,cross-size,150,1.0,0.375
c12_final_150_0010,c12_final_400_0004,12,150,400,cross-size,150,1.0,0.375
c12_final_150_0012,c12_final_400_0005,12,150,400,cross-size,150,1.0,0.375
c12_final_150_0016,c12_final_400_0006,12,150,400,cross-size,150,1.0,0.375
c12_final_150_0017,c12_final_400_0007,12,150,400,cross-size,150,1.0,0.375
c12_final_150_0018,c12_final_400_0008,12,150,400,cross-size,150,1.0,0.375
c12_final_150_0019,c12_final_400_0009,12,150,400,cross-size,150,1.0,0.375
c12_final_150_0020,c12_final_400_0010,12,150,400,cross-size,150,1.0,0.375
c12_final_150_0024,c12_final_400_0011,12,150,400,cross-size,150,1.0,0.375
c12_final_150_0026,c12_final_400_0012,12,150,400,cross-size,150,1.0,0.375
