id,cluster,source,arm,campus,track,regime,size,crew_multiplier,crew_q,n_technicians,window_bh,n_trades,n_trades_active,n_trades_no_crew,n_fallback_trades,total_p_bh,u_realized,u_recomputed,u_bin,overload_share,ov_band,overload_share_even,overload_excess,max_u_trade,cv_u_weighted,share_trades_over,wwt_edd,wwt_wmdd,wwt_atc,wwt_min_common,argmin_method,d_wmdd,d_atc,rel_d_wmdd,rel_d_atc
c01_final_150_0000_q75,c01_final_150_0000,cap_q75,q75,1,replay,cap-empirical,150,1.0,0.75,60,13.8719,11,10,0,0,787.7296,0.946433,0.9464331970866765,0.8-1.0,0.8362382218466844,>=0.75,0.8362382218466845,-1.1102230246251565e-16,2.234733526049063,0.42855456779666457,0.5,424.2592,424.2592,424.2592,424.2592,edd,0.0,0.0,0.0,0.0
c01_final_150_0001_q75,c01_final_150_0001,cap_q75,q75,1,replay,cap-empirical,150,1.0,0.75,60,3.1106,11,7,0,0,368.8648,1.976386,1.976386120576952,>=1.2,0.9444240816689475,>=0.75,0.9444240816689475,0.0,5.08722432971131,0.3859985723813343,0.42857142857142855,0.0,0.0,0.0,0.0,edd,0.0,0.0,,
c01_final_150_0002_q75,c01_final_150_0002,cap_q75,q75,1,replay,cap-empirical,150,1.0,0.75,60,16.0,11,9,0,0,403.75,0.420573,0.4205729166666667,<0.5,0.0,<0.25,0.0,0.0,0.9791666666666666,0.3062123393979457,0.0,8.0,8.0,8.0,8.0,edd,0.0,0.0,0.0,0.0
c01_final_150_0003_q75,c01_final_150_0003,cap_q75,q75,1,replay,cap-empirical,150,1.0,0.75,60,8.2836,11,8,0,0,299.0,0.60159,0.6015902908558276,0.5-0.8,0.2976588628762542,0.25-0.5,0.2976588628762542,0.0,1.0744120913612438,0.32023083241658545,0.125,0.0,0.0,0.0,0.0,edd,0.0,0.0,,
c01_final_150_0004_q75,c01_final_150_0004,cap_q75,q75,1,replay,cap-empirical,150,1.0,0.75,60,1.0,11,7,0,0,283.0,4.716667,4.716666666666667,>=1.2,1.0,>=0.75,1.0,0.0,26.666666666666668,0.851958561538499,1.0,0.0,0.0,0.0,0.0,edd,0.0,0.0,,
c01_final_150_0005_q75,c01_final_150_0005,cap_q75,q75,1,replay,cap-empirical,150,1.0,0.75,60,16.0,11,11,0,0,482.8648,0.502984,0.5029841666666667,0.5-0.8,0.2699819908181338,0.25-0.5,0.5878763579370457,-0.31789436711891195,2.7159333333333335,0.7841351443730751,0.09090909090909091,41.90400000000001,41.90400000000001,41.90400000000001,41.90400000000001,edd,0.0,0.0,0.0,0.0
c01_final_150_0006_q75,c01_final_150_0006,cap_q75,q75,1,replay,cap-empirical,150,1.0,0.75,60,15.3353,11,8,0,0,634.1148000000001,0.689167,0.6891668242551499,0.5-0.8,0.46105973240176695,0.25-0.5,0.7196879807883367,-0.2586282483865698,1.27098828628502,0.3088784658784043,0.125,292.0,292.0,292.0,292.0,edd,0.0,0.0,0.0,0.0
c01_final_150_0007_q75,c01_final_150_0007,cap_q75,q75,1,replay,cap-empirical,150,1.0,0.75,60,17.2303,11,10,0,0,717.9796,0.694493,0.6944932280149891,0.5-0.8,0.5029596941194429,0.5-0.75,0.5029596941194429,0.0,1.2840751466892626,0.2932201876556225,0.3,36.0,36.0,36.0,36.0,edd,0.0,0.0,0.0,0.0
c01_final_150_0008_q75,c01_final_150_0008,cap_q75,q75,1,replay,cap-empirical,150,1.0,0.75,60,15.1819,11,9,0,0,426.75,0.468485,0.46848549917994453,<0.5,0.10779144698301113,<0.25,0.0,0.10779144698301113,1.0099745969432898,0.2961597949518799,0.1111111111111111,26.0,26.0,26.0,26.0,edd,0.0,0.0,0.0,0.0
c01_final_150_0009_q75,c01_final_150_0009,cap_q75,q75,1,replay,cap-empirical,150,1.0,0.75,60,8.2975,11,7,0,0,403.5,0.810485,0.8104850858692377,0.8-1.0,0.6344485749690211,0.5-0.75,0.6344485749690211,0.0,1.2353118409159387,0.1582569182927382,0.42857142857142855,0.0,0.0,0.0,0.0,edd,0.0,0.0,,
c01_final_150_0010_q75,c01_final_150_0010,cap_q75,q75,1,replay,cap-empirical,150,1.0,0.75,60,4.8317,11,9,0,0,462.8648,1.596625,1.5966250664017496,>=1.2,0.8574097663075697,>=0.75,0.8574097663075697,0.0,9.407648101772324,0.9200183639628376,0.5555555555555556,21.729600000000005,21.729600000000005,21.729600000000005,21.729600000000005,edd,0.0,0.0,0.0,0.0
c01_final_150_0011_q75,c01_final_150_0011,cap_q75,q75,1,replay,cap-empirical,150,1.0,0.75,60,8.0,11,8,0,0,547.0,1.139583,1.1395833333333334,1.0-1.2,0.7938756855575868,>=0.75,0.7938756855575868,0.0,2.6375,0.38610766706426375,0.25,48.0,48.0,48.0,48.0,edd,0.0,0.0,0.0,0.0
c01_final_150_0012_q75,c01_final_150_0012,cap_q75,q75,1,replay,cap-empirical,150,1.0,0.75,60,7.1936,11,10,0,0,468.7296,1.085988,1.0859875444839857,1.0-1.2,0.7375885798549953,0.5-0.75,0.8997289695380877,-0.1621403896830924,5.052535587188612,0.7032638837806134,0.3,0.0,0.0,0.0,0.0,edd,0.0,0.0,,
