scope,u_bin,ov_band,n_configs,n_clusters,mean_u,mean_overload_share,mean_wwt_edd,mean_wwt_best,best_method,margin_edd,mean_d_wmdd,d_wmdd_ci_lo,d_wmdd_ci_hi,mean_d_atc,d_atc_ci_lo,d_atc_ci_hi,verdict_wmdd_vs_edd,verdict_atc_vs_edd,mean_edd_minus_best,edd_best_ci_lo,edd_best_ci_hi,verdict_edd_vs_best,recommended_family
all,<0.5,<0.25,268,91,0.3511707290082327,0.04068167334081684,244.35436641791046,244.31549850746273,v2rl310,2.4435436641791046,-0.4452462686567182,-1.078721064844841,-0.05734767025089606,-0.483288059701493,-1.1626417706812666,-0.05185185185185185,equivalent,equivalent,0.03886791044776126,0.0007454545454545306,0.1035111672154622,equivalent,either
all,<0.5,0.25-0.5,31,19,0.39559336541282675,0.3229180835479531,85.55664516129033,85.19966451612903,v2rl301,1.0,-0.29246451612903185,-1.0461230769230754,0.0,-0.421496774193548,-1.4518222222222208,0.0,inconclusive,inconclusive,0.3569806451612899,0.0,1.2768923076923062,inconclusive,due-date
all,<0.5,0.5-0.75,4,3,0.45080949378273777,0.5750592275705355,624.4592,624.4592,atc,6.244592,0.0,0.0,0.0,0.0,0.0,0.0,equivalent,equivalent,0.0,0.0,0.0,equivalent,insufficient
all,0.5-0.8,<0.25,170,123,0.6296829165869529,0.08854542654260676,970.2648635294117,969.6306270588234,v2rl307,9.702648635294118,-0.9982117647058942,-1.879563090361432,-0.3040888614923127,-0.9475117647059172,-2.243900220669836,0.004065965956512494,equivalent,equivalent,0.6342364705881972,0.2859503597275235,1.0558067072468669,equivalent,either
all,0.5-0.8,0.25-0.5,110,66,0.6595621628300447,0.38868685091946037,847.0388254545455,846.6238654545459,v2rl303,8.470388254545455,-1.4058763636363014,-3.0513163571887483,-0.23556364010985573,-1.8656472727272697,-3.536468522027701,-0.5848084153701005,equivalent,equivalent,0.4149600000000432,-0.5963539583332776,1.6276238518822448,equivalent,either
all,0.5-0.8,0.5-0.75,74,45,0.6926449918050365,0.6139590503658606,757.5425270270271,748.2576243243243,v2rl303,7.575425270270271,6.1402810810810795,-5.441879012345688,25.984191666666675,4.128732432432439,-8.547174583333328,22.88301803490992,inconclusive,inconclusive,9.284902702702698,0.031141978021979377,27.56648380281689,inconclusive,due-date
all,0.5-0.8,>=0.75,6,6,0.745887740392439,0.8495856709310554,37.333333333333336,37.333333333333336,atc,1.0,0.0,0.0,0.0,0.0,0.0,0.0,equivalent,equivalent,0.0,0.0,0.0,equivalent,insufficient
all,0.8-1.0,<0.25,3,2,0.8669039118564519,0.24113939472637558,2028.0039333333334,2024.6442666666665,v2rl301,20.280039333333335,-3.0366666666667093,-4.555000000000064,0.0,0.7287333333332905,0.0,1.0930999999999358,equivalent,equivalent,3.35966666666665,0.0,5.039499999999975,equivalent,insufficient
all,0.8-1.0,0.25-0.5,69,66,0.8924856365791637,0.3895390204606461,2121.4533913043474,2115.342771014493,v2rl305,21.214533913043475,-8.114591304347762,-12.343823134328234,-4.343238534632356,-8.17471014492767,-13.631933656716386,-2.851682770789208,equivalent,equivalent,6.110620289854891,1.4832667964973416,11.266580771008618,equivalent,either
all,0.8-1.0,0.5-0.75,111,100,0.9184515644124271,0.6505919350390947,1926.815025225225,1920.3774936936936,v2rl310,19.26815025225225,-9.29665225225216,-14.42826060190328,-4.972090773262383,-11.197854054053883,-17.28019621040417,-5.9124261717468904,equivalent,equivalent,6.437531531531608,2.52740685515872,11.163896403449312,equivalent,either
