scope_type,scope,method,n_rows,coverage,mean,best_method,mean_best,n_configs,n_clusters,mean_diff,ci_lo,ci_hi,margin,wilcoxon_p,verdict,in_equivalence_set,regime,crew_multiplier,u_bin
overall,ALL,atc,887,1.0,1436.440227395716,rollcp2,510.40927375,160,64,3.454106249999994,-0.41680922690132705,8.481284055145771,5.1040927375,0.031600493046739175,inconclusive,0,,,
overall,ALL,edd,887,1.0,1428.096066854566,rollcp2,510.40927375,160,64,5.536109999999998,-1.4141899963704971,16.21909450148258,5.1040927375,0.0004931852089917846,inconclusive,0,,,
overall,ALL,lpt,887,1.0,14898.353685907554,rollcp2,510.40927375,160,64,77.37830749999999,12.903173121143114,174.0433490567019,5.1040927375,0.3091930587220266,worse,0,,,
overall,ALL,pfifo,887,1.0,1428.029585005637,rollcp2,510.40927375,160,64,5.536109999999998,-1.312759712425833,16.0722458,5.1040927375,0.0004931852089917846,inconclusive,0,,,
overall,ALL,random,887,1.0,4790.174193686583,rollcp2,510.40927375,160,64,22.595372499999996,3.965348721770548,52.41982632894735,5.1040927375,0.03533190128694864,inconclusive,0,,,
overall,ALL,rollcp2,160,0.18038331454340473,510.40927375,rollcp2,510.40927375,160,64,0.0,0.0,0.0,5.1040927375,1.0,equivalent,1,,,
overall,ALL,v2rl301,887,1.0,1462.6223954904171,rollcp2,510.40927375,160,64,35.54818749999999,0.8485086105889708,90.16329651898734,5.1040927375,0.0004246245851411137,inconclusive,0,,,
overall,ALL,v2rl302,887,1.0,1443.636154002255,rollcp2,510.40927375,160,64,6.742589999999995,0.2062391506024016,19.543935578730885,5.1040927375,3.5189219111851186e-05,inconclusive,0,,,
overall,ALL,v2rl303,887,1.0,1662.1289125140925,rollcp2,510.40927375,160,64,42.258366249999995,0.11534996794871245,110.90843367521364,5.1040927375,3.921054602918868e-05,inconclusive,0,,,
overall,ALL,v2rl304,887,1.0,1428.3167341600904,rollcp2,510.40927375,160,64,18.85070375,0.41863332094495215,52.56916425324676,5.1040927375,0.014754151861587494,inconclusive,0,,,
overall,ALL,v2rl305,887,1.0,1440.476807666291,rollcp2,510.40927375,160,64,29.792206249999982,0.20840070945945247,81.16831586163833,5.1040927375,0.000571935748673238,inconclusive,0,,,
overall,ALL,v2rl306,887,1.0,1457.729516121759,rollcp2,510.40927375,160,64,37.18092499999998,0.9983118141233693,94.39354964546777,5.1040927375,0.000837898106360905,inconclusive,0,,,
overall,ALL,v2rl307,887,1.0,1451.1049799323562,rollcp2,510.40927375,160,64,32.97810875,0.9788634262048233,85.57928491666665,5.1040927375,0.0022427967203365083,inconclusive,0,,,
overall,ALL,v2rl308,887,1.0,1429.436159188275,rollcp2,510.40927375,160,64,22.010017499999996,-0.08647694078949847,66.95221457236842,5.1040927375,0.0004408746815402888,inconclusive,0,,,
overall,ALL,v2rl309,887,1.0,1629.2521087936868,rollcp2,510.40927375,160,64,16.861721249999995,-0.6972699350416407,50.339317458227825,5.1040927375,0.0016853876303378208,inconclusive,0,,,
overall,ALL,v2rl310,887,1.0,1425.73302367531,rollcp2,510.40927375,160,64,7.367624999999995,-0.11359831250001501,19.178545503246774,5.1040927375,0.0005214433926920009,inconclusive,0,,,
overall,ALL,wmdd,887,1.0,1434.3142735062006,rollcp2,510.40927375,160,64,1.5255299999999998,-1.1134675120192254,4.2751423225780005,5.1040927375,0.005401636006228212,equivalent,1,,,
overall,ALL,wspt,887,1.0,1678.3710122886134,rollcp2,510.40927375,160,64,8.235673749999998,2.755376536144567,15.365222884210514,5.1040927375,0.00019597139510836364,inconclusive,0,,,
scope,regime=final-empirical|crew_multiplier=0.6,atc,180,1.0,456.44054111111114,v2rl302,450.2457377777778,180,180,6.194803333333338,2.499926500000001,10.41301788888889,4.502457377777778,6.944066746215754e-05,inconclusive,0,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,edd,180,1.0,451.7136088888889,v2rl302,450.2457377777778,180,180,1.4678711111111056,0.013912888888888473,3.0998179722221972,4.502457377777778,0.0012433854792003867,equivalent,1,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,lpt,180,1.0,536.7492233333334,v2rl302,450.2457377777778,180,180,86.50348555555553,19.91380447222222,194.25688197222212,4.502457377777778,2.5630832507250074e-06,worse,0,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,pfifo,180,1.0,451.7136088888889,v2rl302,450.2457377777778,180,180,1.4678711111111056,0.011046277777771736,3.0735294166666525,4.502457377777778,0.0012433854792003867,equivalent,1,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,random,180,1.0,479.3151577777778,v2rl302,450.2457377777778,180,180,29.06941999999999,8.680446305555552,63.62206424999998,4.502457377777778,1.7735464536943495e-08,worse,0,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,rollcp2,48,0.26666666666666666,510.0464625,v2rl302,450.2457377777778,48,48,-0.9198249999999941,-4.205237604166649,1.1106527083333253,5.109662875,0.002962714954319994,equivalent,1,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,v2rl301,180,1.0,451.6493433333334,v2rl302,450.2457377777778,180,180,1.403605555555548,-0.04539238888887817,3.6406999722222064,4.502457377777778,0.08428387967828298,equivalent,1,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,v2rl302,180,1.0,450.2457377777778,v2rl302,450.2457377777778,180,180,0.0,0.0,0.0,4.502457377777778,1.0,equivalent,1,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,v2rl303,180,1.0,450.3482633333333,v2rl302,450.2457377777778,180,180,0.10252555555555129,-0.7829317222222303,1.073264555555556,4.502457377777778,0.7988593499960496,equivalent,1,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,v2rl304,180,1.0,450.5671966666667,v2rl302,450.2457377777778,180,180,0.32145888888889357,-1.2420743611110974,1.7913031388888996,4.502457377777778,0.08538899791882958,equivalent,1,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,v2rl305,180,1.0,450.53495888888887,v2rl302,450.2457377777778,180,180,0.28922111111110416,-0.8827892222222289,1.478628916666657,4.502457377777778,0.08686008151624075,equivalent,1,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,v2rl306,180,1.0,453.91020555555554,v2rl302,450.2457377777778,180,180,3.664467777777769,0.5939680000000009,7.83724333333329,4.502457377777778,0.009632975772588674,inconclusive,0,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,v2rl307,180,1.0,451.1339088888889,v2rl302,450.2457377777778,180,180,0.888171111111103,-0.13632152777777348,2.3183514722221896,4.502457377777778,0.1094211588192293,equivalent,1,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,v2rl308,180,1.0,450.97508555555555,v2rl302,450.2457377777778,180,180,0.7293477777777636,-0.5201193055555657,1.9423476388888772,4.502457377777778,0.11192770811902444,equivalent,1,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,v2rl309,180,1.0,453.44436777777776,v2rl302,450.2457377777778,180,180,3.1986300000000014,0.8699123333333354,5.8710990277777775,4.502457377777778,0.0002849939018541178,inconclusive,0,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,v2rl310,180,1.0,450.37308222222225,v2rl302,450.2457377777778,180,180,0.12734444444444687,-0.9496764166666682,0.9873278888888999,4.502457377777778,0.362567698455978,equivalent,1,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,wmdd,180,1.0,455.0836822222222,v2rl302,450.2457377777778,180,180,4.837944444444435,2.195575749999984,7.764014444444427,4.502457377777778,3.458491896137269e-05,inconclusive,0,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,wspt,180,1.0,463.7768022222222,v2rl302,450.2457377777778,180,180,13.531064444444443,7.189979611111108,21.17669380555556,4.502457377777778,3.652753011967144e-09,worse,0,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.8,atc,180,1.0,448.1663633333333,v2rl301,446.2874366666666,180,180,1.8789266666666578,0.6209012777777767,3.457037888888886,4.462874366666666,0.004455352355471741,equivalent,1,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,edd,180,1.0,446.6359855555556,v2rl301,446.2874366666666,180,180,0.348548888888889,-0.18739702777777556,0.9333510555555523,4.462874366666666,0.12404279309009482,equivalent,1,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,lpt,180,1.0,455.33090555555555,v2rl301,446.2874366666666,180,180,9.043468888888889,1.2178329444444493,21.06802383333332,4.462874366666666,0.0023294396798343325,inconclusive,0,final-empirical,0.8,
