scope_type,scope,method,n_rows,mean,regime,crew_multiplier,u_bin
overall,ALL,atc,887,1436.440227395716,,,
overall,ALL,edd,887,1428.096066854566,,,
overall,ALL,lpt,887,14898.353685907554,,,
overall,ALL,pfifo,887,1428.029585005637,,,
overall,ALL,random,887,4790.174193686583,,,
overall,ALL,rollcp2,160,510.40927375,,,
overall,ALL,v2rl301,887,1462.6223954904171,,,
overall,ALL,v2rl302,887,1443.636154002255,,,
overall,ALL,v2rl303,887,1662.1289125140925,,,
overall,ALL,v2rl304,887,1428.3167341600904,,,
overall,ALL,v2rl305,887,1440.476807666291,,,
overall,ALL,v2rl306,887,1457.729516121759,,,
overall,ALL,v2rl307,887,1451.1049799323562,,,
overall,ALL,v2rl308,887,1429.436159188275,,,
overall,ALL,v2rl309,887,1629.2521087936868,,,
overall,ALL,v2rl310,887,1425.73302367531,,,
overall,ALL,wmdd,887,1434.3142735062006,,,
overall,ALL,wspt,887,1678.3710122886134,,,
scope,regime=final-empirical|crew_multiplier=0.6,atc,180,456.44054111111114,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,edd,180,451.7136088888889,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,lpt,180,536.7492233333334,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,pfifo,180,451.7136088888889,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,random,180,479.3151577777778,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,rollcp2,48,510.0464625,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,v2rl301,180,451.6493433333334,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,v2rl302,180,450.2457377777778,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,v2rl303,180,450.3482633333333,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,v2rl304,180,450.5671966666667,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,v2rl305,180,450.53495888888887,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,v2rl306,180,453.91020555555554,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,v2rl307,180,451.1339088888889,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,v2rl308,180,450.97508555555555,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,v2rl309,180,453.44436777777776,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,v2rl310,180,450.37308222222225,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,wmdd,180,455.0836822222222,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.6,wspt,180,463.7768022222222,final-empirical,0.6,
scope,regime=final-empirical|crew_multiplier=0.8,atc,180,448.1663633333333,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,edd,180,446.6359855555556,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,lpt,180,455.33090555555555,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,pfifo,180,446.6359855555556,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,random,180,450.5859366666667,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,rollcp2,48,506.0364666666667,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl301,180,446.2874366666666,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl302,180,446.32465444444443,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl303,180,446.31832333333335,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl304,180,446.63493,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl305,180,446.3163366666667,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl306,180,446.7369966666667,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl307,180,446.29960777777785,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl308,180,446.4653388888889,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl309,180,447.14385666666664,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl310,180,446.37114777777776,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,wmdd,180,447.54666888888886,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,wspt,180,450.36247000000003,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=1.0,atc,227,457.70226696035246,final-empirical,1.0,
scope,regime=final-empirical|crew_multiplier=1.0,edd,227,461.5920872246696,final-empirical,1.0,
scope,regime=final-empirical|crew_multiplier=1.0,lpt,227,559.7954599118942,final-empirical,1.0,
scope,regime=final-empirical|crew_multiplier=1.0,pfifo,227,461.5920872246696,final-empirical,1.0,
scope,regime=final-empirical|crew_multiplier=1.0,random,227,487.14997533039644,final-empirical,1.0,
scope,regime=final-empirical|crew_multiplier=1.0,rollcp2,64,513.9609875,final-empirical,1.0,
scope,regime=final-empirical|crew_multiplier=1.0,v2rl301,227,501.9378185022026,final-empirical,1.0,
