scope,campus,trade,crew_q,crew_nominal,m,crew_realized,realized_multiplier,capacity_source
campus,1.0,,0.95,94,0.5,49,0.5213,results/r4_final/calib/capacity.csv (v1.1)
campus,2.0,,0.95,38,0.5,20,0.5263,results/r4_final/calib/capacity.csv (v1.1)
campus,5.0,,0.95,116,0.5,57,0.4914,results/r4_final/calib/capacity.csv (v1.1)
campus,9.0,,0.95,99,0.5,50,0.5051,results/r4_final/calib/capacity.csv (v1.1)
campus,10.0,,0.95,154,0.5,76,0.4935,results/r4_final/calib/capacity.csv (v1.1)
campus,12.0,,0.95,186,0.5,92,0.4946,results/r4_final/calib/capacity.csv (v1.1)
portfolio,,,0.95,687,0.5,344,0.5007,results/r4_final/calib/capacity.csv (v1.1)
campus,1.0,,0.95,94,0.6,57,0.6064,results/r4_final/calib/capacity.csv (v1.1)
campus,2.0,,0.95,38,0.6,24,0.6316,results/r4_final/calib/capacity.csv (v1.1)
campus,5.0,,0.95,116,0.6,69,0.5948,results/r4_final/calib/capacity.csv (v1.1)
campus,9.0,,0.95,99,0.6,60,0.6061,results/r4_final/calib/capacity.csv (v1.1)
campus,10.0,,0.95,154,0.6,91,0.5909,results/r4_final/calib/capacity.csv (v1.1)
campus,12.0,,0.95,186,0.6,112,0.6022,results/r4_final/calib/capacity.csv (v1.1)
portfolio,,,0.95,687,0.6,413,0.6012,results/r4_final/calib/capacity.csv (v1.1)
campus,1.0,,0.95,94,0.8,75,0.7979,results/r4_final/calib/capacity.csv (v1.1)
campus,2.0,,0.95,38,0.8,29,0.7632,results/r4_final/calib/capacity.csv (v1.1)
campus,5.0,,0.95,116,0.8,93,0.8017,results/r4_final/calib/capacity.csv (v1.1)
campus,9.0,,0.95,99,0.8,79,0.798,results/r4_final/calib/capacity.csv (v1.1)
campus,10.0,,0.95,154,0.8,123,0.7987,results/r4_final/calib/capacity.csv (v1.1)
campus,12.0,,0.95,186,0.8,147,0.7903,results/r4_final/calib/capacity.csv (v1.1)
portfolio,,,0.95,687,0.8,546,0.7948,results/r4_final/calib/capacity.csv (v1.1)
campus,1.0,,0.95,94,1.0,94,1.0,results/r4_final/calib/capacity.csv (v1.1)
campus,2.0,,0.95,38,1.0,38,1.0,results/r4_final/calib/capacity.csv (v1.1)
campus,5.0,,0.95,116,1.0,116,1.0,results/r4_final/calib/capacity.csv (v1.1)
campus,9.0,,0.95,99,1.0,99,1.0,results/r4_final/calib/capacity.csv (v1.1)
campus,10.0,,0.95,154,1.0,154,1.0,results/r4_final/calib/capacity.csv (v1.1)
campus,12.0,,0.95,186,1.0,186,1.0,results/r4_final/calib/capacity.csv (v1.1)
portfolio,,,0.95,687,1.0,687,1.0,results/r4_final/calib/capacity.csv (v1.1)
campus,1.0,,0.95,94,1.25,118,1.2553,results/r4_final/calib/capacity.csv (v1.1)
campus,2.0,,0.95,38,1.25,48,1.2632,results/r4_final/calib/capacity.csv (v1.1)
campus,5.0,,0.95,116,1.25,143,1.2328,results/r4_final/calib/capacity.csv (v1.1)
campus,9.0,,0.95,99,1.25,124,1.2525,results/r4_final/calib/capacity.csv (v1.1)
campus,10.0,,0.95,154,1.25,190,1.2338,results/r4_final/calib/capacity.csv (v1.1)
campus,12.0,,0.95,186,1.25,232,1.2473,results/r4_final/calib/capacity.csv (v1.1)
portfolio,,,0.95,687,1.25,855,1.2445,results/r4_final/calib/capacity.csv (v1.1)
