u_bin,u_lo,u_hi,n_configs_bin,n_anchors_bin,method,family,rank,mean,best_method,mean_best,pct_from_best,n_configs,n_clusters,mean_diff,ci_lo,ci_hi,margin,verdict,in_equivalence_set
<0.5,0.1199637827373296,0.498426,175,85,v2rl310,policy,1,286.91808457142855,v2rl310,286.91808457142855,0.0,175,85,0.0,0.0,0.0,2.8691808457142858,equivalent,1
<0.5,0.1199637827373296,0.498426,175,85,v2rl302,policy,2,286.93228457142857,v2rl310,286.91808457142855,0.004949147775479987,175,85,0.014199999999999428,0.0,0.040737704918031144,2.869180845714286,equivalent,1
<0.5,0.1199637827373296,0.498426,175,85,v2rl303,policy,3,286.93627542857143,v2rl310,286.91808457142855,0.006340087335399333,175,85,0.018190857142856526,-0.04121448303078137,0.09970877192982268,2.869180845714286,equivalent,1
<0.5,0.1199637827373296,0.498426,175,85,v2rl305,policy,4,286.9465702857143,v2rl310,286.91808457142855,0.00992816968240246,175,85,0.028485714285713715,0.0,0.07370044378698046,2.869180845714286,equivalent,1
<0.5,0.1199637827373296,0.498426,175,85,v2rl308,policy,5,286.94955542857144,v2rl310,286.91808457142855,0.01096858610007123,175,85,0.0314708571428566,-0.031055900621118012,0.12717790697674378,2.869180845714286,equivalent,1
<0.5,0.1199637827373296,0.498426,175,85,v2rl301,policy,6,286.9634845714286,v2rl310,286.91808457142855,0.015823331620188206,175,85,0.045399999999999635,0.0,0.1244571428571414,2.869180845714286,equivalent,1
<0.5,0.1199637827373296,0.498426,175,85,v2rl307,policy,6,286.9634845714286,v2rl310,286.91808457142855,0.015823331620188206,175,85,0.045399999999999635,0.0,0.12517241379310198,2.869180845714286,equivalent,1
<0.5,0.1199637827373296,0.498426,175,85,edd,duedate,8,286.9745565714286,v2rl310,286.91808457142855,0.019682272758928615,175,85,0.056471999999999495,0.0,0.15231225653656597,2.869180845714286,equivalent,1
<0.5,0.1199637827373296,0.498426,175,85,pfifo,duedate,8,286.9745565714286,v2rl310,286.91808457142855,0.019682272758928615,175,85,0.056471999999999495,0.0,0.15169772727272635,2.869180845714286,equivalent,1
<0.5,0.1199637827373296,0.498426,175,85,v2rl304,policy,10,286.98913371428574,v2rl310,286.91808457142855,0.024762866712747612,175,85,0.07104914285714294,-0.02857142857142857,0.21144871508379914,2.869180845714286,equivalent,1
<0.5,0.1199637827373296,0.498426,175,85,v2rl309,policy,11,287.11152571428573,v2rl310,286.91808457142855,0.06742033815893006,175,85,0.1934411428571426,0.00847457627118644,0.42777477464255254,2.869180845714286,equivalent,1
<0.5,0.1199637827373296,0.498426,175,85,v2rl306,policy,12,287.1691988571429,v2rl310,286.91808457142855,0.08752124707977672,175,85,0.25111428571428535,0.0,0.7263848556760937,2.869180845714286,equivalent,1
<0.5,0.1199637827373296,0.498426,175,85,lpt,processing,13,287.37827771428573,v2rl310,286.91808457142855,0.16039182177887895,175,85,0.46019314285714247,0.014204545454545454,1.083527586206896,2.869180845714286,equivalent,1
<0.5,0.1199637827373296,0.498426,175,85,wmdd,weighted,14,287.40597142857143,v2rl310,286.91808457142855,0.1700439544867457,175,85,0.4878868571428565,0.04630960451977399,1.091302337016572,2.869180845714286,equivalent,1
<0.5,0.1199637827373296,0.498426,175,85,atc,weighted,15,287.48636457142857,v2rl310,286.91808457142855,0.19806349984834845,175,85,0.5682799999999995,0.04135952225004814,1.234511932001613,2.869180845714286,equivalent,1
<0.5,0.1199637827373296,0.498426,175,85,random,random,16,287.71227999999996,v2rl310,286.91808457142855,0.2768021506060548,175,85,0.7941954285714266,0.18797284931382074,1.6027600524590153,2.869180845714286,equivalent,1
<0.5,0.1199637827373296,0.498426,175,85,wspt,processing,17,288.07771085714285,v2rl310,286.91808457142855,0.40416632762847193,175,85,1.1596262857142852,0.36089469299347054,2.2134725855935953,2.869180845714286,equivalent,1
0.5-0.8,0.5006250904758119,0.797182,171,107,v2rl302,policy,1,669.3446701754386,v2rl302,669.3446701754386,0.0,171,107,0.0,0.0,0.0,6.693446701754387,equivalent,1
0.5-0.8,0.5006250904758119,0.797182,171,107,v2rl308,policy,2,669.415032748538,v2rl302,669.3446701754386,0.01051215856860878,171,107,0.07036257309941024,-0.11319915144888969,0.2814449937888157,6.693446701754385,equivalent,1
0.5-0.8,0.5006250904758119,0.797182,171,107,v2rl310,policy,3,669.4296725146199,v2rl302,669.3446701754386,0.012699337571332498,171,107,0.08500233918128258,-0.17305367466619176,0.36373844082633144,6.693446701754385,equivalent,1
0.5-0.8,0.5006250904758119,0.797182,171,107,v2rl303,policy,4,669.4463403508772,v2rl302,669.3446701754386,0.01518950997427628,171,107,0.10167017543859336,-0.11973527272727313,0.375666707335664,6.693446701754385,equivalent,1
0.5-0.8,0.5006250904758119,0.797182,171,107,v2rl304,policy,5,669.7992970760234,v2rl302,669.3446701754386,0.06792119528876489,171,107,0.4546269005847891,0.13473342954856007,0.8576431828108372,6.693446701754385,equivalent,1
0.5-0.8,0.5006250904758119,0.797182,171,107,wmdd,weighted,6,670.7313064327485,v2rl302,669.3446701754386,0.2071632626799627,171,107,1.3866362573099438,0.4298684405487846,2.597832200956104,6.693446701754385,equivalent,1
0.5-0.8,0.5006250904758119,0.797182,171,107,atc,weighted,7,671.3796011695906,v2rl302,669.3446701754386,0.30401840558745497,171,107,2.0349309941520435,0.6330516881146693,3.775787197245407,6.693446701754385,equivalent,1
0.5-0.8,0.5006250904758119,0.797182,171,107,edd,duedate,8,673.2014385964912,v2rl302,669.3446701754386,0.5762006620657378,171,107,3.856768421052628,0.02821860481997559,11.485550337066767,6.693446701754385,inconclusive,0
0.5-0.8,0.5006250904758119,0.797182,171,107,pfifo,duedate,8,673.2014385964912,v2rl302,669.3446701754386,0.5762006620657378,171,107,3.856768421052628,0.02082311335073712,11.50440236130535,6.693446701754385,inconclusive,0
0.5-0.8,0.5006250904758119,0.797182,171,107,wspt,processing,10,673.2340561403508,v2rl302,669.3446701754386,0.5810737185511285,171,107,3.889385964912283,1.8107347139953538,6.470078060125734,6.693446701754385,equivalent,1
0.5-0.8,0.5006250904758119,0.797182,171,107,v2rl301,policy,11,676.3618538011697,v2rl302,669.3446701754386,1.0483662511112244,171,107,7.017183625730987,0.023864242424240893,21.693439636363628,6.693446701754385,inconclusive,0
0.5-0.8,0.5006250904758119,0.797182,171,107,v2rl305,policy,12,676.3646046783625,v2rl302,669.3446701754386,1.0487772317786481,171,107,7.019934502923969,0.04486225213674747,21.70699067073169,6.693446701754385,inconclusive,0
0.5-0.8,0.5006250904758119,0.797182,171,107,v2rl307,policy,13,676.3951192982456,v2rl302,669.3446701754386,1.053336111716408,171,107,7.0504491228070165,0.0528736434296825,21.386756158921393,6.693446701754385,inconclusive,0
0.5-0.8,0.5006250904758119,0.797182,171,107,v2rl306,policy,14,676.4013906432748,v2rl302,669.3446701754386,1.0542730497856292,171,107,7.056720467836256,0.013281871345030031,21.78971742331288,6.693446701754385,inconclusive,0
0.5-0.8,0.5006250904758119,0.797182,171,107,v2rl309,policy,15,677.4692923976608,v2rl302,669.3446701754386,1.2138174223591875,171,107,8.124622222222222,0.25857411764705723,23.60501019090579,6.693446701754385,inconclusive,0
0.5-0.8,0.5006250904758119,0.797182,171,107,random,random,16,680.5794514619884,v2rl302,669.3446701754386,1.6784747510733187,171,107,11.2347812865497,2.280305141434548,27.13135022822084,6.693446701754385,inconclusive,0
0.5-0.8,0.5006250904758119,0.797182,171,107,lpt,processing,17,681.5563941520468,v2rl302,669.3446701754386,1.8244298521727806,171,107,12.211723976608184,1.5502184857142813,29.89636178640269,6.693446701754385,inconclusive,0
0.8-1.0,0.8001137442585657,0.977193,58,52,v2rl308,policy,1,770.2583379310345,v2rl308,770.2583379310345,0.0,58,52,0.0,0.0,0.0,7.702583379310345,equivalent,1
0.8-1.0,0.8001137442585657,0.977193,58,52,v2rl310,policy,2,770.3988724137932,v2rl308,770.2583379310345,0.018245110223181996,58,52,0.14053448275862185,-0.29165055084745845,0.7276206896551763,7.702583379310344,equivalent,1
0.8-1.0,0.8001137442585657,0.977193,58,52,v2rl304,policy,3,770.4217137931034,v2rl308,770.2583379310345,0.021210528211586647,58,52,0.1633758620689644,0.0,0.5031709090909069,7.702583379310344,equivalent,1
0.8-1.0,0.8001137442585657,0.977193,58,52,edd,duedate,4,770.6431655172414,v2rl308,770.2583379310345,0.04996084654411029,58,52,0.38482758620689544,-0.005358240794853476,1.0070137777777737,7.702583379310344,equivalent,1
0.8-1.0,0.8001137442585657,0.977193,58,52,pfifo,duedate,4,770.6431655172414,v2rl308,770.2583379310345,0.04996084654411029,58,52,0.38482758620689544,-0.0054482758620655785,0.9858109090909073,7.702583379310344,equivalent,1
0.8-1.0,0.8001137442585657,0.977193,58,52,v2rl309,policy,6,771.2593344827586,v2rl308,770.2583379310345,0.12995595145557093,58,52,1.0009965517241348,0.0020175438596452934,2.2460665847457486,7.702583379310344,equivalent,1
0.8-1.0,0.8001137442585657,0.977193,58,52,v2rl302,policy,7,771.5482068965517,v2rl308,770.2583379310345,0.16745926684570944,58,52,1.289868965517238,-0.25602105263158337,4.043941818181818,7.702583379310344,equivalent,1
0.8-1.0,0.8001137442585657,0.977193,58,52,wmdd,weighted,8,771.5670620689656,v2rl308,770.2583379310345,0.1699071692552435,58,52,1.3087241379310337,0.06421379310344538,3.3084809151785524,7.702583379310344,equivalent,1
0.8-1.0,0.8001137442585657,0.977193,58,52,v2rl303,policy,9,771.5905724137931,v2rl308,770.2583379310345,0.17295943674392325,58,52,1.332234482758622,-0.20689655172413793,4.067393103448278,7.702583379310344,equivalent,1
0.8-1.0,0.8001137442585657,0.977193,58,52,v2rl305,policy,10,772.3479034482759,v2rl308,770.2583379310345,0.27128112924478903,58,52,2.089565517241375,-0.7368421052631579,7.357263157894738,7.702583379310344,equivalent,1
