p_model,scope,campus,work_orders,r4_labor_cap_hours,pm_share,n_trades,total_technicians,mean_p_bh,median_p_bh
sum,all,,1454039,90.8648,0.615744,68,687,3.2189,1.0
sum,campus,1,125637,90.8648,0.428942,11,94,3.59,2.0
sum,campus,2,40567,90.8648,0.542247,7,38,6.2791,1.5
sum,campus,5,393669,90.8648,0.448867,11,116,3.3122,1.5
sum,campus,9,144114,90.8648,0.811249,13,99,3.7044,2.0
sum,campus,10,608217,90.8648,0.82122,13,154,2.0846,0.5
sum,campus,12,137058,90.8648,0.162808,13,186,6.0727,2.0
max,all,,1454039,43.881,0.615744,68,491,2.3613,1.0
max,campus,1,125637,43.881,0.428942,11,80,3.275,2.0
max,campus,2,40567,43.881,0.542247,7,24,3.9666,1.5
max,campus,5,393669,43.881,0.448867,11,106,3.1018,1.5
max,campus,9,144114,43.881,0.811249,13,87,3.4175,1.75
max,campus,10,608217,43.881,0.82122,13,111,1.2034,0.5
max,campus,12,137058,43.881,0.162808,13,83,2.8457,2.0
single,all,,1316010,40.0,0.623053,65,396,2.135,1.0
single,campus,1,124139,40.0,0.429951,11,75,3.1372,2.0
single,campus,2,29959,40.0,0.610298,7,14,1.8033,1.02
single,campus,5,393669,40.0,0.448867,11,106,3.0699,1.5
single,campus,9,136347,40.0,0.829766,13,82,3.1622,1.5
single,campus,10,548087,40.0,0.803724,12,91,1.0691,0.32
single,campus,12,79325,40.0,0.182034,11,28,1.5308,1.0
