check,arm,stratum,n_configs,n_anchors,n_anchors_baseline,n_methods,best_method,best_mean,baseline_best_method,baseline_best_mean,n_tied_with_best,spread_pct,margin_pct_of_best,tau_method,tau_method_p,tau_family,tau_family_p,family_order,baseline_family_order,family_order_identical,top3_families,top3_is_leading_trio,set_size,baseline_set_size,set_intersection,set_jaccard,entered_set,left_set,set_members,in_set_edd,in_set_pfifo,in_set_wspt,in_set_atc,in_set_wmdd,in_set_lpt,in_set_random,n_policy_seeds_in_set,n_policy_seeds_in_set_baseline,families_in_set_duedate,families_in_set_weighted,families_in_set_processing,families_in_set_random,families_in_set_policy
pmodel,sum,verdict,180,180,180,17,v2rl302,444.68101666666666,v2rl302,444.68101666666666,1,0.441874295835759,1.0,1.0,2.5411131795974357e-08,0.9999999999999999,0.016666666666666666,policy>duedate>weighted>processing>random,policy>duedate>weighted>processing>random,1,duedate policy weighted,1,17,17,17,1.0,-,-,atc edd lpt pfifo random v2rl301 v2rl302 v2rl303 v2rl304 v2rl305 v2rl306 v2rl307 v2rl308 v2rl309 v2rl310 wmdd wspt,1,1,1,1,1,1,1,10,10,1,1,1,1,1
pmodel,sum,campus1,30,30,30,17,atc,80.41734666666666,atc,80.41734666666666,15,1.0940259821222578,1.2435128009694758,1.0,3.839161029485208e-05,1.0,0.019176729141549043,policy>duedate>weighted>processing>random,policy>duedate>weighted>processing>random,1,duedate policy weighted,1,15,15,15,1.0,-,-,atc edd lpt pfifo v2rl301 v2rl302 v2rl303 v2rl304 v2rl305 v2rl306 v2rl307 v2rl308 v2rl309 v2rl310 wmdd,1,1,0,1,1,1,0,10,10,1,1,1,0,1
pmodel,sum,campus2,17,17,17,17,wmdd,1218.2288470588235,wmdd,1218.2288470588235,1,114.66507229801657,1.0,1.0,2.5411131795974357e-08,0.9999999999999999,0.016666666666666666,weighted>duedate>random>policy>processing,weighted>duedate>random>policy>processing,1,duedate random weighted,0,1,1,1,1.0,-,-,wmdd,0,0,0,0,1,0,0,0,0,0,1,0,0,0
pmodel,max,verdict,180,180,180,17,v2rl310,64.92746666666666,v2rl302,444.68101666666666,1,58.40450677268584,1.5401802216216662,0.6444444444444445,0.0003308902599674504,0.7999999999999999,0.08333333333333333,policy>duedate>weighted>random>processing,policy>duedate>weighted>processing>random,0,duedate policy weighted,1,1,17,1,0.058823529411764705,-,atc edd lpt pfifo random v2rl301 v2rl302 v2rl303 v2rl304 v2rl305 v2rl306 v2rl307 v2rl308 v2rl309 wmdd wspt,v2rl310,0,0,0,0,0,0,0,1,10,0,0,0,0,1
pmodel,max,campus1,30,30,30,17,atc,40.50430666666667,atc,80.41734666666666,15,2.172081783566704,2.4688732687849155,1.0,3.839161029485208e-05,0.7777777777777778,0.06851328928038379,policy>duedate>weighted>random>processing,policy>duedate>weighted>processing>random,0,duedate policy weighted,1,16,15,15,0.9375,random,-,atc edd lpt pfifo random v2rl301 v2rl302 v2rl303 v2rl304 v2rl305 v2rl306 v2rl307 v2rl308 v2rl309 v2rl310 wmdd,1,1,0,1,1,1,1,10,10,1,1,1,1,1
pmodel,max,campus2,17,17,17,17,wmdd,444.20757647058826,wmdd,1218.2288470588235,1,385.93576442428446,1.0,0.7333333333333335,4.408022603003135e-05,0.7999999999999999,0.08333333333333333,weighted>duedate>policy>random>processing,weighted>duedate>random>policy>processing,0,duedate policy weighted,1,1,1,1,1.0,-,-,wmdd,0,0,0,0,1,0,0,0,0,0,1,0,0,0
pmodel,single,verdict,179,179,179,17,wmdd,17.193426815642457,v2rl302,446.6066089385475,1,355.6302925172717,5.816176209213902,-0.03703703703703704,0.8365470303829222,0.19999999999999998,0.8166666666666667,weighted>duedate>policy>random>processing,policy>duedate>weighted>processing>random,0,duedate policy weighted,1,2,17,2,0.11764705882352941,-,edd lpt pfifo random v2rl301 v2rl302 v2rl303 v2rl304 v2rl305 v2rl306 v2rl307 v2rl308 v2rl309 v2rl310 wspt,atc wmdd,0,0,0,1,1,0,0,0,10,0,1,0,0,0
pmodel,single,campus1,30,30,30,17,atc,31.180439999999997,atc,80.41734666666666,15,3.7464513008796554,3.2071388344744336,1.0,3.839161029485208e-05,0.7777777777777778,0.06851328928038379,policy>duedate>weighted>random>processing,policy>duedate>weighted>processing>random,0,duedate policy weighted,1,16,15,15,0.9375,random,-,atc edd lpt pfifo random v2rl301 v2rl302 v2rl303 v2rl304 v2rl305 v2rl306 v2rl307 v2rl308 v2rl309 v2rl310 wmdd,1,1,0,1,1,1,1,10,10,1,1,1,1,1
pmodel,single,campus2,17,17,17,17,atc,0.0,wmdd,1218.2288470588235,15,,,0.3246172270321178,0.11831119455181047,0.5976143046671968,0.16551785869746993,duedate>weighted>policy>random>processing,weighted>duedate>random>policy>processing,0,duedate policy weighted,1,15,1,1,0.06666666666666667,atc edd pfifo v2rl301 v2rl302 v2rl303 v2rl304 v2rl305 v2rl306 v2rl307 v2rl308 v2rl309 v2rl310 wspt,-,atc edd pfifo v2rl301 v2rl302 v2rl303 v2rl304 v2rl305 v2rl306 v2rl307 v2rl308 v2rl309 v2rl310 wmdd wspt,1,1,1,1,1,0,0,10,0,1,1,1,0,1
capacity,q0.95,verdict,180,180,180,17,v2rl302,444.68101666666666,v2rl302,444.68101666666666,1,0.441874295835759,1.0,1.0,2.5411131795974357e-08,0.9999999999999999,0.016666666666666666,policy>duedate>weighted>processing>random,policy>duedate>weighted>processing>random,1,duedate policy weighted,1,17,17,17,1.0,-,-,atc edd lpt pfifo random v2rl301 v2rl302 v2rl303 v2rl304 v2rl305 v2rl306 v2rl307 v2rl308 v2rl309 v2rl310 wmdd wspt,1,1,1,1,1,1,1,10,10,1,1,1,1,1
