check,arm,stratum,method,reference,reference_role,family,n_configs,n_clusters,mean_ref,mean_method,mean_diff,ci_lo,ci_hi,margin,wilcoxon_p,holm_p,verdict
pmodel,sum,verdict,edd,v2rl302,baseline_best,rule-vs-policy,180,180,444.6810166666667,444.8689277777778,0.1879111111111126,0.024741388888889087,0.4075017222222249,4.446810166666667,0.03546586462402558,0.07093172924805116,equivalent
pmodel,sum,verdict,pfifo,v2rl302,baseline_best,rule-vs-policy,180,180,444.6810166666667,444.8689277777778,0.1879111111111126,0.025574722222222537,0.4032346666666694,4.446810166666667,0.03546586462402558,0.07093172924805116,equivalent
pmodel,sum,verdict,wspt,v2rl302,baseline_best,rule-vs-policy,180,180,444.6810166666667,446.6459477777778,1.9649311111111145,0.8832252222222218,3.2355653333333407,4.446810166666667,1.7564851371585654e-05,0.00012295395960109956,equivalent
pmodel,sum,verdict,atc,v2rl302,baseline_best,rule-vs-policy,180,180,444.6810166666667,445.5551500000001,0.8741333333333341,0.27144666666666667,1.6416948888888847,4.446810166666667,0.012792160247732852,0.05116864099093141,equivalent
pmodel,sum,verdict,wmdd,v2rl302,baseline_best,rule-vs-policy,180,180,444.6810166666667,445.3319900000001,0.6509733333333377,0.1649377777777777,1.2649536111111195,4.446810166666667,0.020879263166351643,0.06263778949905494,equivalent
pmodel,sum,verdict,lpt,v2rl302,baseline_best,rule-vs-policy,180,180,444.6810166666667,445.5785988888889,0.8975822222222226,0.07344444444444444,2.419877111111116,4.446810166666667,0.007685794055213263,0.038428970276066315,equivalent
pmodel,sum,verdict,random,v2rl302,baseline_best,rule-vs-policy,180,180,444.6810166666667,446.3160666666667,1.6350499999999972,0.5746127499999962,3.1356331111111087,4.446810166666667,0.0001318338889828333,0.0007910033338969998,equivalent
pmodel,sum,verdict,v2rl301,v2rl302,baseline_best,policy-vs-policy,180,180,444.6810166666667,444.75599888888894,0.07498222222222037,0.013888888888888888,0.15529333333332715,4.446810166666667,0.043114446783075355,0.3880300210476782,equivalent
pmodel,sum,verdict,v2rl303,v2rl302,baseline_best,policy-vs-policy,180,180,444.6810166666667,444.73146333333335,0.05044666666666823,0.0,0.12962166666667152,4.446810166666667,0.10880943004054568,0.4352377201621827,equivalent
pmodel,sum,verdict,v2rl304,v2rl302,baseline_best,policy-vs-policy,180,180,444.6810166666667,444.7625444444445,0.08152777777777974,-0.002406666666666663,0.19521222222222528,4.446810166666667,0.14412703481601533,0.4352377201621827,equivalent
pmodel,sum,verdict,v2rl305,v2rl302,baseline_best,policy-vs-policy,180,180,444.6810166666667,444.76037666666673,0.07935999999999695,0.011111111111111112,0.18252444444443527,4.446810166666667,0.043114446783075355,0.3880300210476782,equivalent
pmodel,sum,verdict,v2rl306,v2rl302,baseline_best,policy-vs-policy,180,180,444.6810166666667,444.85855888888887,0.17754222222222324,0.007160000000000208,0.4768622222222247,4.446810166666667,0.06788915486182899,0.3880300210476782,equivalent
pmodel,sum,verdict,v2rl307,v2rl302,baseline_best,policy-vs-policy,180,180,444.6810166666667,444.7699366666667,0.08892000000000182,0.012000000000001402,0.1863867777777823,4.446810166666667,0.046399461870904594,0.3880300210476782,equivalent
pmodel,sum,verdict,v2rl308,v2rl302,baseline_best,policy-vs-policy,180,180,444.6810166666667,444.70772111111114,0.026704444444443552,0.0,0.06665333333333669,4.446810166666667,0.10880943004054568,0.4352377201621827,equivalent
