id,base_instance_id,campus,size,transform,backdate_seed,max_shift_frac,n_wos,n_corrective,corrective_share,mean_delta_bh,max_delta_bh,n_clamped_at_zero,window_bh,u_realized,method,seed,feasible,wwt,makespan,mean_flow,breach_share,wall_seconds
c01_final_150_0000_bd,c01_final_150_0000,1,150,backdate,424242,0.5,150,121,0.806667,9.6442,82.9925,59,13.8719,0.604106,edd,301,1,424.1,92.5865,6.2070973333333335,0.02,0.00045497692190110683
c01_final_150_0000_bd,c01_final_150_0000,1,150,backdate,424242,0.5,150,121,0.806667,9.6442,82.9925,59,13.8719,0.604106,pfifo,301,1,424.1,92.5865,6.2070973333333335,0.02,0.0013357620919123292
c01_final_150_0000_bd,c01_final_150_0000,1,150,backdate,424242,0.5,150,121,0.806667,9.6442,82.9925,59,13.8719,0.604106,wspt,301,1,424.1,92.5865,5.857097333333333,0.02,0.0003824490122497082
c01_final_150_0000_bd,c01_final_150_0000,1,150,backdate,424242,0.5,150,121,0.806667,9.6442,82.9925,59,13.8719,0.604106,atc,301,1,424.1,92.5865,6.067097333333334,0.02,0.0005690759280696511
c01_final_150_0000_bd,c01_final_150_0000,1,150,backdate,424242,0.5,150,121,0.806667,9.6442,82.9925,59,13.8719,0.604106,wmdd,301,1,424.1,92.5865,6.2070973333333335,0.02,0.00042938697151839733
c01_final_150_0000_bd,c01_final_150_0000,1,150,backdate,424242,0.5,150,121,0.806667,9.6442,82.9925,59,13.8719,0.604106,lpt,301,1,424.1,92.5865,6.720837333333333,0.02,0.00035475404001772404
c01_final_150_0000_bd,c01_final_150_0000,1,150,backdate,424242,0.5,150,121,0.806667,9.6442,82.9925,59,13.8719,0.604106,random,301,1,424.1,92.5865,6.195429333333334,0.02,0.000317332916893065
c01_final_150_0000_bd,c01_final_150_0000,1,150,backdate,424242,0.5,150,121,0.806667,9.6442,82.9925,59,13.8719,0.604106,v2rl301,301,1,424.1,92.5865,6.6108373333333335,0.02,0.028255530050955713
c01_final_150_0000_bd,c01_final_150_0000,1,150,backdate,424242,0.5,150,121,0.806667,9.6442,82.9925,59,13.8719,0.604106,v2rl302,302,1,424.1,92.5865,6.577504,0.02,0.027382439002394676
c01_final_150_0000_bd,c01_final_150_0000,1,150,backdate,424242,0.5,150,121,0.806667,9.6442,82.9925,59,13.8719,0.604106,v2rl303,303,1,424.1,92.5865,6.524170666666667,0.02,0.02708642405923456
c01_final_150_0000_bd,c01_final_150_0000,1,150,backdate,424242,0.5,150,121,0.806667,9.6442,82.9925,59,13.8719,0.604106,v2rl304,304,1,424.1,92.5865,6.077504,0.02,0.02724918199237436
c01_final_150_0000_bd,c01_final_150_0000,1,150,backdate,424242,0.5,150,121,0.806667,9.6442,82.9925,59,13.8719,0.604106,v2rl305,305,1,424.1,92.5865,6.507504000000001,0.02,0.026986239943653345
c01_final_150_0000_bd,c01_final_150_0000,1,150,backdate,424242,0.5,150,121,0.806667,9.6442,82.9925,59,13.8719,0.604106,v2rl306,306,1,424.1,92.5865,6.6075040000000005,0.02,0.027689918992109597
c01_final_150_0000_bd,c01_final_150_0000,1,150,backdate,424242,0.5,150,121,0.806667,9.6442,82.9925,59,13.8719,0.604106,v2rl307,307,1,424.1,92.5865,6.1041706666666675,0.02,0.027672110009007156
c01_final_150_0000_bd,c01_final_150_0000,1,150,backdate,424242,0.5,150,121,0.806667,9.6442,82.9925,59,13.8719,0.604106,v2rl308,308,1,424.1,92.5865,6.287503999999999,0.02,0.027883426984772086
c01_final_150_0000_bd,c01_final_150_0000,1,150,backdate,424242,0.5,150,121,0.806667,9.6442,82.9925,59,13.8719,0.604106,v2rl309,309,1,424.1,92.5865,6.037504,0.02,0.027745454921387136
c01_final_150_0000_bd,c01_final_150_0000,1,150,backdate,424242,0.5,150,121,0.806667,9.6442,82.9925,59,13.8719,0.604106,v2rl310,310,1,424.1,92.5865,6.174170666666666,0.02,0.027544548036530614
c01_final_150_0001_bd,c01_final_150_0001,1,150,backdate,424242,0.5,150,21,0.14,5.2995,11.6156,19,3.1106,1.261523,edd,301,1,0.0,91.1517,3.5309233333333334,0.0,0.0007122459355741739
c01_final_150_0001_bd,c01_final_150_0001,1,150,backdate,424242,0.5,150,21,0.14,5.2995,11.6156,19,3.1106,1.261523,pfifo,301,1,0.0,91.1517,3.5309233333333334,0.0,0.0019052309216931462
c01_final_150_0001_bd,c01_final_150_0001,1,150,backdate,424242,0.5,150,21,0.14,5.2995,11.6156,19,3.1106,1.261523,wspt,301,1,0.0,91.1517,3.351971333333333,0.0,0.0007297629490494728
c01_final_150_0001_bd,c01_final_150_0001,1,150,backdate,424242,0.5,150,21,0.14,5.2995,11.6156,19,3.1106,1.261523,atc,301,1,0.0,91.1517,3.351971333333333,0.0,0.0012234150199219584
c01_final_150_0001_bd,c01_final_150_0001,1,150,backdate,424242,0.5,150,21,0.14,5.2995,11.6156,19,3.1106,1.261523,wmdd,301,1,0.0,91.1517,3.5309233333333334,0.0,0.00090450095012784
c01_final_150_0001_bd,c01_final_150_0001,1,150,backdate,424242,0.5,150,21,0.14,5.2995,11.6156,19,3.1106,1.261523,lpt,301,1,0.0,91.1517,3.643477333333333,0.0,0.0006953120464459062
c01_final_150_0001_bd,c01_final_150_0001,1,150,backdate,424242,0.5,150,21,0.14,5.2995,11.6156,19,3.1106,1.261523,random,301,1,0.0,91.1517,3.4460546666666674,0.0,0.0003482889151200652
c01_final_150_0001_bd,c01_final_150_0001,1,150,backdate,424242,0.5,150,21,0.14,5.2995,11.6156,19,3.1106,1.261523,v2rl301,301,1,0.0,91.1517,3.6434773333333337,0.0,0.028995663044042885
