campus,trade,crew,p95_weekly_hours,rows,q
1,B20,2,43.65,750,0.9
1,C10,4,127.1,4452,0.9
1,C30,6,213.26,2768,0.9
1,D20,13,504.06,17342,0.9
1,D30,18,716.06,17261,0.9
1,D40,9,324.88,9560,0.9
1,D50,12,471.3,18538,0.9
1,D90,6,239.68,1403,0.9
1,E10,3,83.45,1257,0.9
1,E20,2,54.2,835,0.9
1,MISC,5,187.31,1694,0.9
2,C10,2,74.8,54,0.9
2,D20,6,209.65,358,0.9
2,D30,6,232.86,607,0.9
2,D40,2,76.0,77,0.9
2,D50,3,98.63,233,0.9
2,E10,4,129.25,449,0.9
2,MISC,7,262.77,260,0.9
5,B20,2,72.0,9362,0.9
5,B30,5,167.85,8051,0.9
5,C10,2,72.54,22435,0.9
5,C30,4,120.5,5417,0.9
5,D20,15,598.11,90814,0.9
5,D30,28,1104.22,135133,0.9
5,D40,1,31.0,30851,0.9
5,D50,6,204.23,17891,0.9
5,E10,2,59.0,6877,0.9
5,E20,3,110.1,2419,0.9
5,MISC,2,45.8,929,0.9
9,B20,2,47.48,1231,0.9
9,B30,4,130.65,1333,0.9
9,C10,2,67.0,4567,0.9
9,C30,5,182.17,2193,0.9
9,D10,1,20.3,1076,0.9
9,D20,10,368.5,14755,0.9
9,D30,24,949.05,25379,0.9
9,D40,7,268.78,5332,0.9
9,D50,12,449.18,29238,0.9
9,D90,6,224.25,4422,0.9
9,E10,5,181.49,2447,0.9
9,E20,1,25.83,938,0.9
9,MISC,3,94.86,937,0.9
10,B20,3,107.75,4156,0.9
10,B30,1,28.55,526,0.9
10,C10,5,176.05,5447,0.9
10,C30,4,140.1,2350,0.9
10,D20,16,616.2,25056,0.9
10,D30,31,1227.98,62247,0.9
10,D40,40,1588.29,9527,0.9
10,D50,19,732.5,81949,0.9
10,D90,4,136.15,3034,0.9
10,E10,5,175.0,7031,0.9
10,E20,1,36.75,570,0.9
10,MISC,1,27.05,396,0.9
10,UNK,2,53.9,351,0.9
12,B20,7,273.95,1432,0.9
12,B30,5,167.65,299,0.9
12,C10,9,345.11,5579,0.9
12,C30,13,486.58,1255,0.9
12,D20,25,988.38,6177,0.9
12,D30,40,1564.6,6895,0.9
12,D40,6,228.58,704,0.9
12,D50,21,822.86,5848,0.9
12,D90,10,372.37,832,0.9
12,E10,7,275.86,1771,0.9
12,E20,8,309.36,2296,0.9
12,MISC,11,421.36,800,0.9
12,UNK,4,142.0,268,0.9
