campus,trade,crew,p95_weekly_hours,rows
1,B20,2,56.1,750
1,C10,4,147.72,4452
1,C30,6,203.74,2768
1,D20,13,508.63,17342
1,D30,20,783.62,17261
1,D40,10,393.1,9560
1,D50,13,495.23,18538
1,D90,4,152.69,1403
1,E10,2,74.83,1257
1,E20,2,66.55,835
1,MISC,4,136.51,1694
2,C10,2,44.38,54
2,D20,4,128.64,358
2,D30,5,194.26,607
2,D40,2,59.73,77
2,D50,2,63.3,233
2,E10,3,105.23,449
2,MISC,6,231.37,260
5,B20,4,125.25,9362
5,B30,12,443.29,8051
5,C10,3,85.05,22435
5,C30,4,147.5,5417
5,D20,18,713.61,90814
5,D30,47,1865.28,135133
5,D40,2,60.1,30851
5,D50,7,273.22,17891
5,E10,2,68.5,6877
5,E20,5,169.4,2419
5,MISC,2,47.91,929
9,B20,2,53.04,1231
9,B30,4,135.91,1333
9,C10,2,73.13,4567
9,C30,5,164.42,2193
9,D10,1,30.19,1076
9,D20,12,456.75,14755
9,D30,25,998.73,25379
9,D40,8,300.17,5332
9,D50,13,517.42,29238
9,D90,7,269.97,4422
9,E10,4,154.67,2447
9,E20,1,33.32,938
9,MISC,3,89.43,937
10,B20,3,111.25,4156
10,B30,2,46.01,526
10,C10,5,191.62,5447
10,C30,4,146.93,2350
10,D20,16,629.08,25056
10,D30,31,1208.73,62247
10,D40,16,629.25,9527
10,D50,20,763.11,81949
10,D90,4,131.09,3034
10,E10,5,161.7,7031
10,E20,2,47.76,570
10,MISC,1,32.79,396
10,UNK,2,51.75,351
12,B20,4,124.2,1432
12,B30,2,77.3,299
12,C10,7,262.47,5579
12,C30,6,201.99,1255
12,D20,12,453.6,6177
12,D30,17,667.82,6895
12,D40,3,115.4,704
12,D50,11,404.57,5848
12,D90,6,206.81,832
12,E10,4,132.12,1771
12,E20,4,133.8,2296
12,MISC,5,198.25,800
12,UNK,2,66.92,268
