campus,trade,crew,p95_weekly_hours,rows
1,B20,2,50.42,744
1,C10,4,130.15,4371
1,C30,5,193.6,2709
1,D20,13,494.27,17129
1,D30,18,709.57,16859
1,D40,10,391.75,9533
1,D50,12,470.85,18301
1,D90,4,138.47,1393
1,E10,2,71.0,1239
1,E20,2,62.07,818
1,MISC,3,117.9,1664
2,C10,1,13.0,43
2,D20,2,71.52,303
2,D30,3,102.54,490
2,D40,1,40.0,47
2,D50,2,41.24,172
2,E10,2,58.25,406
2,MISC,3,92.63,199
5,B20,4,125.25,9362
5,B30,12,441.34,8051
5,C10,3,85.0,22435
5,C30,4,142.5,5417
5,D20,18,691.45,90814
5,D30,47,1864.98,135133
5,D40,2,60.1,30851
5,D50,7,269.5,17891
5,E10,2,68.5,6877
5,E20,5,169.4,2419
5,MISC,2,47.75,929
9,B20,2,40.66,1133
9,B30,4,132.16,1234
9,C10,2,66.79,4389
9,C30,4,120.37,1876
9,D10,1,29.61,1068
9,D20,11,435.11,14099
9,D30,24,938.97,24396
9,D40,7,271.2,4807
9,D50,13,496.0,28428
9,D90,7,243.4,4210
9,E10,4,146.38,2353
9,E20,1,31.6,920
9,MISC,2,59.72,882
10,B20,3,111.25,4148
10,B30,2,42.12,518
10,C10,5,188.57,5446
10,C30,4,143.05,2350
10,D20,15,594.5,24221
10,D30,26,1039.14,55842
10,D40,5,168.8,5500
10,D50,19,755.84,81421
10,D90,4,128.28,3030
10,E10,4,143.0,6362
10,E20,2,45.42,570
10,MISC,2,67.62,736
12,B20,1,39.95,818
12,C10,4,152.38,4339
12,C30,1,32.2,429
12,D20,4,144.74,3583
12,D30,5,167.21,2997
12,D40,1,23.62,284
12,D50,4,144.97,3698
12,D90,2,51.45,344
12,E10,2,46.75,958
12,E20,2,57.62,1570
12,MISC,2,66.34,592
