campus,raw_value,is_pm_split,rows,median_cm_duration_days,pm_share_of_value,mapped_class,rule,spearman_rho,direction
1,0,cm,374,13.9,0.0,1,r5c,0.786,ascending
1,2,cm,18701,16.08,0.0055,2,r5c,0.786,ascending
1,1,cm,15034,15.2,0.0061,2,r5c,0.786,ascending
1,7,cm,6291,19.79,0.0242,3,r5c,0.786,ascending
1,4,cm,827,10.96,0.0,3,r5c,0.786,ascending
1,21,cm,148,54.45,0.0199,3,r5d,,
1,6,cm,147,28.07,0.0265,3,r5d,,
1,5,cm,103,39.99,0.9805,3,r5d,,
1,3,cm,88,35.83,0.9966,3,r5d,,
1,97,cm,9,35.98,0.1,3,r5d,,
1,92,cm,4,212.27,0.3333,3,r5d,,
1,99,cm,3,67.98,0.0,3,r5d,,
1,96,cm,2,135.87,0.6,3,r5d,,
1,90,cm,1,13.9,0.5,3,r5d,,
1,14,cm,1002,35.14,0.0262,4,r5c,0.786,ascending
1,30,cm,291,61.7,0.159,4,r5c,0.786,ascending
1,3,pm,26107,,0.9966,4,r5a,,
1,5,pm,5181,,0.9805,4,r5a,,
1,7,pm,156,,0.0242,4,r5a,,
1,2,pm,103,,0.0055,4,r5a,,
1,1,pm,92,,0.0061,4,r5a,,
1,30,pm,55,,0.159,4,r5a,,
1,14,pm,27,,0.0262,4,r5a,,
1,6,pm,4,,0.0265,4,r5a,,
1,21,pm,3,,0.0199,4,r5a,,
1,96,pm,3,,0.6,4,r5a,,
1,92,pm,2,,0.3333,4,r5a,,
1,90,pm,1,,0.5,4,r5a,,
1,97,pm,1,,0.1,4,r5a,,
2,1-EMERGENCY,cm,3,,0.0,1,r5b,,
2,2-URGENT,cm,271,1247.01,0.1056,2,r5b,,
2,4-ROUTINE,cm,176,,0.8266,3,r5b,,
2,3-CALENDARED,cm,16,,0.0588,3,r5b,,
2,10-CAL CRITICAL,cm,1,,0.0,3,r5d,,
2,4-ROUTINE,pm,839,,0.8266,4,r5a,,
2,5-PM CRITICAL,pm,321,,1.0,4,r5a,,
2,2-URGENT,pm,32,,0.1056,4,r5a,,
2,3-CALENDARED,pm,1,,0.0588,4,r5a,,
5,<MISSING>,cm,180592,,0.453,3,r5d,,
5,<MISSING>,pm,149587,,0.453,4,r5a,,
9,1-EMERGENCY,cm,2014,7.15,0.0005,1,r5b,,
9,2-URGENT,cm,13492,6.99,0.0047,2,r5b,,
9,4-ROUTINE,cm,216,13.51,0.9948,3,r5b,,
9,6-No Priority,cm,26,364.3,0.8807,3,r5d,,
9,5-PM,cm,7,131.05,0.9998,3,r5d,,
9,4-ROUTINE,pm,41040,,0.9948,4,r5a,,
9,5-PM,pm,32743,,0.9998,4,r5a,,
9,6-No Priority,pm,192,,0.8807,4,r5a,,
9,2-URGENT,pm,64,,0.0047,4,r5a,,
9,1-EMERGENCY,pm,1,,0.0005,4,r5a,,
10,1.0,cm,2547,5.07,0.9666,1,r5c,0.8,ascending
10,2.0,cm,11848,2.91,0.6471,2,r5c,0.8,ascending
10,3.0,cm,26398,5.9,0.523,3,r5c,0.8,ascending
10,<MISSING>,cm,16,32.37,0.0588,3,r5d,,
10,5.0,cm,521,34.94,0.8419,4,r5c,0.8,ascending
10,4.0,cm,484,126.92,0.9777,4,r5c,0.8,ascending
10,1.0,pm,73698,,0.9666,4,r5a,,
10,3.0,pm,28948,,0.523,4,r5a,,
10,2.0,pm,21729,,0.6471,4,r5a,,
10,4.0,pm,21180,,0.9777,4,r5a,,
10,5.0,pm,2774,,0.8419,4,r5a,,
10,<MISSING>,pm,1,,0.0588,4,r5a,,
12,50.0,cm,2968,-0.02,0.0159,1,r5c,-1.0,descending
12,45.0,cm,2505,0.4,0.0421,2,r5c,-1.0,descending
12,40.0,cm,5055,3.6,0.0708,3,r5c,-1.0,descending
12,1.0,cm,1,,0.0,3,r5d,,
12,30.0,cm,5170,14.89,0.3943,4,r5c,-1.0,descending
12,30.0,pm,3365,,0.3943,4,r5a,,
12,40.0,pm,385,,0.0708,4,r5a,,
12,45.0,pm,110,,0.0421,4,r5a,,
12,50.0,pm,48,,0.0159,4,r5a,,
12,10.0,pm,5,,1.0,4,r5a,,
