method,level,n_rows,n_configs,expected_configs,constant_by_construction,n_gen,n_emp,mean_wwt
atc,0,1080,1080,1080,1,540,540,1506.1950246296296
atc,8,1080,1080,1080,1,540,540,1506.1950246296296
atc,40,1080,1080,1080,1,540,540,1506.1950246296296
atc,full,1080,1080,1080,1,540,540,1506.1950246296296
atc_la,0,1080,1080,1080,0,540,540,1506.1950246296296
atc_la,8,1080,1080,1080,0,540,540,1504.9010555555556
atc_la,40,1080,1080,1080,0,540,540,1503.346667962963
atc_la,full,1080,1080,1080,0,540,540,1503.346667962963
edd,0,1080,1080,1080,1,540,540,1491.5317150000003
edd,8,1080,1080,1080,1,540,540,1491.5317150000003
edd,40,1080,1080,1080,1,540,540,1491.5317150000003
edd,full,1080,1080,1080,1,540,540,1491.5317150000003
rollcp2,0,144,144,144,0,0,144,507.51987222222226
rollcp2,8,144,144,144,0,0,144,507.7065166666667
rollcp2,40,144,144,144,0,0,144,509.31525000000005
rollcp2,full,144,144,144,0,0,144,510.4663958333333
v2rl301,0,1080,1080,1080,0,540,540,1499.9132042592594
v2rl301,8,0,0,0,0,0,0,
v2rl301,40,0,0,0,0,0,0,
v2rl301,full,0,0,0,0,0,0,
v2rl302,0,1080,1080,1080,0,540,540,1719.7881811111108
v2rl302,8,0,0,0,0,0,0,
v2rl302,40,0,0,0,0,0,0,
v2rl302,full,0,0,0,0,0,0,
v2rl303,0,1080,1080,1080,0,540,540,1759.7409337037036
v2rl303,8,0,0,0,0,0,0,
v2rl303,40,0,0,0,0,0,0,
v2rl303,full,0,0,0,0,0,0,
v2rl304,0,1080,1080,1080,0,540,540,1490.8081425925923
v2rl304,8,0,0,0,0,0,0,
v2rl304,40,0,0,0,0,0,0,
v2rl304,full,0,0,0,0,0,0,
v2rl305,0,1080,1080,1080,0,540,540,1494.628767037037
v2rl305,8,0,0,0,0,0,0,
v2rl305,40,0,0,0,0,0,0,
v2rl305,full,0,0,0,0,0,0,
v2rl306,0,1080,1080,1080,0,540,540,1509.0595598148147
v2rl306,8,0,0,0,0,0,0,
v2rl306,40,0,0,0,0,0,0,
v2rl306,full,0,0,0,0,0,0,
v2rl307,0,1080,1080,1080,0,540,540,1524.7494468518516
